"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"A Collaborative Learning System for Sharing 3D Models: 3D Model Co-learning Space","I. S. Lin; T. Y. Li; F. C. Liang; Y. T. Lin","Comput. Sci. Dept., Nat. Chengchi Univ., Taipei, Taiwan","2017 IEEE 17th International Conference on Advanced Learning Technologies (ICALT)","20170807","2017","","","502","506","In the recent years, due to the prevalence of 3D printers, there have been many applications of 3D printing developed for education such as creating custom-made teaching aids or student art work. Although there are web sites hosting 3D models created by students and allowing them to share and search in the database, these systems usually lack functions of collaborative learning. On the other hand, most learning management systems do not provide functions needed for sharing and viewing 3D models. In this work, we aim to design a system called 3D Model Co-learning Space (3D MCLS), dedicated to collaborative learning allowing students to share 3D models as well as performing blind peer assessment. The system allows a user to store, share, display, and discuss 3D models and allows a teacher to manage a group of students in a flexible way. More specifically, the system can automatically create a thumbnail by computing an optimized view of an uploaded 3D model. It uses tags to organize models into groups according to their attributes or teams in a class for easier access through search. In addition, it can provide blind assignments of peer review and compare the results with self-assessment. We have implemented such a system and conducted a pilot study to obtain a preliminary evaluation on the usability of the system.","","Electronic:978-1-5386-3870-5; POD:978-1-5386-3871-2","10.1109/ICALT.2017.102","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=8001844","3D Model Co-learning Space;3D Printing;Collaborative Learning;Peer Assessment","Analytical models;Asia;Collaborative work;Conferences;Psychology;Solid modeling;Three-dimensional displays","computer aided instruction;graphical user interfaces;teaching;three-dimensional printing","3D MCLS;3D model co-leaning space;3D printing;blind peer assessment;collaborative learning system;peer review;self-assessment","","","","","","","","3-7 July 2017","","IEEE","IEEE Conference Publications"
"Performance improvement of the Comsol FEM analysis of 3D magnetostatic field problems on mobile computers","V. M. Ionescu; D. Cazacu","University of Pitesti, Romania","2017 International Conference on Optimization of Electrical and Electronic Equipment (OPTIM) & 2017 Intl Aegean Conference on Electrical Machines and Power Electronics (ACEMP)","20170713","2017","","","171","176","Being mobile is an important aspect in research, education and other domains. The hardware available for mobile devices has reduced computing power therefore it is important to determine its usability in the context of complex problem analysis. This paper presents the usage of direct and iterative solvers for a 3D magnetostatic finite element problem and analyses the results in relation to the hardware setup. The paper presents conclusions regarding the optimization of the simulation in order to obtain relevant results for the test problem with the reduced computing power of a mobile platform.","","Electronic:978-1-5090-4489-4; POD:978-1-5090-4490-0; USB:978-1-5090-4488-7","10.1109/OPTIM.2017.7974966","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7974966","COMSOL;direct solver;finite element;iterative solver;parallel computing","Finite element analysis;Hardware;Magnetic domains;Magnetic flux density;Magnetostatics;Mobile communication;Three-dimensional displays","finite element analysis;iterative methods;magnetic fields;mobile computing;optimisation;simulation","3D magnetostatic field problems;3D magnetostatic finite element problem;Comsol FEM analysis;iterative solvers;mobile computers;mobile devices;optimization;simulation","","","","","","","","25-27 May 2017","","IEEE","IEEE Conference Publications"
"Can embodied interaction and virtual peer customization in a virtual programming environment enhance computational thinking?","D. Parmar; S. V. Babu; L. Lin; S. Jörg; N. D'Souza; A. E. Leonard; S. B. Daily","School of Computing, Clemson University, 100 McAdams Hall, S.C. 29634, United States of America","2016 Research on Equity and Sustained Participation in Engineering, Computing, and Technology (RESPECT)","20170202","2016","","","1","2","To address the problem of underexposure, underrepresentation, and underproduction of diverse professionals in the field of computing, we target middle school education using an idea that combines computational thinking with dance and movement choreography. This lightning talk delves into a virtual reality education and entertainment application named Virtual Environment Interactions (VEnvI). Our in vivo study examines how VEnvI can be used to teach fundamental computer science concepts such as sequences, loops, variables, conditionals, functions, and parallel programming. We aim to reach younger students through a fun and intuitive interface for choreographing dance movements with a virtual character. Our study contrasts the highly immersive and embodied virtual reality metaphor of using VEnvI with a non-immersive desktop metaphor. Additionally, we examine the effects of user attachment by comparing the learning results gained with customizable virtual characters in contrast with character presets. By analyzing qualitative and quantitative user responses measuring cognition, presence, usability, and satisfaction, we hope to find how virtual reality can enhance interest in the field of computer science among middle school students.","","Electronic:978-1-5090-3419-2; POD:978-1-5090-3420-8","10.1109/RESPECT.2016.7836179","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7836179","","Computers;Education;Programming environments;Programming profession;Three-dimensional displays;Virtual reality","computer aided instruction;computer science education;entertainment;human computer interaction;humanities;parallel programming;teaching;virtual reality","VEnvI;cognition;computational thinking;computer science;dance choreography;embodied interaction;embodied virtual reality metaphor;entertainment application;immersive virtual reality metaphor;intuitive interface;middle school education;middle school students;movement choreography;nonimmersive desktop metaphor;parallel programming;teaching;usability;virtual character;virtual environment interactions;virtual peer customization;virtual programming environment;virtual reality education","","","","","","","","11-13 Aug. 2016","","IEEE","IEEE Conference Publications"
"Big data in healthcare: Prospects, challenges and resolutions","I. Olaronke; O. Oluwaseun","Department of Computer Science, Adeyemi College of Education, Ondo, Nigeria","2016 Future Technologies Conference (FTC)","20170119","2016","","","1152","1157","The healthcare system consists of large volumes of data which are usually generated from diverse sources such as physicians' case notes, hospital admission notes, discharge summaries, pharmacies, insurance companies, medical imaging, laboratories, sensor based devices, genomics, social media as well as articles in medical journals. Healthcare data are however very complex and difficult to manage. This is as a result of the astronomical growth of healthcare data, the high speed at which these data are generated as well as the diversity of data types in healthcare. The capturing, storage, analysis and retrieval of health related data are rapidly shifting from paper based system towards digitization. However, the vast volume as well as the complexity of these data makes it difficult for the data to be processed and analyzed by traditional approaches and techniques. Consequently, technologies such as cloud computing and virtualization are now gradually used for processing massive data effectively and securely in healthcare. Hence, the healthcare system is swiftly becoming a big data industry. Thus, this paper examines the concept of big data in healthcare, its benefits and attendant challenges. This paper revealed that the fragmentation of healthcare data, ethical issues, usability issues as well as security and privacy issues are some of the factors impeding the successful implementation of big data in healthcare. This paper therefore suggests that ensuring security and privacy of healthcare data, the adoption of a standardized healthcare terminology, education strategy and the design of usable systems for processing large volumes of data are some of the ways of successfully implementing big data in healthcare.","","Electronic:978-1-5090-4171-8; POD:978-1-5090-4172-5","10.1109/FTC.2016.7821747","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7821747","big data;healthcare;information and communication technology","Big data;Biomedical imaging;Cloud computing;Databases;Google;Medical services;Security","Big Data;health care","Big Data;data complexity;data diversity;education strategy;healthcare data privacy;healthcare data security;healthcare system;standardized healthcare terminology","","","","","","","","6-7 Dec. 2016","","IEEE","IEEE Conference Publications"
"PBL-Tutor Canvas: A tool based on Backward Design to plan PBL in Computing Education","T. C. Vidal; S. C. Dos Santos; R. S. Carvalho","Informatics Center Federal University of Pernambuco, Recife, Brazil","2016 IEEE Frontiers in Education Conference (FIE)","20161201","2016","","","1","8","The Problem-Based Learning method has become an alternative to develop problem solving skills and abilities strongly required by the current labor market. However, studies indicate that due to the subjectivity of PBL concepts and the lack effective instruments for its implementation, the PBL teaching planning is compromised and strongly dependent on the teacher's ability. In addition, related studies indicate the existence of guidelines to support high level planning for the courses and disciplines in PBL such as infrastructure. Given that context, this paper proposes a tool for supporting PBL planning in Computing Education based on Backward Design Model that will lead teachers to structure their planning in order to comply with PBL processes and principles, maximizing the adherence of proposed activities to the PBL culture considering usability principles. The validation comprised the usability and acceptance evaluation of the tool proposed as well as its structure for conducting teachers planning their learning activities as much adherent as possible to PBL process and principles. The results analyzed indicate good usability scores and acceptance of the tool proposed through usability questionnaires as well as indicated the approach would assist in PBL educational planning process, supporting to maximize maturity in PBL.","","Electronic:978-1-5090-1790-4; POD:978-1-5090-1791-1","10.1109/FIE.2016.7757386","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7757386","Backward Design;Bloom's Taxonomy;Canvas Model;Computer Education;Problem-Based Learning;Teaching Plan","Computational modeling;Computers;Education;Informatics;Planning;Proposals;Usability","cognition;computer science education;educational computing;educational courses;human factors;planning;teaching","PBL educational planning process;PBL teaching planning;PBL-Tutor Canvas;backward design model;computing education;high level course planning;labor market;problem solving skills;problem-based learning method;tool acceptance;usability questionnaires;usability scores","","","","","","","","12-15 Oct. 2016","","IEEE","IEEE Conference Publications"
"An evaluation of public cloud adoption for higher education: A case study from Pakistan","S. Riaz; J. Muhammad","Department of Computer Science, Balochistan University of I.T, Engineering & MS, (BUIETMS), Quetta, Pakistan","2015 International Symposium on Mathematical Sciences and Computing Research (iSMSC)","20161020","2015","","","208","213","There has been a global change of perception about right to education over the past few decades. Information and Communication Technologies (ICT) are one of such advanced means to access educational material and resources anywhere/anytime in the world. Invention of cloud computing technology has opened many options for organizations and individual to share the educational resources among students. By adopting cloud computing organizations can save various recurring costs such as ICT hardware/software, licensing, storage space, backups, maintenance and human resources. Cloud computing enables teachers and students to access and approach the academic material ubiquitously through portable appliances (smart phones, tablets, IPAD's etc.). There are numerous public cloud applications (offerings) available for accessing educational resources in urban as well as rural vicinity. The Usability evaluation of these cloud-based services in a particular academic atmosphere is significant prior to their adoption. Moreover, this enables the stakeholders to make better decisions to adopt these contemporary services. In this paper we present the usability evaluation of public cloud applications across three universities in Pakistan from stakeholders' perspective i.e. (teachers and students). Our experimental results show that there is lack of awareness on using cloud-based services for accessing educational resources.","","","10.1109/ISMSC.2015.7594054","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7594054","Cloud computing;Google sites;Information and Communication Technology;Think aloud testing;Ubiquitous access;Usability testing","Cloud computing;Computational modeling;Correlation;Education;Google;Usability","cloud computing;computer aided instruction;further education;mobile learning","ICT hardware-software;Pakistan;academic atmosphere;cloud computing technology;cloud-based services;higher education;information and communication technology;public cloud;universities","","","","","","","","19-20 May 2015","","IEEE","IEEE Conference Publications"
"A coupling library for the force dimension haptic devices and the 20-sim modelling and simulation environment","F. Sanfilippo; P. B. T. Weustink; K. Y. Pettersen","Department of Maritime Technology and Operations, Aalesund University College, Postboks 1517, 6025 Aalesund, Norway","IECON 2015 - 41st Annual Conference of the IEEE Industrial Electronics Society","20160128","2015","","","000168","000173","A haptic feedback device is a device that establishes a kinaesthetic link between a human operator and a computer-generated environment. This paper addresses the bidirectional coupling between a commercial off-the-shelf (COTS) haptic feedback device and a general-purpose modelling and simulation environment. In particular, an open-source library is developed to couple the Force Dimension omega.7 haptic device with the 20-sim modelling and simulation environment. The presented coupling interface is also compatible with all the different haptic devices produced by Force Dimension. The proposed integrated haptic interface makes it possible to track the user's motion, detect collisions between the user-controlled probe and virtual objects, compute reaction forces in response to motion or contacts and exert an intuitive force feedback on the user. A real-time one-to-one correspondence between reality and virtual reality can be transparently created. This allows for a variety of possible applications. Stability issues, performance issues, design and virtual prototyping challenges can be addressed and investigated for research purposes. In addition, design and virtual prototyping are also of interest to industry. Realistic training environments can be developed for the user considering different possible operations and stressing the importance of usability and user experience. Experiments based on using haptics technology in the field of education can also be easily performed. To demonstrate the potential of the proposed coupling, a case study is presented. Related simulations and experimental results are carried out.","","Electronic:978-1-4799-1762-4; POD:978-1-4799-1763-1","10.1109/IECON.2015.7392094","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7392094","Haptics;Human-computer interaction;Simulation","Computational modeling;Couplings;Force;Haptic interfaces;Libraries;Programming;Solid modeling","force feedback;haptic interfaces;human computer interaction;motion estimation;public domain software;virtual reality","20-sim modelling;collision detection;coupling interface;coupling library;force dimension;force dimension haptic devices;haptic feedback devices;haptics technology;integrated haptic interface;real-time one-to-one correspondence;realistic training environments;simulation environment;user motion detection;user-controlled probe;virtual objects;virtual prototyping;virtual reality","","","","13","","","","9-12 Nov. 2015","","IEEE","IEEE Conference Publications"
"Hypervisors assessment in education industry: Using OpenBRR methodology","K. Syahlie; K. I. Eng; C. Lim; M. Galinium","Department of Information Technology, Faculty of Engineering and Information Technology Swiss German University, Tangerang, Indonesia","Proceedings of International Conference on Information, Communication Technology and System (ICTS) 2014","20150115","2014","","","303","308","In this modern era of computer technology, virtualization emerges as a solution to maximize the resource of computing. Education therefore also implements virtualization to help day-to-day activities, and they need to know which hypervisor may suit their activities. This paper describes the assessment using OpenBRR, including the result of the assessment, how do the OpenBRR methodology works and also how the data gathered by using qualitative interviews. The assessment covers several categories, taken from OpenBRR which related to the hypervisor operations in the educational institution, they are functionality, usability, performance, documentation, scalability and support. This assessment uses two open-source hypervisor that already implemented in the market, namely Proxmox Virtual Environment and Citrix Xen Server 6. As a result of assessment, both hypervisors shows good quality, can be seen from the BRR score calculated from normalizing the data and calculate into BRR score, a hypervisor may not good in all categories, but there are some categories that better inProxmox, and other categories are better in Citrix Xen Server.","","CD-ROM:978-1-4799-6856-5; Electronic:978-1-4799-6858-9; POD:978-1-4799-6859-6","10.1109/ICTS.2014.7010601","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7010601","Assessment;Hypervisor;OpenBRR;Virtualization","Business;Education;Measurement;Servers;Software;Virtual machine monitors;Virtualization","computer aided instruction;educational institutions;public domain software;virtualisation","Citrix Xen Server 6;OpenBRR methodology;Proxmox virtual environment;computer technology;education industry;educational institution;hypervisors assessment;open business readiness rating;open-source hypervisor;qualitative interviews;virtualization","","0","","14","","","","24-24 Sept. 2014","","IEEE","IEEE Conference Publications"
"Design and Implementation of a Cloud-Learning Service Platform","J. Xiao; M. Wang; L. Wang; X. Zhu; J. Ng","Shanghai Distance Educ. Group, Shanghai, China","2012 IEEE/WIC/ACM International Conferences on Web Intelligence and Intelligent Agent Technology","20130502","2012","3","","296","300","With the fast development of cloud computing, education ""cloud"" has become a research hot spot. The integration of cloud computing and education has important impact on the establishment of an open, flexible learning service platform and on implementing resource sharing. By analyzing the current development of education cloud, this paper presents the architecture of an education cloud service platform and principles for designing various cloud services such as search, learning, resource service, and management. Based on the architecture we designed and developed a ""Mobile Class"" system for lifelong learning. This paper also reports the results of our usability testing with targeted users.","","Electronic:978-0-7695-4880-7; POD:978-1-4673-6057-9","10.1109/WI-IAT.2012.214","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6511696","cloud learning;education architecture of education cloud;service platform","","Web services;cloud computing;computer aided instruction;continuing professional development;mobile computing","cloud computing;cloud services;cloud-learning service platform;education cloud;education cloud service platform architecture;lifelong learning;mobile class system;open flexible learning service platform;resource sharing;usability testing","","0","","5","","","","4-7 Dec. 2012","","IEEE","IEEE Conference Publications"
"History education through creative computing: Multi-dimensional views and interactive navigation of the historical development of a town","R. Millham; D. Moore; J. W. Millham","University of Bahamas/Durban, University of Technology","International Conference on Education and e-Learning Innovations","20121124","2012","","","1","6","This paper introduces an emerging (research-in-progress) creative computing prototype, refined iteratively through user feedback, to retrieve and display information regarding a historical timeline composition of a town, in particular a Canadian prairie town. The purpose of this prototype is to use the advantages of creative computing, by means of multi-dimensional visual and aural content within an n-tier system of historical period layers, to provide an interactive, multiple style (visual, textual, and aural) approach to education, notably the teaching of the developmental history of a small town with the significant historical factors affecting it. As part of the iterative development approach of the prototype and to ensure that the historical context was conveyed adequately to the user, a series of usability studies were conducted using a small but representative group of users. The feedback from these usability studies helped direct and validate the refinement of the prototype to enable it to convey its historical composition's content to the user/learner more effectively.","","CD:978-1-4673-2224-9; Electronic:978-1-4673-2225-6; Paper:978-1-4673-2226-3","10.1109/ICEELI.2012.6360638","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6360638","","Buildings;Cities and towns;Computers;Educational institutions;Prototypes;Usability;Visualization","computer aided instruction;history;information retrieval;interactive systems;teaching","Canadian prairie town;creative computing;historical composition content;historical period layers;history education;information display;information retrieval;interactive navigation;multidimensional aural content;multidimensional views;multidimensional visual content;n-tier system;town developmental history teaching;town historical development;town historical timeline composition;usability studies;user feedback","","0","","11","","","","1-3 July 2012","","IEEE","IEEE Conference Publications"
