"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","1010912","  Software Engineering Notes Staff","","","","Abstracts in Software Engineering","33--36","","4","","10.1145/1010904.1010912","SIGSOFT Softw. Eng. Notes","July 1982","7","3","","July","1982","0163-5948","","","","","","ACM","New York, NY, USA"
"article","1010732","  Software Engineering Notes Staff","","","","Abstracts in Software Engineering: Part 3","24--28","","5","","10.1145/1010730.1010732","SIGSOFT Softw. Eng. Notes","July 1977","2","4","","July","1977","0163-5948","","","","","","ACM","New York, NY, USA"
"article","1010902","  Software Engineering Notes Staff","","","","Abstracts in Software Engineering","75--79","","5","","10.1145/1010891.1010902","SIGSOFT Softw. Eng. Notes","July 1983","8","3","","July","1983","0163-5948","","","","","","ACM","New York, NY, USA"
"article","1010780","  Software Engineering Notes Staff","","","","Abstracts in Software Engineering: Part 8","22--24","","3","","10.1145/1010773.1010780","SIGSOFT Softw. Eng. Notes","January 1979","4","1","","January","1979","0163-5948","","","","","","ACM","New York, NY, USA"
"article","1010863","  Software Engineering Notes Staff","","","","Abstracts in Software Engineering","80--83","","4","","10.1145/1010832.1010863","SIGSOFT Softw. Eng. Notes","July 1981","6","3","","July","1981","0163-5948","","","","","","ACM","New York, NY, USA"
"article","1012634","  Software Engineering Notes Staff","","","","Proceedings of the ACM Ada TEC Future Ada Environment Workshop","77--117","","41","","10.1145/1012621.1012634","SIGSOFT Softw. Eng. Notes","April 1985","10","2","","April","1985","0163-5948","","","","","","ACM","New York, NY, USA"
"article","1010749","  Software Engineering Notes Staff","","","","Abstracts in Software Engineering: Part 6","31--33","","3","","10.1145/1010741.1010749","SIGSOFT Softw. Eng. Notes","October 1978","3","4","","October","1978","0163-5948","","","","","","ACM","New York, NY, USA"
"article","1010923","  Software Engineering Notes Staff","","","","Abstracts in Software Engineering","49--54","","6","","10.1145/1010914.1010923","SIGSOFT Softw. Eng. Notes","October 1983","8","5","","October","1983","0163-5948","","","","","","ACM","New York, NY, USA"
"article","1010779","  Software Engineering Notes Staff","","","","A Note on the Psychology of Abstraction (PGN)","21--21","","1","","10.1145/1010773.1010779","SIGSOFT Softw. Eng. Notes","January 1979","4","1","","January","1979","0163-5948","","","","","","ACM","New York, NY, USA"
"article","1010961","  Software Engineering Notes Staff","","","","Abstracts in Software Engineering","99--102","","4","","10.1145/1010954.1010961","SIGSOFT Softw. Eng. Notes","January 1983","8","1","","January","1983","0163-5948","","","","","","ACM","New York, NY, USA"
