"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","275770","CORPORATE  Office of the Vice Provost for Information Technology","","","","University Administrative Policy Number 60","511--518","","8","","","","","","","","","","","Internet Besieged","","","0-201-30820-7","","ACM Press/Addison-Wesley Publishing Co.","New York, NY, USA"
"article","958584","  Office of Technology Assessment","","","","Information Technology and Its Impact on American Eduction","7--13","","7","","10.1145/958581.958584","SIGCAS Comput. Soc.","Summer 1982","12","3","","July","1982","0095-2737","","","","","","ACM","New York, NY, USA"
"technical report","2594500","  Compiled by the ACM Education Board","","","","","","","","","","","","","","","","1983","","ACM Curricula Recommendations for Related Computer Science Programs in Vocational-Technical Schools, Community and Junior Colleges, and Health Computing","","","0-89791-119-9","","ACM","New York, NY, USA"
"article","957900","  Office of Technology Assessment","","","","Study on Information Technology, Automation, and the Workplace","35--40","","6","","10.1145/957893.957900","SIGCAS Comput. Soc.","Winter 1982","12","1","","January","1982","0095-2737","","","","","","ACM","New York, NY, USA"
"article","1095806","Angelina  Totolo","","","","An Exploration of the Theories That Explain the Failure of Information Technology Adoption in Africa","389--390","","2","Africa, information technology adoption, theories","10.1145/1095714.1095806","","","","","","","2005","","Proceedings of the 6th Conference on Information Technology Education","SIGITE '05","","1-59593-252-6","Newark, NJ, USA","ACM","New York, NY, USA"
"article","2072261","Motshidisi  Letseka and Tiko  Iyamu","","","","The Dualism of the Information Technology Project","294--297","","4","information technology, projects, structuration theory","10.1145/2072221.2072261","","","","","","","2011","","Proceedings of the South African Institute of Computer Scientists and Information Technologists Conference on Knowledge, Innovation and Leadership in a Diverse, Multidisciplinary Environment","SAICSIT '11","","978-1-4503-0878-6","Cape Town, South Africa","ACM","New York, NY, USA"
"article","947156","Misook  Heo","","","","A Learning and Assessment Tool for Web-based Distributed Education","151--154","","4","assessment, distributed education, educational technology","10.1145/947121.947156","","","","","","","2003","","Proceedings of the 4th Conference on Information Technology Curriculum","CITC4 '03","","1-58113-770-2","Lafayette, Indiana, USA","ACM","New York, NY, USA"
"article","820188","Wendy  Cukier and Denise  Shortt and Irene  Devine","","","","Gender and Information Technology: Implications of Definitions","142--148","","7","gender, human resources, information technology, institutional theory","10.1145/820127.820188","SIGCSE Bull.","December 2002","34","4","","December","2002","0097-8418","","","","","","ACM","New York, NY, USA"
"article","2369238","Laura  Hosman and Maja  Cvetanoska","","","","Technology, Teachers, and Training: Combining Theory with Macedonia's Experience","20:1--20:10","20","10","Macedonia, computer aided instruction, developing nations, development, education, educational technology, social factors, technology","10.1145/2369220.2369238","","","","","","","2010","","Proceedings of the 4th ACM/IEEE International Conference on Information and Communication Technologies and Development","ICTD '10","","978-1-4503-0787-1","London, United Kingdom","ACM","New York, NY, USA"
"article","1029596","Han  Reichgelt","","","","Towards a Research Agenda for Information Technology","248--254","","7","information technology, research agenda","10.1145/1029533.1029596","","","","","","","2004","","Proceedings of the 5th Conference on Information Technology Education","CITC5 '04","","1-58113-936-5","Salt Lake City, UT, USA","ACM","New York, NY, USA"
"article","2661044","Ron  Fulbright","","","","What is the Next Big Thing?: Fulbright's Half-life Theory","93--94","","2","emerging technology","10.1145/2656450.2661044","","","","","","","2014","","Proceedings of the 15th Annual Conference on Information Technology Education","SIGITE '14","","978-1-4503-2686-5","Atlanta, Georgia, USA","ACM","New York, NY, USA"
"article","77482","CORPORATE  Computer Science and Technology Board","","","","Scaling Up: A Research Agenda for Software Engineering","281--293","","13","","10.1145/77481.77482","Commun. ACM","March 1990","33","3","","March","1990","0001-0782","","","","","","ACM","New York, NY, USA"
"article","2538997","Yan  Bai and Xinli  Wang","","","","ITSEED: Hands-on Labs for IT Security Education (Abstract Only)","739--739","","1","information technology, security education","10.1145/2538862.2538997","","","","","","","2014","","Proceedings of the 45th ACM Technical Symposium on Computer Science Education","SIGCSE '14","","978-1-4503-2605-6","Atlanta, Georgia, USA","ACM","New York, NY, USA"
"article","947149","Elizabeth  Lawley and Tona  Henderson","","","","Understanding Gendered Attrition in IT Programs","122--125","","4","information technology education, women","10.1145/947121.947149","","","","","","","2003","","Proceedings of the 4th Conference on Information Technology Curriculum","CITC4 '03","","1-58113-770-2","Lafayette, Indiana, USA","ACM","New York, NY, USA"
"article","2047657","Chia-Chi  Teng and Joseph J. Ekstrom","","","","A Health IT Application Domain Course for a Traditional IT Program","239--244","","6","health, information technology education","10.1145/2047594.2047657","","","","","","","2011","","Proceedings of the 2011 Conference on Information Technology Education","SIGITE '11","","978-1-4503-1017-8","West Point, New York, USA","ACM","New York, NY, USA"
"article","2380557","Bryan S. Goda and Robert  Friedman","","","","Designing a Masters Program in Cybersecurity and Leadership","9--12","","4","cybersecurity, information technology education","10.1145/2380552.2380557","","","","","","","2012","","Proceedings of the 13th Annual Conference on Information Technology Education","SIGITE '12","","978-1-4503-1464-0","Calgary, Alberta, Canada","ACM","New York, NY, USA"
"article","1926066","Ying  Liu and Jean  Bacon","","","","Innovation or Diffusion?: Three Scenarios of Vocational Education Settings in ICT Practices for People with Learning Difficulties in China","8:1--8:4","8","4","ICT, special educational needs, technology diffusion, technology innovation, vocational education","","","","","","","","2010","","Proceedings of the 4th International Convention on Rehabilitation Engineering & Assistive Technology","iCREATe '10","","978-981-08-6199-5","Shanghai, China","Singapore Therapeutic, Assistive & Rehabilitative Technologies (START) Centre","Kaki Bukit TechPark II,, Singapore"
"article","1095726","Soleda T. Leung and Christopher  Johnson","","","","Computational Concepts in IT: A New Approach to IT Mathematics","37--42","","6","algorithm, algorithm design, application, approximation, curriculum design, graph theory, information technology, mathematics, number theory","10.1145/1095714.1095726","","","","","","","2005","","Proceedings of the 6th Conference on Information Technology Education","SIGITE '05","","1-59593-252-6","Newark, NJ, USA","ACM","New York, NY, USA"
"article","305941","Hannah  Dee and Peter  Reffell","","","","ACOM (&Ldquo;Computing for All&Rdquo;): An Integrated Approach to the Teaching and Learning of Information Technology","195--","","","higher education, information technology, skills","10.1145/384267.305941","SIGCSE Bull.","Sept. 1999","31","3","","June","1999","0097-8418","","","","","","ACM","New York, NY, USA"
"article","305941","Hannah  Dee and Peter  Reffell","","","","ACOM (&Ldquo;Computing for All&Rdquo;): An Integrated Approach to the Teaching and Learning of Information Technology","195--","","","higher education, information technology, skills","10.1145/305786.305941","","","","","","","1999","","Proceedings of the 4th Annual SIGCSE/SIGCUE ITiCSE Conference on Innovation and Technology in Computer Science Education","ITiCSE '99","","1-58113-087-2","Cracow, Poland","ACM","New York, NY, USA"
"article","2662303","Jean-Fran&#231;ois  H&#233;rold","","","","Learning with an IT Tool: Analysis of the Student's Activity","50:1--50:4","50","4","Analysis of activity, Cognitive load theory, Information Technology, Interaction, Learning","10.1145/2662253.2662303","","","","","","","2014","","Proceedings of the XV International Conference on Human Computer Interaction","Interacci&#243;n '14","","978-1-4503-2880-7","Puerto de la Cruz, Tenerife, Spain","ACM","New York, NY, USA"
"article","2699432","Rahul  Jain","","","","New Strong Direct Product Results in Communication Complexity","20:1--20:27","20","27","Communication complexity, information theory, strong direct product","10.1145/2699432","J. ACM","June 2015","62","3","","June","2015","0004-5411","","","","","","ACM","New York, NY, USA"
"article","1328097","Malathi  Subramanian","","","","Theory and Practice of e-Governance in India: A Gender Perspective","187--195","","9","citizenship, empowerment, gender, information communication technology, information society, participation","10.1145/1328057.1328097","","","","","","","2007","","Proceedings of the 1st International Conference on Theory and Practice of Electronic Governance","ICEGOV '07","","978-1-59593-822-0","Macao, China","ACM","New York, NY, USA"
"article","1168818","William K. Suchan and Jean R.S. Blair and Duane  Fairfax and Bryan S. Goda and Kevin L. Huggins and Mike J. Lemanski","","","","Faculty Development in Information Technology Education","15--18","","4","faculty development, information technology education","10.1145/1168812.1168818","","","","","","","2006","","Proceedings of the 7th Conference on Information Technology Education","SIGITE '06","","1-59593-521-5","Minneapolis, Minnesota, USA","ACM","New York, NY, USA"
"article","2808032","Russell  McMahon","","","","The Challenges of Information and Communications Technology Education in Sub-Saharan Africa","89--94","","6","information and communications technology education, information technology education, teaching challenges","10.1145/2808006.2808032","","","","","","","2015","","Proceedings of the 16th Annual Conference on Information Technology Education","SIGITE '15","","978-1-4503-3835-6","Chicago, Illinois, USA","ACM","New York, NY, USA"
"article","2307165","Timothy  Charoenying","","","","The Choreography of Conceptual Development in Computer Supported Instructional Environments","351--354","","4","design-based research, educational technology, embodied cognition, embodied interaction, learning theory, mathematics education","10.1145/2307096.2307165","","","","","","","2012","","Proceedings of the 11th International Conference on Interaction Design and Children","IDC '12","","978-1-4503-1007-9","Bremen, Germany","ACM","New York, NY, USA"
"article","1324351","Raheel A. Malik and Raymond A. Hansen and James E. Goldman and Anthony H. Smith","","","","Laboratory Modules for Conducting Comparative Analysis of 802.11 Frames","225--232","","8","information technology education, wireless networking education","10.1145/1324302.1324351","","","","","","","2007","","Proceedings of the 8th ACM SIGITE Conference on Information Technology Education","SIGITE '07","","978-1-59593-920-3","Destin, Florida, USA","ACM","New York, NY, USA"
"article","1414620","Sam  Abbott-McCune and A. J. Newtson and Jeffrey  Girard and Bryan S. Goda","","","","Developing a Reconfigurable Network Lab","255--258","","4","information technology education, lab design","10.1145/1414558.1414620","","","","","","","2008","","Proceedings of the 9th ACM SIGITE Conference on Information Technology Education","SIGITE '08","","978-1-60558-329-7","Cincinnati, OH, USA","ACM","New York, NY, USA"
"article","1324363","P. Mani Joseph and Jibulal  Nair and Smiju I. S. and Barry  Lunt","","","","Information Technology Education in India","275--276","","2","IT curriculum, information technology education","10.1145/1324302.1324363","","","","","","","2007","","Proceedings of the 8th ACM SIGITE Conference on Information Technology Education","SIGITE '07","","978-1-59593-920-3","Destin, Florida, USA","ACM","New York, NY, USA"
