"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Reconstructing students' subjective theories on self-directed learning a qualitative research approach in Software Engineering education","S. Knörl; A. Soska; I. Schroll-Decker; J. Mottok","Ctr. for Continuing Education and Knowledge Management, Ostbayerische Technische Hochschule Regensburg, Germany","2015 IEEE Global Engineering Education Conference (EDUCON)","20150430","2015","","","314","317","Considering the claim of furthering self-directed learning in higher education in general and in Software Engineering education in particular, this paper deals with a new approach on understanding and facilitating self-directed learning. This approach involves the concept of subjective theories, which are expected to influence students' self-directed learning. Therefore this paper presents the intended qualitative research design for reconstructing these subjective theories and for developing ways of integrating them in didactical situations in higher education and especially in Software Engineering education.","2165-9559;21659559","Electronic:978-1-4799-1908-6; POD:978-1-4799-1909-3","10.1109/EDUCON.2015.7095990","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7095990","Software Engineering Education;qualitative research;self-directed learning;subjective theories","Conferences;Engineering education;Interviews;Software;Software engineering;Training","computer science education;further education;software engineering","didactical situations;higher education;qualitative research approach;software engineering education;student self-directed learning;student subjective theory reconstruction","","0","","23","","","","18-20 March 2015","","IEEE","IEEE Conference Publications"
"Notice of Retraction<BR>Discussion about education pattern for professional master postgraduate student based on software engineering theory","W. Tan; S. Li","School of Computer and Information Shanghai Second Polytechnic University Pudong, Shanghai, P.R. China","2011 International Conference on E-Business and E-Government (ICEE)","20110616","2011","","","1","4","Notice of Retraction<BR><BR>After careful and considered review of the content of this paper by a duly constituted expert committee, this paper has been found to be in violation of IEEE's Publication Principles.<BR><BR>We hereby retract the content of this paper. Reasonable effort should be made to remove all past references to this paper.<BR><BR>The presenting author of this paper has the option to appeal this decision by contacting TPII@ieee.org.<BR><BR>The professional postgraduates training is a key section in high education system. The improvement of education quality is one of the key indexes for the evaluation of the comprehensive competitive capability of higher education. The vital aspect to keep quality of professional postgraduates training is to enhance the research and management of training model and training process. Based on the software engineering theory, this paper discusses the training model on the lifecycle, people, methodology, product, and relationship among them correspond with the actual situation of current professional master training. The proposed training model provides an applied theory, experiences supporting for guiding professional master training to improve the quality and implement the education goal of the master training.","","Electronic:978-1-4244-8694-6; POD:978-1-4244-8691-5","10.1109/ICEBEG.2011.5887074","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5887074","Education Pattern;Professional Degree;Software Process Theory","Educational institutions;Production;Software;Software engineering;Technological innovation;Training","","","","0","","5","","","","6-8 May 2011","","IEEE","IEEE Conference Publications"
"Can we make software engineering education better by applying learning theories?","S. Chimalakonda; K. V. Nori","International Institute of Information Technology - Hyderabad, Hyderabad","2011 24th IEEE-CS Conference on Software Engineering Education and Training (CSEE&T)","20110616","2011","","","561","561","Summary form only given. Tracking and identifying persons in videos are important building blocks in many applications. For interactive investigation of surveillance footage it is often not even necessary to uniquely identify a person. It rather suffices to find occurrences of a person indicated by the user with an exemplary image sequence. We present a system in which the search for a specific person can be initiated by a sample image sequence and then be further refined by interactive feedback by the operator. The demonstrated system will track people online in multiple cameras and make the sequences immediately searchable from a central station.","1093-0175;10930175","Electronic:978-1-4577-0348-5; POD:978-1-4577-0349-2","10.1109/CSEET.2011.5876157","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5876157","","","","","","0","","1","","","","22-24 May 2011","","IEEE","IEEE Conference Publications"
"Enriching the Culture of Software Engineering Education through Theories of Knowledge and Learning","S. Goel","","2009 22nd Conference on Software Engineering Education and Training","20090410","2009","","","279","279","<div style=""font-variant: small-caps; font-size: .9em;"">First Page of the Article</div><img class=""img-abs-container"" style=""width: 95%; border: 1px solid #808080;"" src=""/xploreAssets/images/absImages/04812709.png"" border=""0"">","1093-0175;10930175","POD:978-1-4244-3431-2","10.1109/CSEET.2009.58","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4812709","","Collaboration;Computer science;Computer science education;Educational programs;Human factors;Information technology;Internal stresses;Proposals;Psychology;Software engineering","","","","0","","","","","","17-20 Feb. 2009","","IEEE","IEEE Conference Publications"
"Software Engineering Instruction and Education Theory: A Dialogue","P. A. Basili; V. R. Basili","Prince Georges Community College","19th Conference on Software Engineering Education & Training (CSEET'06)","20060508","2006","","","6","6","Summary form only given. Some software engineering instructors have incorporated projects that either simulate product development for a corporate customer or have students work directly with corporate sponsors to solve a problem or produce an artifact. The rationale for the activity is to provide ""real world"" experience, a foretaste of what a professional in the field will be asked to do. Other instructors may forgo the project as taking too much time from an already full curriculum or due to the difficulty of making and maintaining corporate connections. They rely on the lecture format to convey the material. Are there other reasons for including ""project-type"" activities in software engineering instruction over and above the practical experience they provide? Are there reasons to try to incorporate strategies other than lecture into courses? This paper reviews those areas of educational theory that speak to practical strategies to enhance learning and remembering. Constructivism as a way to view the learning process will be highlighted. Vygotsky's social interaction theory, and scaffolding will be tied to group endeavors. Bloom's hierarchy of the cognitive domain will be viewed in terms of writing course learning outcomes. Also discussed is the importance of the congruence of learning outcomes and modes of assessment to insure learning has occurred and to provide assurances to the Higher Education community that we are doing what we claim to do","1093-0175;10930175","POD:0-7695-2557-1","10.1109/CSEET.2006.32","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=1617324","","Computational modeling;Computer science;Computer science education;Computer simulation;Educational institutions;Educational products;Product development;Software engineering;Writing","computer science education;software engineering;teaching","education theory;learning process;product development;social interaction theory;software engineering instruction","","0","","","","","","19-21 April 2006","","IEEE","IEEE Conference Publications"
"Software engineering education-adding process to projects: theory, practice and experience","V. E. Veraart; S. L. Wright","Dept. of Comput. Sci., Murdoch Univ., WA, Australia","Proceedings 1995 Asia Pacific Software Engineering Conference","20020806","1995","","","148","157","Software process is an important concept in software development and considerable work is being undertaken in academia and industry on process issues, and particularly on process improvement. It is difficult to teach process concepts effectively in an undergraduate degree but we feel the issue is too important to be deferred to be learned in work experience and postgraduate degrees. Most undergraduate computing courses have a project component that attempts to convey some of the aspects of a `real life' development project but these can easily degenerate into (large-scale) programming exercises if the emphasis is on products and not the process-particularly of students have been exposed to process concepts before commencing the project. Many courses attempt to address process topics-lifecycle, configuration management, etc.-from a theoretical approach, but this serves little purpose without relevant hands-on experience within a realistic project context. Our experience indicates that when taught in parallel with a large-scale project it is often too little, too late. We are making the concept of software process central to our software development teaching and assessment. In order to illustrate the applicability in practice of what we preach, we are applying process improvement concept in the education process itself. The paper reports on our experience","","POD:0-8186-7171-8","10.1109/APSEC.1995.496963","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=496963","","Computer science;Computer science education;Large-scale systems;Performance evaluation;Programming;Project management;Resource management;Risk analysis;Risk management;Software engineering","computer science education;configuration management;educational courses;software engineering;teaching","academia;configuration management;hands-on experience;industry;large-scale project;lifecycle;process improvement;realistic project context;software development;software engineering education;software process;undergraduate computing courses;undergraduate degree","","4","","6","","","","6-9 Dec 1995","06 Dec 1995-09 Dec 1995","IEEE","IEEE Conference Publications"
"Combinations of Personal Characteristic Types and Learning Effectiveness of Teams","H. Washizaki; Y. Sunaga; M. Shuto; K. Kakehi; Y. Fukazawa; S. Yamato; M. Okubo; B. Tenbergen","Waseda Univ., Tokyo, Japan","2017 IEEE 41st Annual Computer Software and Applications Conference (COMPSAC)","20170911","2017","1","","456","457","In software and IT systems engineering, personal characteristics are expected to impact performance and attitude. To clarify the optimal composition in a team of students in academic education, we researched the relationship between student personality characteristics and learning effectiveness of teams using the Five Factor and Stress theory (FFS). The results taken from a Project-based Learning (PBL) course at Waseda University showed that educational effectiveness is highest when a team consists of management and anchor types without leadership types. In addition to FFS, we are currently adopting the Five Factor Model (FFM), which is a well-accepted personal characteristic model, to dig deeper the relationship in different courses on IT systems and software development conducted at various universities. Preliminary results show that although individual characteristics are not strongly correlated to learning effectiveness, there are a few strong team correlations. As our future work, we plan to acquire more data and investigate relationship between FFS measurements and FFM ones in terms of learning effectiveness.","0730-3157;07303157","Electronic:978-1-5386-0367-3; POD:978-1-5386-0368-0","10.1109/COMPSAC.2017.288","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=8029642","information system education; communication; coordination; five factor and stress theory (FFS); five factor model (FFM); software and systems engineering education; personal characteristics; project-based learning (PBL)","Correlation;Modeling;Software;Stress;Training","computer aided instruction;educational courses;educational institutions","FFS;FFS measurements;IT systems engineering;PBL course;Waseda University;academic education;educational effectiveness;five factor model;five factor-and-stress theory;individual characteristics;leadership types;personal characteristic model;personal characteristic types;personal characteristics;project-based learning course;software development;strong team correlations;student personality characteristics;team learning effectiveness","","","","","","","","4-8 July 2017","","IEEE","IEEE Conference Publications"
"3D virtual laboratory for teaching circuit theory — A virtual learning environment (VLE)","M. T. Valdez; C. M. Ferreira; F. P. M. Barbosa","Polytechnic Institute of Coimbra, ISEC, Coimbra, Portugal","2016 51st International Universities Power Engineering Conference (UPEC)","20171120","2016","","","1","4","The key to succeed in engineering is to master information and the correct use of materials. The learning of the basic concepts of circuit theory, the type of concepts and the form of experimentation, traditionally acquired in educational laboratories, are fundamental and demand new and better tools. The teaching of electric circuit analysis requires students to compare theory and practice of “learning by doing”, using physical or virtual didactic benches. Virtual learning environments (VLE) allow the organization of more controlled courses, combining classroom and distance lessons, the use of only virtual classes, new possibilities of interaction over the internet, and a closer interaction between teachers and students. The goal of this project was to provide a virtual environment where students can learn and experiment electrical concepts in a user-friendly environment. The software used for this project was Autodesk® 3DS Max, VizUp, Wirefusion and Dreamweaver. An experimental model was designed, which provides the necessary simulations as well as a variety of configurations, to be used as part of the learning process. This prototype of a virtual lab, referred to as VEMA (Virtual Electric MAnual), was developed at the Instituto Superior de Engenharia de Coimbra (ISEC/DEE) to teach circuit theory. The aim of this prototype is the development of three-dimensional replicas of real electrical systems, so that the electrical components can be moved virtually, enabling an easy handling and control of lessons and educational activities in a virtual form. The main objective of the prototype is to be a tool for internet-based distance education (e-learning), complementary to the class contents of Circuit Theory I, also used by students and teachers in or outside the classroom.","","Electronic:978-1-5090-4650-8; POD:978-1-5090-4651-5","10.1109/UPEC.2016.8114126","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=8114126","3D lab internet;Electronic learning;Interactive systems;Software packages;Virtual prototyping","Education;Prototypes;Software;Solid modeling;Three-dimensional displays;Tools","","","","","","","","","","6-9 Sept. 2016","","IEEE","IEEE Conference Publications"
"Application of MOOC in CDIO integrated teaching pattem: A case study of software engineering major","J. Yue; H. Rui","Department of Software Engineering, Dalian Neusoft University of Information, Dalian, China","2017 12th International Conference on Computer Science and Education (ICCSE)","20171030","2017","","","324","327","CDIO(Conceive-Design-Implement-Operate) engineering teaching concept values combination of theory and practice and provide sets of theory and system of engineering education. MOOC (massive online open courses) is an emerging educational form which is used for participants everywhere to obtain courses education through learning of teaching videos and discussion and exchanges among teachers and students. With the aims of challenging the existing teaching in higher learning institutions, we conduct the pilot teaching reform of software engineering major to establish and implement MOOC+CDIO teaching model with application of flipped classroom pattern into integrated teaching of CDIO engineering education concept based on MOOC online teaching. The practice proves that this model efficiently solves teaching-learning disconnection, learning-application disconnection, courses disconnection as well as in-class-post-class disconnection which are existing in the traditional education.","","Electronic:978-1-5090-2508-4; POD:978-1-5090-2509-1; USB:978-1-5090-2507-7","10.1109/ICCSE.2017.8085511","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=8085511","CDIO;Flipped classroom;Integrated Teaching Pattern;MOOC;Software Engineering Major","Mobile communication;Online services;Software;Software engineering;Training;Videos","","","","","","","","","","22-25 Aug. 2017","","IEEE","IEEE Conference Publications"
"Learning environment for software product lines online learning applications","S. M. Zaki; R. Mohamad; S. A. Halim; N. B. Ahmad","Faculty of Computing, Universiti Teknologi Malaysia, Skudai, Johor, Malaysia","2017 8th International Conference on Information Technology (ICIT)","20171023","2017","","","717","723","The process of learning and teaching online learning has undergone many changes in line with technological developments. Education institutions have begun introducing new methods of learning this. However, it needs a huge amount of labor intensive to produce and maintain educational technologies due to its huge size (literacy, vocational education, school education, engineering and medical education) and huge variants (language, dialect). With the growing demand and at the same time would like to reduce the factor of cost, time and effort is long, then the need for an effective solution allowing rapid system development. A Software Product Line (SPL) approach is one of the best methods that can be used to develop an educational software family. The research contributes to the development of online learning SPL by studying issues in online learning SPL, identify appropriate pedagogical approach to online learning environment that is constructivism, and designing constructivist learning environment based on the theory of constructivism and design principles. In this paper, comparison between 10 VLE was tabulated against constructivist learning environment. The comparative evaluation is to discover commonalities and variabilities between online learning applications. The results should be useful as the process of domain analysis that is to document the commonalities and variabilities between SPL members. Hence, it can be used to enhance the feature model for online learning applications.","","Electronic:978-1-5090-6332-1; POD:978-1-5090-6333-8","10.1109/ICITECH.2017.8079933","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=8079933","learning environment;online learning;pedagogical approach;software product lines","Electronic learning;Production;Software;Software product lines;Tools","Internet;computer aided instruction;software product lines;teaching","constructivist learning environment;educational software family;educational technologies;online learning SPL;software product lines;teaching","","","","","","","","17-18 May 2017","","IEEE","IEEE Conference Publications"
