"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Cloud Computing education strategies","H. P. Breivold; I. Crnkovic","ABB Corp. Res., Malardalen Univ., Vasteras, Sweden","2014 IEEE 27th Conference on Software Engineering Education and Training (CSEE&T)","20140519","2014","","","29","38","Cloud Computing is changing the services consumption and delivery platform as well as the way businesses and users interact with IT resources. It represents a major conceptual shift that introduces new elements in programming models and development environments that are not present in traditional technologies. The evolution of Cloud Computing motivates teaching Cloud Computing to computer science senior students and graduate students so that they can gain broad exposure to the main body of knowledge of Cloud Computing and get prepared for occupations in industry. There is thus a strong need for having a Cloud Computing education course that (i) has a broad coverage of different roles interacting with a cloud; and (ii) leverages Cloud Computing concepts, technology and architecture topics at both introductory and advanced level. In this paper, we describe the demand for understanding the impact of Cloud Computing in computer science higher education. We propose education strategies for teaching Cloud Computing, including key knowledge areas for an enduring Cloud Computing course.","1093-0175;10930175","Electronic:978-1-4799-4970-0; POD:978-1-4799-4969-4","10.1109/CSEET.2014.6816778","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6816778","","Architecture;Business;Cloud computing;Computational modeling;Computer architecture;Education","cloud computing;computer science education;educational courses;further education;teaching","IT resources;cloud computing education course;cloud computing education strategies;cloud computing teaching;computer science higher education;computer science senior students;delivery platform;graduate students;services consumption","","0","","35","","","","23-25 April 2014","","IEEE","IEEE Conference Publications"
"Cloud computing techniques: Strategies and applications for education","K. M. Abuzagia","AL-MARGEB UNIVERSITY, Khoms, Libya","2017 Joint International Conference on Information and Communication Technologies for Education and Training and International Conference on Computing in Arabic (ICCA-TICET)","20171107","2017","","","1","14","Under the surplices of the infrastructure of the internet and because of many types of Web 2.0, a great development has happened in the services offered throughout the nets; this appeared because of plenty of huge save spaces, and high quick speed of the internet. Besides, the variable of great number of programs by which the learner can use the sets without the need of software programs. These programs are formulated and equipped on the computer which to be used by the learner. This development has led to appearing the term “Cloud Computing” which depends on transferring the process operation and save spaces of the computer to modems and work platforms connoted through internet without obstacles related to a specific computer or place. The appearing of “Cloud Computing Service” in the world of technology has helped not only to save and manage and organize the information and files but also assists to keep the works connection through the internet. In addition to that, “Cloud Computing Service” is the best solution for many technical problems related to the damage or loss of the documents and files. Besides, The “ Cloud Computing Service” offers the infrastructure, services, programs through net which offers attractive advantages to the higher education institutions. It also has the ability to decrease the cost of information technology and communication in suppositional environment within the current operation system to be able to test the system as if it is the program as other programs that can be faced at any time. The significance and justifications of this paper are as follows: ▪ The lack of Arabic researches in the field of “ Cloud Computing Service”. ▪ The need to study the term of “Cloud Computing Serv- ce” and its components, and the services of Cloud Computing systems. ▪ The plan to join the educational institutions in the “Cloud Computing” and the basics of approving the educational institutions and its applications and the benefits of engaging the “Cloud Computing Service” in the educational process.","","CD:978-1-5386-2224-7; Electronic:978-1-5386-2225-4; POD:978-1-5386-2226-1","10.1109/ICCA-TICET.2017.8095301","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=8095301","Cloud computing;internet;public cloud;web","Cloud computing;Education;Google;Information technology;Modems;Web 2.0","","","","","","","","","","1-3 Aug. 2017","","IEEE","IEEE Conference Publications"
"Model of education and training strategy for the high performance computing","J. Škrinárová; E. Vesel","Matej Bel University/ Faculty of Natural Sciences, Slovakia","2016 International Conference on Emerging eLearning Technologies and Applications (ICETA)","20170102","2016","","","315","320","This work focuses on the issue of a high performance computing education based on systems such as grid, cloud, HPC cluster or systems with hybrid environments. The goal is based on the analysis of the High Performance Computing Strategic Research Agenda in Europe and the published findings in USA in context of needs for education and training specifically in HPC and Compute Intensive Science. In order to bridge the gap between the need for HPC proficient staff we have prepared the model of education and training strategy for the HPC ecosystem. We created undergraduate courses for bachelor and master study program and for research program. The work specifies the course of running tasks on high performance computing cluster with support of e-learning. The courses in research program are realized in environment of high performance computing cluster which is part of the Slovak infrastructure of high performance computing.","","Electronic:978-1-5090-4701-7; POD:978-1-5090-4702-4","10.1109/ICETA.2016.7802080","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7802080","","Cloud computing;Computational modeling;Computers;Europe;High performance computing;Training","computer aided instruction;computer science education;further education;parallel processing;training","Europe;HPC proficient staff;HPC training;Slovak infrastructure;USA;bachelor study program;compute intensive science;e-learning;education strategy model;high performance computing cluster;high performance computing education;high performance computing strategic research agenda;master study program;training strategy model;undergraduate courses","","","","","","","","24-25 Nov. 2016","","IEEE","IEEE Conference Publications"
"Cloud computing architecture and migration strategy for universities and higher education","H. Chihi; W. Chainbi; K. Ghdira","University of Tunis, Higher Institute of Computer Science/SOIE, Central Polytechnic Private School of Tunis, Tunisia","2015 IEEE/ACS 12th International Conference of Computer Systems and Applications (AICCSA)","20160709","2015","","","1","8","The concept of Cloud computing is to outsource IT data in remote servers. Data security issues are still being discussed, but the economic and ergonomic gains are not disputed by anyone. Cloud computing is also an opportunity for universities that wish to use information technologies and communication. Higher education institutions must exploit the opportunities offered by Cloud computing while minimizing security risks associated to allow access to advanced IT infrastructure, data centers, applications and sensitive information. In this work, we propose a survey of Cloud computing in Tunisian universities. The result of our research shows that Cloud computing can be used in higher education institutions because it offers an efficient and strategic use of technology to reduce the costs of implementation and maintenance. The paper takes into account the best practices for the use of Cloud computing in universities and higher education. Moreover, we propose a migration strategy, model and architecture for understanding how universities can move from the use of local servers to the use of application as a service.","","Electronic:978-1-5090-0478-2; POD:978-1-5090-0479-9; USB:978-1-5090-0477-5","10.1109/AICCSA.2015.7507140","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7507140","Cloud computing;CloudStack;collaborative network;higher education;migration strategy","Cloud computing;Collaboration;Computational modeling;Computer architecture;Computers;Education","cloud computing;computer centres;further education;outsourcing","Tunisian universities;advanced IT infrastructure;cloud computing architecture;data centers;data outsourcing;data security issues;economic gains;ergonomic gains;higher education institutions;information communication;information technologies;local servers;migration strategy;remote servers","","","","","","","","17-20 Nov. 2015","","IEEE","IEEE Conference Publications"
"Strategy of Digital Education Resources Construction in Cloud-Computing Environment","Q. Jiang; X. Xu","Nanjing Forestry Univ., Nanjing, China","2016 Eighth International Conference on Measuring Technology and Mechatronics Automation (ICMTMA)","20160613","2016","","","632","635","Cloud computing is a new calculation method based on Internet, through analyzing the application value of cloud computing to the construction of digital education resources, this essay puts forward the concrete strategies, clear and definite the foundation and supporting, the goals and tasks, the approaches and methods of the construction, with the hope of contributing to the building of digital education resources.","","Electronic:978-1-5090-2312-7; POD:978-1-5090-2313-4","10.1109/ICMTMA.2016.155","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7488631","Cloud computing Digital Education Resources Construction Strategy","Cloud computing;Computers;Education;Multimedia communication;Technological innovation","Internet;cloud computing;computer aided instruction","Internet;cloud-computing environment;construction strategy;digital education resources construction","","","","12","","","","11-12 March 2016","","IEEE","IEEE Conference Publications"
"Proselytizing pervasive computing education: a strategy and approach influenced by human-computer interaction","D. S. McCrickard; C. M. Chewar","Dept. of Comput. Sci., Virginia Polytech. Inst. & State Univ., Blacksburg, VA, USA","IEEE Annual Conference on Pervasive Computing and Communications Workshops, 2004. Proceedings of the Second","20040330","2004","","","257","262","A course on pervasive computing should be structured around key functions throughout a systems development process to cover common underlying concerns throughout science and engineering disciplines - development of design rationale, prototyping, evaluation, and component reuse. However, broader considerations of usage context and appreciation for research and methodological contributions from other disciplines must be strongly factored into course planning. To achieve both goals, we suggest learning objectives, a general strategy and approach using case-based learning.","","POD:0-7695-2106-1","10.1109/PERCOMW.2004.1276942","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=1276942","","Computer architecture;Computer science;Computer science education;Design engineering;Educational institutions;Human computer interaction;Pervasive computing;Programming profession;Prototypes;Software engineering","computer aided instruction;computer science education;educational courses;engineering education;human computer interaction;ubiquitous computing","case-based learning;course planning;human computer interaction;pervasive computing education;systems development process","","0","","9","","","","14-17 March 2004","","IEEE","IEEE Conference Publications"
"Emerging “cyber hygiene” practices for the Internet of Things (IoT): Professional issues in consulting clients and educating users on IoT privacy and security","J. A. Oravec","University of Wisconsin, United States of America","2017 IEEE International Professional Communication Conference (ProComm)","20170824","2017","","","1","5","“Cyber hygiene” strategies for the Internet of Things (IoT) may soon expand far beyond the various approaches that are prescribed for today's computing technologies in workplaces and households (the latter including frequently changing passwords and installing malware protections). This paper explores the various roles of health professionals, insurance agents, marketers, lawyers, financial specialists, and other professionals who are working with clients and consumers during this period in which IoT devices are evolving rapidly and the IoT-produced data's privacy and other legal statuses are still murky. Roles of technology developers and implementers may also shift as IoT data are retained for an assortment of technical and diagnostic purposes but are later requested or subpoenaed for specific investigations or legal proceedings. The paper will also outline the needs for input to public policy discourse by communications professionals who have some insights as to how IoT advances may impact their clients and society as a whole. In the near future, education and communications professionals may also empower households by designing instructional materials for use in establishing cyber hygiene routines and resolving IoT-related concerns.","","Electronic:978-1-5090-3042-2; POD:978-1-5090-3043-9","10.1109/IPCC.2017.8013965","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=8013965","Internet of Things (IoT);autonomy;privacy;security;user education","Computer security;Internet of Things;Law;Privacy;Social network services","Internet of Things;data privacy;law","Internet of Things;IoT privacy;IoT security;IoT-related concerns;communications professionals;cyber hygiene practices;financial specialists;health professionals;insurance agents;lawyers;legal proceedings;legal statuses;marketers;professional issues;public policy discourse","","","","","","","","23-26 July 2017","","IEEE","IEEE Conference Publications"
"Smart education in Yunnan, China: Present situation and construction measures","Jing Tian; Zongling Zheng","School of Education Science and Management, Yunnan Normal University, Kunming 650500, China","2017 International Conference on Service Systems and Service Management","20170731","2017","","","1","5","In the background of big data, with the rapid development of cloud computing and mobile Internet, smart education ushered Cloud era of the digital, networking and Intelligent.Smart learning, smart teaching, interactive online classroom, personalized learning have become new trends in the development of Education. In this paper, the existing conditions of Yunnan smart education has been analyzed. The development strategies of Yunnan smart education have be proposed, which include constructing the systematic framework of smart education, improving infrastructure of the smart education, seamless access smart city system, constructing the smart education demonstration area, and forming cohesive force for smart education construction.","","Electronic:978-1-5090-6370-3; POD:978-1-5090-6371-0","10.1109/ICSSSM.2017.7996245","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7996245","China;E-education;Smart education;Yunnan;construction strategies;existing condition","Big Data;Cloud computing;Information technology;Mobile communication;Technological innovation;Training","Big Data;Internet;cloud computing;computer aided instruction;interactive systems;mobile computing;teaching","Big Data;China;Yunnan smart education;cloud computing development;interactive online classroom;mobile Internet;personalized learning;seamless access smart city system;smart education demonstration area;smart education infrastructure improvement;smart learning;smart teaching","","","","","","","","16-18 June 2017","","IEEE","IEEE Conference Publications"
"Change Management Guidelines That Address Barriers to Technology Adoption in An Hei Context","R. G. Smuts; V. V. M. Lalitha; H. U. Khan","Univ. of Liverpool, Liverpool, UK","2017 IEEE 7th International Advance Computing Conference (IACC)","20170713","2017","","","754","758","The literature reviewed, has suggested that Technology Enhanced Learning and the related domains of education, technology and business interact in a complex and contextual manner as a new emerging episteme. This is one that faces numerous challenges in terms of the effective management when introducing a change for pedagogical practice that involves the ubiquitous use of computing and ICT against a global user base that is influenced by known and unknown barriers to technology adoption. It is suggested that that with a history of organizational change considerations being a pre-dominantly strategic business related construct, and technology related change being a predominantly project managed or service model construct, that a traditional CM or project approach may not adequately address many barriers to technology adoption. As has occurred in other business/IT related interactions such as the Information systems strategy triangle, learning using technology requires a clear marriage of the technological managerial and pedagogical domains. Organizational, Business, IS, and education strategy all need to interact synergistically in order to move forward with technology use for education. The purpose of this project was to conduct a study that focused on the broad context of technology barriers faced by students using technology around a Moodle based online learning environment. The underlying objective was to examine the interaction between change management activity and student perceptions of both technology barriers and change focusing on encouraging the adoption of technology for learning. The project created and presented a typical open source Moodle based virtual Learning Environment (VLE) in a BYOD situation, to a group of 35 second year university students in the form of activities and a quantitative and qualitative survey of the barriers and interactions.","","Electronic:978-1-5090-1560-3; POD:978-1-5090-1561-0","10.1109/IACC.2017.0156","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7976890","E-learning;HEI context;Technology Adoption;change Management","Analytical models;Business;Context modeling;Education;Guidelines;Mobile communication;Tools","Bring Your Own Device;Internet;computer aided instruction;further education;management of change;public domain software","BYOD situation;HEI context;Moodle based online learning environment;change management guidelines;open source Moodle based virtual learning environment;organizational change considerations;project managed construct;service model construct;strategic business related construct;technology adoption;technology enhanced learning;technology related change","","","","","","","","5-7 Jan. 2017","","IEEE","IEEE Conference Publications"
"A Light-Weight Rapid Control Prototyping System Based on Open Source Hardware","Y. S. Lee; B. Jo; S. Han","Department of Electrical Engineering, Inha University, Incheon, South Korea","IEEE Access","20170630","2017","5","","11118","11130","In this paper, we propose a light-weight rapid control prototyping (RCP) system based on off-the-shelf open source hardware to achieve high performance computing, cost effectiveness, portability, and easy accessiblity. The proposed RCP system consists of a PC-based computer-aided control system design (CACSD) tool for computing control action and tiny palm-sized open source hardware for input and output (I/O) operation and data transfer through a built-in high-speed USB interface. The popular-priced and portable open source hardware is used as a bridge between CACSD tools and real plants to deliver the control and sensor data at the sampling time points. Ten I/O function blocks written in C code are developed based on the CACSD tool employed for the proposed light-weight RCP system in order to handle I/O operation in a simple way. In addition, we suggest two practical strategies, a batch transfer strategy and a variable sampling period method, to increase the sampling rate of the control system. It is shown through experiment that the proposed light-weight RCP system works well up to a sampling rate of 2 kHz without adopting expensive hardware and C code generators. It is expected that the proposed RCP system will be considered as affordable and readily available to schools for mass education.","","","10.1109/ACCESS.2017.2715184","10.13039/501100002635 - Inha University Research Grant; ","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7947098","Arduino due;block libraries;high-speed USB interface;rapid control prototyping (RCP)","Control systems;Open source hardware;Real-time systems;Software packages;Tools;Universal Serial Bus","C language;control system CAD;parallel processing","C code;I/O operation;PC-based CACSD;USB interface;batch transfer strategy;computer-aided control system design;computing control;data transfer;high performance computing;input and output operation;light-weight RCP system;light-weight rapid control prototyping system;off-the-shelf open source hardware;variable sampling period method","","","","","","OAPA","20170613","2017","","IEEE","IEEE Journals & Magazines"
