"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Fake or Real? Analysis of Physical Phenomena in Viral Videos as an Inquiry Learning Activity","S. Manske; H. U. Hoppe","Fac. of Eng., Univ. of Duisburg-Essen, Duisburg, Germany","2017 IEEE 17th International Conference on Advanced Learning Technologies (ICALT)","20170807","2017","","","325","329","To conduct scientific experiments is a central aspect in science education in secondary schools. Online laboratories overcome a variety of deficits and obstacles that complicate in situ experiments, particularly regarding accessibility, availability, financial costs and preparation time. However, such a computer-supported learning approach still demands for motivating and playful scenarios to catch and engage students with a lower affinity to sciences. This gap is closed by ""Fake or Real""-scenarios, in which students verify or falsify the authenticity of viral videos from the internet. We developed a web-based online lab along with inquiry-based learning scenarios for the (interactive) analysis of such videos by extracting physical parameters according to corresponding hypotheses. The work has been evaluated in a classroom experiment including 17 high school students in an interdisciplinary lesson.","","Electronic:978-1-5386-3870-5; POD:978-1-5386-3871-2","10.1109/ICALT.2017.128","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=8001795","Inquiry-based learning;STEM;video laboratory;viral videos","Gender issues;Laboratories;Physics education;Tools;Videos","Internet;computer aided instruction;laboratories","Web-based online lab;classroom experiment;computer-supported learning approach;fake-or-real scenarios;inquiry learning activity;interdisciplinary lesson;physical phenomena analysis;science education;student engagement;viral videos","","","","","","","","3-7 July 2017","","IEEE","IEEE Conference Publications"
"MUzECS: Embedded blocks for exploring computer science","M. Bajzek; H. Bort; O. Hunpatin; L. Mivshek; T. Much; C. O'Hare; D. Brylow","Marquette University","2015 IEEE Blocks and Beyond Workshop (Blocks and Beyond)","20160104","2015","","","127","132","We build on the success of the Exploring Computer Science (ECS) curriculum, which has improved the accessibility of a Computer Science education to students of all backgrounds. While ECS has been well-received by its students and successful in reaching many students of diverse backgrounds, it currently suffers from a final module which is expensive and offers no easy transition to text-based programming. This module, which teaches robotics as an application of computing, rests on the LEGO Mindstorms1 platform. The Mindstorms have a block-based programming language that abstracts too much code to be of any use for making a transition from block-based programming to text-based programming. They are also more expensive than most schools can afford. This paper reports on one aspect of our successful effort to create an alternative curriculum which meets the same curriculum objectives as the current sixth module, but for a reduced price.","","Electronic:978-1-4673-8367-7; POD:978-1-4673-8368-4","10.1109/BLOCKS.2015.7369021","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7369021","Arduino;Computer Science;ECS;block-based programming;paper","Computer languages;Hardware;Keyboards;Programming profession;Visualization","computer aided instruction;computer science education;educational institutions;embedded systems;object-oriented languages;object-oriented programming","ECS;LEGO Mindstorm;MUzECS;block-based programming language;embedded block;exploring computer science education;schools;text-based programming","","","","7","","","","22-22 Oct. 2015","","IEEE","IEEE Conference Publications"
"STEM collaboration in virtual world academy","L. Divine; R. Williams","Virtual Reality Academy Deputy Director, Tec&#x005E;Edge Innovation and Collaboration Center, Dayton, Ohio, United States","2013 International Conference on Collaboration Technologies and Systems (CTS)","20130725","2013","","","569","575","There is general agreement about the importance of increasing the number of students choosing career fields in Science, Technology, Engineering, and Mathematics (STEM). However most of the initiatives designed to get students interested in STEM fields are constrained by floor space, budget, or driving distance. These factors, in combination, act to limit the affordability and accessibility of research opportunities in STEM fields to students in schools faced with increasingly limited budgets or lacking access to experienced STEM teachers. Since a trained STEM workforce is crucial to tackling research challenges of importance to the Air Force and the nation, the Air Force Research Laboratory (AFRL) Discovery Lab program has developed a Virtual Reality Academy (VRA) program utilizing open source virtual reality software, Open Simulator, to create a virtual collaboration environment called Virtual (reality) Discovery Center (VDC). This 16-region VDC is the key to the Discovery Lab's 1,000 Student Outreach initiative designed to greatly expand the Discovery Lab's ability to make project-based “hands-on” research experience accessible to students across the country via the Open Simulator collaboration technologies. This paper highlights many of the successful efforts to establish VDC Virtual Learning Academies in areas such as Biology, Nanotechnology, Computer Vision, and Mobile Computing (smartphone apps). This paper is not a scientific study of Open Simulator as a collaboration tool for STEM but rather a descriptive overview of its successful implementation locally and nationally - suggesting its potential as a game-changer in STEM education and research.","","Electronic:978-1-4673-6404-1; POD:978-1-4673-6403-4","10.1109/CTS.2013.6567288","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6567288","","Avatars;Collaboration;Dinosaurs;Educational institutions;Solid modeling;Space shuttles","computer aided instruction;engineering education;groupware;public domain software;teaching;virtual reality","16-region VDC;Air Force Research Laboratory Discovery Lab program;Open Simulator collaboration technologies;STEM collaboration;STEM fields;STEM teachers;STEM workforce;VRA program;Virtual Discovery Center;Virtual Reality Academy program;driving distance;floor space;open source virtual reality software;project-based hands-on research experience;science-technology-engineering-mathematics;virtual collaboration environment;virtual learning academies","","1","","6","","","","20-24 May 2013","","IEEE","IEEE Conference Publications"
"Evaluating Cisco e-learning Courses Modified for the Vision Impaired","H. L. Armstrong; I. D. Murray; R. R. Permvattana","School of Information Systems at Curtin University, e-mail: Helen.Armstrong@cbs.curtin.edu.au","2006 7th International Conference on Information Technology Based Higher Education and Training","20070402","2006","","","155","160","The needs of vision impaired students are quite different to sighted students. The increasing use of e-learning means higher education must move to multi-modal user interfaces in order to make e-learning materials accessible to all students. E-Learning materials (particularly in the sciences and technology) are predominantly visual, presented via computer keyboard and screen. Software and devices designed to aid the vision impaired are unable to decipher most images and visual- centric objects contained in e-learning materials. This paper discusses a project undertaken over the past two years to modify the content and presentation of Cisco certification e-learning courses to enable accessibility by vision impaired and blind students. These modifications necessitated rewriting the learning materials so they could be effectively presented via multi-modal user interfaces to vision impaired students, involving speech, audio, haptics and force-feed devices and methods. Evaluation of sections of the project by the vision impaired students using a model based upon Stufflebeam's CIPP model and Kirkpatrick's Four-Level training program evaluation model has been carried out and the results are presented.","","CD-ROM:1-4244-0406-1; POD:1-4244-0405-3","10.1109/ITHET.2006.339759","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4141622","educational technology;handicapped aids;information technology;user interface human factors","Computer science education;Computer vision;Educational programs;Electronic learning;Face detection;Graphics;Keyboards;Materials science and technology;Software design;User interfaces","computer aided instruction;educational courses;further education;handicapped aids;haptic interfaces","Cisco certification e-learning courses;Stufflebeam CIPP model;e-learning materials;force-feed devices;haptic devices;higher education;multi modal user interfaces;vision impaired students","","0","","13","","","","10-13 July 2006","","IEEE","IEEE Conference Publications"
"Technology transfer issues for formal methods of software specification","K. Abernethy; J. Kelly; A. Sobel; J. D. Kiper; J. Powell","Dept. of Comput. Sci., Furman Univ., Greenville, SC, USA","Thirteenth Conference on Software Engineering Education and Training","20020806","2000","","","23","31","Accurate and complete requirements specifications are crucial for the design and implementation of high-quality software. Unfortunately, the articulation and verification of software system requirements remains one of the most difficult and error-prone tasks in the software development lifecycle. The use of formal methods, based on mathematical logic and discrete mathematics, holds promise for improving the reliability of requirements articulation and modeling. However, formal modeling and reasoning about requirements has not typically been a part of the software analyst's education and training, and because the learning curve for the use of these methods is nontrivial, adoption of formal methods has proceeded slowly. As a consequence, technology transfer is a significant issue in the use of formal methods. In this paper, several efforts undertaken at NASA aimed at increasing the accessibility of formal methods are described. These include the production of the following: two NASA guidebooks on the concepts and applications of formal methods, a body of case studies in the application of formal methods to the specification of requirements for actual NASA projects, and course materials for a professional development course introducing formal methods and their application to the analysis and design of software-intensive systems. In addition, efforts undertaken at two universities to integrate instruction on formal methods based on these NASA materials into the computer science and software engineering curricula are described.","1093-0175;10930175","POD:0-7695-0421-3","10.1109/CSEE.2000.827014","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=827014","","Application software;Educational institutions;Logic;Mathematical model;Mathematics;NASA;Production systems;Programming;Software systems;Technology transfer","aerospace computing;aerospace industry;computer science education;educational courses;formal specification;technology transfer;training","NASA;aerospace industry;case studies;computer science education;discrete mathematics;formal methods;high-quality software;mathematical logic;professional development course;requirements specifications;requirements verification;technology transfer;training","","3","","24","","","","6-8 March 2000","","IEEE","IEEE Conference Publications"
"Social science education: a visualization and simulation perspective","A. Ichikawa; M. Mukuda","Sch. of Econ., Ryutsu Keizai Univ., Japan","Proceedings International Workshop on Advanced Learning Technologies. IWALT 2000. Advanced Learning Technology: Design and Development Issues","20020806","2000","","","280","281","As the Internet Age comes about with the easier accessibility of data, information and knowledge, human beings have created and accumulated a holistic understanding of the society in which we live. The social significance of our decisions and behaviors is an essence of social sciences, at any level of educational institutions. As compared with natural sciences, social sciences somewhat lack maturity in instructional technology, in Japan at least. The authors focus on the visualization and simulation of cause-and-effect relations in social systems, hoping to make some progress in computer based learning environments for social science education","","POD:0-7695-0653-4","10.1109/IWALT.2000.890635","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=890635","","Computational modeling;Computer science education;Computer simulation;Data visualization;Demography;Educational institutions;Environmental economics;Government;Humans;Internet","Internet;courseware;data visualisation;digital simulation;social sciences computing;teaching","Internet Age;Japan;cause-and-effect relations;computer based learning environments;data accessibility;educational institutions;holistic understanding;human beings;instructional technology;natural sciences;simulation perspective;social science education;social significance;social systems;society;visualization","","0","","3","","","","2000","04 Dec 2000-06 Dec 2000","IEEE","IEEE Conference Publications"
"Technical Committee on Control Education [Technical Activities]","S. Dormido","","IEEE Control Systems","20171110","2017","37","6","15","29","activities of the IEEE Control Systems Society Technical Committee on Control Education (TC-CE) are focused on 1) promoting control with its cross-boundary nature as a field that spans science, technology, engineering, and mathematics (STEM); 2) providing students at all levels, including precollege, undergraduate, graduate, and postgraduate, with the opportunity to explore the world of control engineering; 3) organizing workshops and special sessions on education that unite members from academia and industry to facilitate learning experiences and attract students to control engineering; 4) communicating to the public at large about the control field; and 5) engaging all TCs in control education issues and activities. TC-CE currently has 30 members. Bozenna Pasik-Duncan chaired the TC from January 2012 to December 2014. Ljubo Vlacic was the chair in 2015, and Sebastian Dormido held the position from January 2016 to September 2017. Anthony Rossiter is the new chair. Among the topics of interest currently pursued by the membership are university education and continuing education issues in control; methodologies for improving the theory, practice, and accessibility of control systems education; control education laboratories; experiments; computer-aided design (CAD); distance and virtual education technologies; and a general awareness among precollege students and teachers of the importance of systems and control technology and its cross-disciplinary nature. This column summarizes the 2016 activities.","1066-033X;1066033X","","10.1109/MCS.2017.2743524","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=8103977","","","","","","","","","","","","Dec. 2017","","IEEE","IEEE Journals & Magazines"
"Exploring the educational potential of QR codes","R. K. Sungkur; V. Neermul; V. Tauckoor","Computer Science and Engineering Dept, University of Mauritius","2016 International Conference on Advances in Computing and Communication Engineering (ICACCE)","20171019","2016","","","368","373","Education through the past years has changed the way teaching and learning is inculcated to the new generation. The rapid growth of technology has accelerated the change in teaching methods and has given birth to new methods like distance learning and online learning, where lectures notes and material are shared via educational platforms. This leaves traditional face to face lecture session to a discussion type session where tutor and student discuss about topics and do more class activity. Technology offers new ways in transferring data and information in large amounts very rapidly and also offers the accessibility not only to large information pools such as the internet but also offers access to online storage remotely accessible. One way education can benefit from this is to make use of Quick Response (QR) Code. With its potential, QR Codes can be exploited to change the ways both tutors and students interact in class. This can be achieved by combining Mobile technology, Quick Response Code technology and Cloud technology.","","CD:978-1-5090-2575-6; Electronic:978-1-5090-2576-3; POD:978-1-5090-2577-0","10.1109/ICACCE.2016.8073777","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=8073777","QR codes;cloud technology;education;educational platforms;mobile technology","Bar codes;Business;Cloud computing;Education;Mobile applications;Mobile communication;Uniform resource locators","Internet;QR codes;computer aided instruction;computer science education;distance learning;mobile computing;teaching","Cloud technology;Mobile technology;QR Codes;Quick Response Code technology;accessibility;class activity;discussion type session;distance learning;educational platforms;educational potential;information pools;lecture session;lectures notes;online learning;online storage;teaching","","","","","","","","28-29 Nov. 2016","","IEEE","IEEE Conference Publications"
"An Investigation of the Influence of Drug Addiction on Learning Behaviors in a Game-Based Learning Environment","T. C. Yang; M. C. Chen; Y. S. Sun","Inst. of Inf. Sci., Taipei, Taiwan","2017 IEEE 17th International Conference on Advanced Learning Technologies (ICALT)","20170807","2017","","","158","162","Abuse of drug cause serious problems around the world by years. Thus, anti-drug materials have been increasingly developed. However, conventional anti-drug materials had limited effects on preventing drugs abuse, especially for drug addictive users. To this end, game-based anti-drug materials have been considered as a promising approach to deal with the issue in this study. As far as the drug-addicted experience is concerned, how drug addictive users and drug non-addictive users interacted with the game-based anti-drug materials is analyzed. The results revealed that the drug-addicted experience influenced users' performance of accessing information during gaming process, preference of completing tasks and the approach to reach goals.","","Electronic:978-1-5386-3870-5; POD:978-1-5386-3871-2","10.1109/ICALT.2017.136","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=8001746","drug abuse;educational digital games;health education;learning behaviour","Data analysis;Drugs;Education;Games;Instruments;Media;Sequential analysis","behavioural sciences computing;computer aided instruction;drugs;serious games (computing)","drug abuse;drug nonaddictive users;drug-addicted user experience;game-based antidrug materials;game-based learning environment;gamming process;information accessibility;learning behaviors;task completion preference;user performance","","","","","","","","3-7 July 2017","","IEEE","IEEE Conference Publications"
"Towards accessible graphs in HTML-based scientific articles","S. Mirri; S. Peroni; P. Salomoni; F. Vitali; V. Rubano","Department of Computer Science and Engineering, Universit&#x00E0; di Bologna, Bologna, Italy","2017 14th IEEE Annual Consumer Communications & Networking Conference (CCNC)","20170720","2017","","","1067","1072","Recently, several proposals and discussions have tried to push the use of HTML for preparing and sharing research works within the scholarly domain. Therefore, several native HTML-based templates and formats have been introduced for allowing researchers to write scientific documents, which could be access even with assistive technologies, e.g., screen readers. While HTML can be a good basis for guaranteeing accessibility of such papers, several issues are still in place when we consider the inclusion of non-textual entities in the main text, such as complex formulas and figures. In this paper we experiment on the use of one of such HTML formats, i.e., the Research Articles in Simplified HTML (RASH) format, extended for creating accessible graphs automatically out of CSV data. In particular, we introduce an extension to RASH to let the creation of accessible graphs. Moreover, we analyze the outcomes of some preliminary experiments we have done by using different screen readers on several operating systems and browsers.","","Electronic:978-1-5090-6196-9; POD:978-1-5090-6197-6","10.1109/CCNC.2017.7983287","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7983287","RASH;accessibility in education;accessibility in scientific documents;accessible graphs","Assistive technology;Browsers;HTML;Portable document format;Standards;Tools;Visualization","data visualisation;document handling;hypermedia markup languages;scientific information systems","CSV data;HTML-based scientific articles;HTML-based templates;RASH;accessible graphs;operating systems;research articles-in-simplified HTML;scientific document writing","","","","","","","","8-11 Jan. 2017","","IEEE","IEEE Conference Publications"
