"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","1631783","Gregory W. Hislop and Lillian  Cassel and Lois  Delcambre and Edward  Fox and Rick  Furuta and Peter  Brusilovsky","","","","Ensemble: Creating a National Digital Library for Computing Education","200--200","","1","information technology, sharing curriculum materials","10.1145/1631728.1631783","","","","","","","2009","","Proceedings of the 10th ACM Conference on SIG-information Technology Education","SIGITE '09","","978-1-60558-765-3","Fairfax, Virginia, USA","ACM","New York, NY, USA"
"article","947518","Anand  Padmanabhan","","","","The SNet Model: Access, Security and e-Services for Students","182--188","","7","SNet, communication, eServices, email, higher education, information technology, model, wireless","10.1145/947469.947518","","","","","","","2003","","Proceedings of the 31st  Annual ACM SIGUCCS Fall Conference","SIGUCCS '03","","1-58113-665-X","San Antonio, TX, USA","ACM","New York, NY, USA"
"article","2738025","Jasmine  Jones and Joyojeet  Pal","","","","Counteracting Dampeners: Understanding Technology-amplified Capabilities of People with Disabilities in Sierra Leone","6:1--6:10","6","10","accessibility, africa, amplification, assistive technology, capability, disability, education, marginality, mobile","10.1145/2737856.2738025","","","","","","","2015","","Proceedings of the Seventh International Conference on Information and Communication Technologies and Development","ICTD '15","","978-1-4503-3163-0","Singapore, Singapore","ACM","New York, NY, USA"
"article","1117433","Almudena Moreno Minguez","","","","New Technologies As Social Fact: Gender and Digital Divide in Spain in Compared Perspective","","16","","education, gender, information technology, women studies","10.1145/1117417.1117433","","","","","","","2005","","Proceedings of the International Symposium on Women and ICT: Creating Global Transformation","CWIT '05","","1-59593-301-8","Baltimore, Maryland, USA","ACM","New York, NY, USA"
"article","2538997","Yan  Bai and Xinli  Wang","","","","ITSEED: Hands-on Labs for IT Security Education (Abstract Only)","739--739","","1","information technology, security education","10.1145/2538862.2538997","","","","","","","2014","","Proceedings of the 45th ACM Technical Symposium on Computer Science Education","SIGCSE '14","","978-1-4503-2605-6","Atlanta, Georgia, USA","ACM","New York, NY, USA"
"article","2670751","Jaideep  Vaidya and David  Lorenzi and Basit  Shafiq and Soon  Chun and Nazia  Badar","","","","Teaching Privacy in an Interactive Fashion","7:1--7:7","7","7","case study, privacy, technology education","10.1145/2670739.2670751","","","","","","","2014","","Proceedings of the 2014 Information Security Curriculum Development Conference","InfoSec '14","","978-1-4503-3049-7","Kennesaw, Georgia","ACM","New York, NY, USA"
"article","1352280","Charlie  Wiseman and Ken  Wong and Tilman  Wolf and Sergey  Gorinsky","","","","Operational Experience with a Virtual Networking Laboratory","427--431","","5","assessment, educational technology, virtual laboratory","10.1145/1352322.1352280","SIGCSE Bull.","March 2008","40","1","","March","2008","0097-8418","","","","","","ACM","New York, NY, USA"
"article","1352280","Charlie  Wiseman and Ken  Wong and Tilman  Wolf and Sergey  Gorinsky","","","","Operational Experience with a Virtual Networking Laboratory","427--431","","5","assessment, educational technology, virtual laboratory","10.1145/1352135.1352280","","","","","","","2008","","Proceedings of the 39th SIGCSE Technical Symposium on Computer Science Education","SIGCSE '08","","978-1-59593-799-5","Portland, OR, USA","ACM","New York, NY, USA"
"article","1953323","Andreas M. Stefik and Christopher  Hundhausen and Derrick  Smith","","","","On the Design of an Educational Infrastructure for the Blind and Visually Impaired in Computer Science","571--576","","6","accessibility, assistive technology, auditory debugging, visual impairments","10.1145/1953163.1953323","","","","","","","2011","","Proceedings of the 42Nd ACM Technical Symposium on Computer Science Education","SIGCSE '11","","978-1-4503-0500-6","Dallas, TX, USA","ACM","New York, NY, USA"
"article","947149","Elizabeth  Lawley and Tona  Henderson","","","","Understanding Gendered Attrition in IT Programs","122--125","","4","information technology education, women","10.1145/947121.947149","","","","","","","2003","","Proceedings of the 4th Conference on Information Technology Curriculum","CITC4 '03","","1-58113-770-2","Lafayette, Indiana, USA","ACM","New York, NY, USA"
"article","2380576","Ye Diana Wang and Gabrielle  Webster","","","","Assisting Students with Disabilities in Distance Education: An Exploratory Study into Their Experiences","83--84","","2","accessibility, distance education, higher education, people with disabilities","10.1145/2380552.2380576","","","","","","","2012","","Proceedings of the 13th Annual Conference on Information Technology Education","SIGITE '12","","978-1-4503-1464-0","Calgary, Alberta, Canada","ACM","New York, NY, USA"
"article","2380568","Ye Diana Wang","","","","A Holistic and Pragmatic Approach to Teaching Web Accessibility in an Undergraduate Web Design Course","55--60","","6","accessibility, pedagogy, people with disabilities, web accessibility education, web design","10.1145/2380552.2380568","","","","","","","2012","","Proceedings of the 13th Annual Conference on Information Technology Education","SIGITE '12","","978-1-4503-1464-0","Calgary, Alberta, Canada","ACM","New York, NY, USA"
"article","2047657","Chia-Chi  Teng and Joseph J. Ekstrom","","","","A Health IT Application Domain Course for a Traditional IT Program","239--244","","6","health, information technology education","10.1145/2047594.2047657","","","","","","","2011","","Proceedings of the 2011 Conference on Information Technology Education","SIGITE '11","","978-1-4503-1017-8","West Point, New York, USA","ACM","New York, NY, USA"
"article","2380557","Bryan S. Goda and Robert  Friedman","","","","Designing a Masters Program in Cybersecurity and Leadership","9--12","","4","cybersecurity, information technology education","10.1145/2380552.2380557","","","","","","","2012","","Proceedings of the 13th Annual Conference on Information Technology Education","SIGITE '12","","978-1-4503-1464-0","Calgary, Alberta, Canada","ACM","New York, NY, USA"
"article","1268810","Andr&#233; Pimenta Freire and Renata Pontin de Mattos Fortes and Debora Maria Barroso Paiva and Marcelo Augusto Santos Turine","","","","Using Screen Readers to Reinforce Web Accessibility Education","82--86","","5","assistive technology, education, web accessibility","10.1145/1269900.1268810","SIGCSE Bull.","September 2007","39","3","","June","2007","0097-8418","","","","","","ACM","New York, NY, USA"
"article","1268810","Andr&#233; Pimenta Freire and Renata Pontin de Mattos Fortes and Debora Maria Barroso Paiva and Marcelo Augusto Santos Turine","","","","Using Screen Readers to Reinforce Web Accessibility Education","82--86","","5","assistive technology, education, web accessibility","10.1145/1268784.1268810","","","","","","","2007","","Proceedings of the 12th Annual SIGCSE Conference on Innovation and Technology in Computer Science Education","ITiCSE '07","","978-1-59593-610-3","Dundee, Scotland","ACM","New York, NY, USA"
"article","1872972","Gillian R. Hayes and Sen  Hirano and Gabriela  Marcu and Mohamad  Monibi and David H. Nguyen and Michael  Yeganyan","","","","Interactive Visual Supports for Children with Autism","663--680","","18","Assistive technology, Autism, Capture and access, Education, Visual supports","10.1007/s00779-010-0294-8","Personal Ubiquitous Comput.","October   2010","14","7","","October","2010","1617-4909","","","","","","Springer-Verlag","London, UK, UK"
"article","2910036","Viviane Gomes da Silva and Ranni&#233;ry Mazzilly Silva de Souza and Mafalda  Oliveira and Rafael Lima Medeiros","","","","Web Accessibility for Elderly","367--368","","2","Information and Communication Technology (ICT), Senior, Web Accessibility","10.1145/2910019.2910036","","","","","","","2016","","Proceedings of the 9th International Conference on Theory and Practice of Electronic Governance","ICEGOV '15-16","","978-1-4503-3640-6","Montevideo, Uruguay","ACM","New York, NY, USA"
"article","1900480","Stephen  Grant and Laurel Evelyn Dyson and Toni  Robertson","","","","A Participatory Approach to the Inclusion of Indigenous Australians in Information Technology","207--210","","4","higher education, indigenous education, indigenous participation, information technology","10.1145/1900441.1900480","","","","","","","2010","","Proceedings of the 11th Biennial Participatory Design Conference","PDC '10","","978-1-4503-0131-2","Sydney, Australia","ACM","New York, NY, USA"
"article","1227501","Charles  Border","","","","The Development and Deployment of a Multi-user, Remote Access Virtualization System for Networking, Security, and System Administration Classes","576--580","","5","VMware, computer labs, information technology education, security, virtual machines","10.1145/1227504.1227501","SIGCSE Bull.","March 2007","39","1","","March","2007","0097-8418","","","","","","ACM","New York, NY, USA"
"article","1227501","Charles  Border","","","","The Development and Deployment of a Multi-user, Remote Access Virtualization System for Networking, Security, and System Administration Classes","576--580","","5","VMware, computer labs, information technology education, security, virtual machines","10.1145/1227310.1227501","","","","","","","2007","","Proceedings of the 38th SIGCSE Technical Symposium on Computer Science Education","SIGCSE '07","","1-59593-361-1","Covington, Kentucky, USA","ACM","New York, NY, USA"
"article","1167434","Daniela  Marghitu and Chris  Harmon and Kai  Chang","","","","Developing a Universally Accessible Web Portal for Traditional and Distance Learning Versions of a Computer Literacy Course: An Auburn University Case Study","288--293","","6","accessible web design and development, assistive technology, distance education","10.1145/1167350.1167434","","","","","","","2005","","Proceedings of the 43rd Annual Southeast Regional Conference - Volume 1","ACM-SE 43","","1-59593-059-0","Kennesaw, Georgia","ACM","New York, NY, USA"
"article","1324321","William D. Armitage and Alessio  Gaspar and Matthew  Rideout","","","","Remotely Accessible Sandboxed Environment with Application to a Laboratory Course in Networking","83--90","","8","IT education, laboratories, networking","10.1145/1324302.1324321","","","","","","","2007","","Proceedings of the 8th ACM SIGITE Conference on Information Technology Education","SIGITE '07","","978-1-59593-920-3","Destin, Florida, USA","ACM","New York, NY, USA"
"article","2678296","Steve  Carr and Melissa  Keranen and Jean  Mayo","","","","Teaching Cryptography and Access Control Hands-On (Abstract Only)","707--707","","1","access control, cryptography, security education","10.1145/2676723.2678296","","","","","","","2015","","Proceedings of the 46th ACM Technical Symposium on Computer Science Education","SIGCSE '15","","978-1-4503-2966-8","Kansas City, Missouri, USA","ACM","New York, NY, USA"
"article","857121","Kristian  Kiili","","","","Technology Access: Resources Wasted in Computer Laboratories","77--79","","3","computer, computer room, teacher, technological infrastructure, technology","","","","","","","","2003","","Proceedings of the 3.1 and 3.3 Working Groups Conference on International Federation for Information Processing: ICT and the Teacher of the Future - Volume 23","CRPIT '03","","1-920682-02-3","Melbourne, Australia","Australian Computer Society, Inc.","Darlinghurst, Australia, Australia"
"article","1878860","Yarden  Moskovitch and Bruce N. Walker","","","","Evaluating Text Descriptions of Mathematical Graphs","259--260","","2","graph description, graphs, math description engine, math education, technology review","10.1145/1878803.1878860","","","","","","","2010","","Proceedings of the 12th International ACM SIGACCESS Conference on Computers and Accessibility","ASSETS '10","","978-1-60558-881-0","Orlando, Florida, USA","ACM","New York, NY, USA"
"article","2808604","Francisco J. Garc&#237;a-Pe&#241;alvo and &#193;ngel Fidalgo Blanco and Mar&#237;a Luisa Sein-Echaluce","","","","Educational Innovation Management: A Case Study at the University of Salamanca","151--158","","8","best practices, educational innovation, open access, repository","10.1145/2808580.2808604","","","","","","","2015","","Proceedings of the 3rd International Conference on Technological Ecosystems for Enhancing Multiculturality","TEEM '15","","978-1-4503-3442-6","Porto, Portugal","ACM","New York, NY, USA"
"article","1969293","Christopher  Bailey and Elaine  Pearson","","","","Development and Trial of an Educational Tool to Support the Accessibility Evaluation Process","2:1--2:10","2","10","accessibility education, web accessibility evaluation, web accessibility guidelines","10.1145/1969289.1969293","","","","","","","2011","","Proceedings of the International Cross-Disciplinary Conference on Web Accessibility","W4A '11","","978-1-4503-0476-4","Hyderabad, Andhra Pradesh, India","ACM","New York, NY, USA"
"article","1408764","Gregg C.  Vanderheiden","","","","Ubiquitous Accessibility, Common Technology Core, and Micro Assistive Technology: Commentary on &Ldquo;Computers and People with Disabilities&Rdquo;","10:1--10:7","10","7","Interfaces, micro-AT, ubiquitous accessibility","10.1145/1408760.1408764","ACM Trans. Access. Comput.","October 2008","1","2","","October","2008","1936-7228","","","","","","ACM","New York, NY, USA"
"article","1926066","Ying  Liu and Jean  Bacon","","","","Innovation or Diffusion?: Three Scenarios of Vocational Education Settings in ICT Practices for People with Learning Difficulties in China","8:1--8:4","8","4","ICT, special educational needs, technology diffusion, technology innovation, vocational education","","","","","","","","2010","","Proceedings of the 4th International Convention on Rehabilitation Engineering & Assistive Technology","iCREATe '10","","978-981-08-6199-5","Shanghai, China","Singapore Therapeutic, Assistive & Rehabilitative Technologies (START) Centre","Kaki Bukit TechPark II,, Singapore"
"article","1812570","A.  Chabossou and C.  Stork and M.  Stork and Z.  Zahonogo","","","","Mobile Telephony Access and Usage in Africa","392--405","","14","developing nations, economics, information technology, mobile communication","","","","","","","","2009","","Proceedings of the 3rd International Conference on Information and Communication Technologies and Development","ICTD'09","","978-1-4244-4662-9","Doha, Qatar","IEEE Press","Piscataway, NJ, USA"
"article","1329116","Margaret A. Dickey-Kurdziolek","","","","Teacher Choice and Effects of Classroom Resource Utilization in a Technological Intervention on Rate and Proportionality","4:1--4:2","4","2","educational technology, technology adoption","10.1145/1329112.1329116","","","","","","","2007","","GROUP '07 Doctoral Consortium Papers","GROUP '07","","978-1-59593-845-9","Sanibel Island, Florida","ACM","New York, NY, USA"
"article","1655937","Rattiporn  Luanrattana and Khin Than Win","","","","The Deployment of PDA Accessible Clinical-log for Medical Education in PBL-approach","63--68","","6","clinical-log, information technology, medical education, personal digital assistants, problem-based learning","10.1145/1655925.1655937","","","","","","","2009","","Proceedings of the 2Nd International Conference on Interaction Sciences: Information Technology, Culture and Human","ICIS '09","","978-1-60558-710-3","Seoul, Korea","ACM","New York, NY, USA"
"article","1168818","William K. Suchan and Jean R.S. Blair and Duane  Fairfax and Bryan S. Goda and Kevin L. Huggins and Mike J. Lemanski","","","","Faculty Development in Information Technology Education","15--18","","4","faculty development, information technology education","10.1145/1168812.1168818","","","","","","","2006","","Proceedings of the 7th Conference on Information Technology Education","SIGITE '06","","1-59593-521-5","Minneapolis, Minnesota, USA","ACM","New York, NY, USA"
"article","1812562","Farida  Khan and Rehana  Ghadially","","","","Empowering Muslim Youth Through Computer Education, Access, Use: A Gender Analysis","310--319","","10","access, computers/internet, empowerment, gender","","","","","","","","2009","","Proceedings of the 3rd International Conference on Information and Communication Technologies and Development","ICTD'09","","978-1-4244-4662-9","Doha, Qatar","IEEE Press","Piscataway, NJ, USA"
"article","305941","Hannah  Dee and Peter  Reffell","","","","ACOM (&Ldquo;Computing for All&Rdquo;): An Integrated Approach to the Teaching and Learning of Information Technology","195--","","","higher education, information technology, skills","10.1145/384267.305941","SIGCSE Bull.","Sept. 1999","31","3","","June","1999","0097-8418","","","","","","ACM","New York, NY, USA"
"article","305941","Hannah  Dee and Peter  Reffell","","","","ACOM (&Ldquo;Computing for All&Rdquo;): An Integrated Approach to the Teaching and Learning of Information Technology","195--","","","higher education, information technology, skills","10.1145/305786.305941","","","","","","","1999","","Proceedings of the 4th Annual SIGCSE/SIGCUE ITiCSE Conference on Innovation and Technology in Computer Science Education","ITiCSE '99","","1-58113-087-2","Cracow, Poland","ACM","New York, NY, USA"
"article","2184753","BeomSeok  Kim and Jinsung  Cho","","","","A Novel Priority-based Channel Access Algorithm for Contention-based MAC Protocol in WBANs","1:1--1:5","1","5","CAP, MAC protocol, WBAN, channel access algorithm","10.1145/2184751.2184753","","","","","","","2012","","Proceedings of the 6th International Conference on Ubiquitous Information Management and Communication","ICUIMC '12","","978-1-4503-1172-4","Kuala Lumpur, Malaysia","ACM","New York, NY, USA"
"article","2037316","Alessandro  Pollini and Leonardo  Giusti and Linda  Napoletano","","","","Emerging Informal Learning 2.0 Practices: A Preliminary Exploration","71--75","","5","computer science education, curriculum, informal learning, information systems education, technology-enhanced learning, web 2.0","10.1145/2037296.2037316","","","","","","","2011","","Proceedings of the 9th ACM SIGCHI Italian Chapter International Conference on Computer-Human Interaction: Facing Complexity","CHItaly","","978-1-4503-0876-2","Alghero, Italy","ACM","New York, NY, USA"
"article","2184839","Heemoon  Chae and Jooik  Jung and Jong-Hyuk  Lee and Kyong-Ho  Lee","","","","An Efficient Access Control Based on Role Attributes in Service Oriented Environments","73:1--73:7","73","7","XACML, access control, role attributes, web services","10.1145/2184751.2184839","","","","","","","2012","","Proceedings of the 6th International Conference on Ubiquitous Information Management and Communication","ICUIMC '12","","978-1-4503-1172-4","Kuala Lumpur, Malaysia","ACM","New York, NY, USA"
"article","2108692","Kyu Il Kim and Won Young Kim and Joon Suk Ryu and Hyuk Jin Ko and Ung Mo Kim and Woo Jun Kang","","","","RBAC-based Access Control for Privacy Preserving in Semantic Web","63:1--63:5","63","5","RBAC, access control, privacy, semantic web","10.1145/2108616.2108692","","","","","","","2010","","Proceedings of the 4th International Conference on Uniquitous Information Management and Communication","ICUIMC '10","","978-1-60558-893-3","Suwon, Republic of Korea","ACM","New York, NY, USA"
"article","2047459","Christopher  Woodward and Wasim A. Al-Hamdani","","","","PKI and Access Control in Office Environments","20--24","","5","access control, cryptography, information assurance, information security","10.1145/2047456.2047459","","","","","","","2011","","Proceedings of the 2011 Information Security Curriculum Development Conference","InfoSecCD '11","","978-1-4503-0812-0","Kennesaw, Georgia","ACM","New York, NY, USA"
"article","2815586","Scott W. Greenwald","","","","Responsive Facilitation of Experiential Learning Through Access to Attentional State","1--4","","4","contextual information, experiential learning, eye gaze interaction, remote collaboration","10.1145/2815585.2815586","","","","","","","2015","","Adjunct Proceedings of the 28th Annual ACM Symposium on User Interface Software & Technology","UIST '15 Adjunct","","978-1-4503-3780-9","Daegu, Kyungpook, Republic of Korea","ACM","New York, NY, USA"
"article","2223685","Eleni  Michailidou and Katerina  Mavrou and Panayiotis  Zaphiris","","","","Einclusion @ Cyprus Universities: Provision and Web Accessibility","1637--1642","","6","evaluation, higher education, provision, web accessibility","10.1145/2212776.2223685","","","","","","","2012","","CHI '12 Extended Abstracts on Human Factors in Computing Systems","CHI EA '12","","978-1-4503-1016-1","Austin, Texas, USA","ACM","New York, NY, USA"
"article","2047475","Behzad Joze Hashemian","","","","Analyzing Web Accessibility in Finnish Higher Education","8--16","","9","Finnish education system, WCAG, disability, web accessibility","10.1145/2047473.2047475","SIGACCESS Access. Comput.","September 2011","","101","","September","2011","1558-2337","","","","","","ACM","New York, NY, USA"
"article","1533111","Ram  Krishnan and Ravi  Sandhu and Jianwei  Niu and William H. Winsborough","","","","A Conceptual Framework for Group-Centric Secure Information Sharing","384--387","","4","access control, information sharing, models","10.1145/1533057.1533111","","","","","","","2009","","Proceedings of the 4th International Symposium on Information, Computer, and Communications Security","ASIACCS '09","","978-1-60558-394-5","Sydney, Australia","ACM","New York, NY, USA"
"article","1095780","Lee J. Leitner and John W. Cane","","","","A Virtual Laboratory Environment for Online IT Education","283--289","","7","computer network courses, curricula, information technology education, pedagogics, virtual laboratories","10.1145/1095714.1095780","","","","","","","2005","","Proceedings of the 6th Conference on Information Technology Education","SIGITE '05","","1-59593-252-6","Newark, NJ, USA","ACM","New York, NY, USA"
"article","2656453","Sathish Alampalayam Kumar","","","","Designing a Graduate Program in Information Security and Analytics: Masters Program in Information Security and Analytics (MISA)","141--146","","6","analytics, cybersecurity, information technology education","10.1145/2656450.2656453","","","","","","","2014","","Proceedings of the 15th Annual Conference on Information Technology Education","SIGITE '14","","978-1-4503-2686-5","Atlanta, Georgia, USA","ACM","New York, NY, USA"
"article","2661366","Catherine M. Baker and Lauren R. Milne and Jeffrey  Scofield and Cynthia L. Bennett and Richard E. Ladner","","","","Tactile Graphics with a Voice: Using QR Codes to Access Text in Tactile Graphics","75--82","","8","access technology, blind, camera, non-visual feedback, qr codes., tactile graphics, visually impaired","10.1145/2661334.2661366","","","","","","","2014","","Proceedings of the 16th International ACM SIGACCESS Conference on Computers & Accessibility","ASSETS '14","","978-1-4503-2720-6","Rochester, New York, USA","ACM","New York, NY, USA"
"article","2764916","Valerie S. Morash and Yue-Ting  Siu and Joshua A. Miele and Lucia  Hasty and Steven  Landau","","","","Guiding Novice Web Workers in Making Image Descriptions Using Templates","12:1--12:21","12","21","Accessibility (blind and visually impaired), access technology, crowdsourcing, human computation, image description","10.1145/2764916","ACM Trans. Access. Comput.","November 2015","7","4","","November","2015","1936-7228","","","","","","ACM","New York, NY, USA"
"article","2369259","Amit  Saxena and Urvashi  Sahni and Rahul  Gupta and Anjana  Arora and Richard  Anderson and Natalie  Linnell","","","","Evaluating Facilitated Video Instruction for Primary Schools in Rural India","41:1--41:10","41","10","developing regions, educational technology, evaluation, teaching","10.1145/2369220.2369259","","","","","","","2010","","Proceedings of the 4th ACM/IEEE International Conference on Information and Communication Technologies and Development","ICTD '10","","978-1-4503-0787-1","London, United Kingdom","ACM","New York, NY, USA"
"article","2660295","Yeongjin  Jang and Chengyu  Song and Simon P. Chung and Tielei  Wang and Wenke  Lee","","","","A11Y Attacks: Exploiting Accessibility in Operating Systems","103--115","","13","accessibility, assistive technology, attacks","10.1145/2660267.2660295","","","","","","","2014","","Proceedings of the 2014 ACM SIGSAC Conference on Computer and Communications Security","CCS '14","","978-1-4503-2957-6","Scottsdale, Arizona, USA","ACM","New York, NY, USA"
"article","1181299","Ari R. TenCate","","","","Expanding the Boundaries Through the Use of Technology in Informal Learning Spaces","387--392","","6","advanced technology, general access labs, help desk, learning spaces","10.1145/1181216.1181299","","","","","","","2006","","Proceedings of the 34th  Annual ACM SIGUCCS Fall Conference: Expanding the Boundaries","SIGUCCS '06","","1-59593-438-3","Edmonton, Alberta, Canada","ACM","New York, NY, USA"
"article","1125202","Lynette  Kvasny and Fay Cobb Payton and Jing  Chong and Victor  Mbarika","","","","Information Technology Education and Employment for Women in Kenya","114--119","","6","education, gender, information technology workforce","10.1145/1125170.1125202","","","","","","","2006","","Proceedings of the 2006 ACM SIGMIS CPR Conference on Computer Personnel Research: Forty Four Years of Computer Personnel Research: Achievements, Challenges &Amp; the Future","SIGMIS CPR '06","","1-59593-349-2","Claremont, California, USA","ACM","New York, NY, USA"
"article","2808014","Bonnie  MacKellar and Gregory  Hislop and Mihaela  Sabin and Amber  Settle","","","","Information Technology and Computer Science Programs: How Do We Relate?","125--126","","2","computing curricula, information technology education","10.1145/2808006.2808014","","","","","","","2015","","Proceedings of the 16th Annual Conference on Information Technology Education","SIGITE '15","","978-1-4503-3835-6","Chicago, Illinois, USA","ACM","New York, NY, USA"
