"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"From extreme programming and usability engineering to extreme usability in software engineering education (XP+UE → XU)","A. Holzinger; M. Errath; G. Searle; B. Thurnher; W. Slany","Inst. for Med. Informatics, Stat. & Documentation, Med. Univ. Graz, Austria","29th Annual International Computer Software and Applications Conference (COMPSAC'05)","20050926","2005","2","","169","172 Vol. 1","The success of extreme programming (XP) is based, among other things, on an optimal communication in teams of 6-12 persons, simplicity, frequent releases and a reaction to changing demands. Most of all, the customer is integrated into the development process, with constant feedback. This is very similar to usability engineering (UE) which follows a spiral four phase procedure model (analysis, draft, development, test) and a three step (paper mock-up, prototype, final product) production model. In comparison, these phases are extremely shortened in XP; also the ideal team size in UE user-centered development is 4-6 people, including the end-user. The two development approaches have different goals but, at the same time, employ similar methods to achieve them. It seems obvious that there must be synergy in combining them. The authors present ideas in how to combine them in an even more powerful development method called extreme usability (XU). The most important issue of this paper is that the authors have embedded their ideas into software engineering education.","0730-3157;07303157","POD:0-7695-2413-3","10.1109/COMPSAC.2005.80","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=1508106","","Design engineering;Educational programs;Feedback;Production;Programming profession;Prototypes;Software engineering;Spirals;Testing;Usability","computer science education;software engineering;user centred design","extreme programming;extreme usability;software engineering education;usability engineering;user-centered development","","3","","15","","","","26-28 July 2005","","IEEE","IEEE Conference Publications"
"Index","H. Song; G. A. Fink; S. Jeschke","","Security and Privacy in Cyber-Physical Systems:Foundations, Principles, and Applications","20171019","2017","","","","","<p><b> The premier source of information on CPS security and privacy theory, guiding principles, and state-of-the-art applications </b> <p> Written by a team of experts at the forefront of the cyber-physical systems (CPS) revolution, this book provides an in-depth look at security and privacy, two of the most critical challenges facing both the CPS research and development community and ICT professionals. It explores, in depth, the key technical, social, and legal issues at stake, and it provides readers with the information they need to advance research and development in this exciting area. <p> Cyber-physical systems (CPS) are engineered systems that are built from, and depend upon the seamless integration of computational algorithms and physical components. Advances in CPS will enable capability, adaptability, scalability, resiliency, safety, security, and usability far in excess of what today's simple embedded systems can provide. Just as the Internet revolutionized the way we in eract with information, CPS technology has already begun to transform the way people interact with engineered systems. In the years ahead, smart CPS will drive innovation and competition across industry sectors, from agriculture, energy, and transportation, to architecture, healthcare, and manufacturing. <ul> <li>A long-awaited review for all those concerned with the fundamental concepts and the state-of-the-art in security and privacy in CPS</li> <li>Provides comprehensive coverage of the technical issues affecting hardware and software in infrastructure components, as well as the blending of such systems with personal CPS</li> <li>Discusses various application domains, including energy, medicine, transportation, physical infrastructure, agriculture, smart cities, and many more</li> <li>Includes case studies and tutorials and supports university courses such as those in cybersecurity and privacy and CPS engineering and programming</li> </ul> <br> <p> A priceless source of practical i formation and inspiration, <i>Security and Privacy in Cyber-Physical Systems: Foundations, Principles, and Applications</i> is certain to have a profound impact on ongoing R&D and education at the confluence of security, privacy, and CPS.","","97811192260","10.1002/9781119226079.index","","http://ieeexplore.ieee.org.ezproxy.rit.edu/xpl/ebooks/bookPdfWithBanner.jsp?fileName=8068899.pdf&bkn=8068866&pdfType=chapter","","","","","","","","","2017","","","","","Wiley-IEEE Press","Wiley-IEEE Press eBook Chapters"
"Editor Biographies","H. Song; G. A. Fink; S. Jeschke","","Security and Privacy in Cyber-Physical Systems:Foundations, Principles, and Applications","20171019","2017","","","","","<p><b> The premier source of information on CPS security and privacy theory, guiding principles, and state-of-the-art applications </b> <p> Written by a team of experts at the forefront of the cyber-physical systems (CPS) revolution, this book provides an in-depth look at security and privacy, two of the most critical challenges facing both the CPS research and development community and ICT professionals. It explores, in depth, the key technical, social, and legal issues at stake, and it provides readers with the information they need to advance research and development in this exciting area. <p> Cyber-physical systems (CPS) are engineered systems that are built from, and depend upon the seamless integration of computational algorithms and physical components. Advances in CPS will enable capability, adaptability, scalability, resiliency, safety, security, and usability far in excess of what today's simple embedded systems can provide. Just as the Internet revolutionized the way we in eract with information, CPS technology has already begun to transform the way people interact with engineered systems. In the years ahead, smart CPS will drive innovation and competition across industry sectors, from agriculture, energy, and transportation, to architecture, healthcare, and manufacturing. <ul> <li>A long-awaited review for all those concerned with the fundamental concepts and the state-of-the-art in security and privacy in CPS</li> <li>Provides comprehensive coverage of the technical issues affecting hardware and software in infrastructure components, as well as the blending of such systems with personal CPS</li> <li>Discusses various application domains, including energy, medicine, transportation, physical infrastructure, agriculture, smart cities, and many more</li> <li>Includes case studies and tutorials and supports university courses such as those in cybersecurity and privacy and CPS engineering and programming</li> </ul> <br> <p> A priceless source of practical i formation and inspiration, <i>Security and Privacy in Cyber-Physical Systems: Foundations, Principles, and Applications</i> is certain to have a profound impact on ongoing R&D and education at the confluence of security, privacy, and CPS.","","97811192260","10.1002/9781119226079.ednote","","http://ieeexplore.ieee.org.ezproxy.rit.edu/xpl/ebooks/bookPdfWithBanner.jsp?fileName=8068884.pdf&bkn=8068866&pdfType=chapter","","","","","","","","","2017","","","","","Wiley-IEEE Press","Wiley-IEEE Press eBook Chapters"
"Live simulation of software processes in programming courses","J. Porubän; M. Bačíková","Department of Computers and Informatics, Technical University of Ko&#x0161;ice, Letn&#x00E1; 9, 042 00, Slovakia","2016 International Conference on Emerging eLearning Technologies and Applications (ICETA)","20170102","2016","","","283","288","Software engineering education concerns a large number of experts resulting in its development at an ever increasing pace. Implied by its nature, software engineering is agreed to be a highly practical discipline and therefore should be taught accordingly. This paper presents a new approach towards software engineering education primarily aimed at universities not fortunate enough to have an autonomous software engineering study programme. Appreciated by students, processes commonly found in software development are entwined with gaining programming skills. The main intention of this paper is to create a vivid environment for students and teachers, in which students not only learn how to program applications, but also understand the place of programming in a software product life-cycle, the processes behind each and every software project. We present our proposal of approaches to interconnect programming projects with project communication, and possibilities of checking student progress and responding of the software environment on the progress. Usability of the proposed environment was evaluated on a group of students.","","Electronic:978-1-5090-4701-7; POD:978-1-5090-4702-4","10.1109/ICETA.2016.7802099","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7802099","","Companies;Education;Programming profession;Project management;Semantics;Software","computer science education;educational courses;educational institutions;product life cycle management;software engineering","interconnect programming projects;live simulation;programming courses;software development;software engineering education;software environment;software processes;software product life-cycle;universities","","","","","","","","24-25 Nov. 2016","","IEEE","IEEE Conference Publications"
"Software engineering — Software development for E, V, M learning with a high degree of usability for users with various disabilities","C. Maldonado; M. P. Cota","Universidad Siglo 21, C&#243;rdoba, Argentina","2016 11th Iberian Conference on Information Systems and Technologies (CISTI)","20160728","2016","","","1","5","This doctoral thesis is about the application of Information and Communication Technologies (ICTs) in education or E-Teaching. It is based on the component-based software engineering (CBSE) [1] [2] to search available software to build a learning platform called Educational Immersive Portal (EIP) composed of a Content Management Software (CMS), a virtual classroom or Learning Management Software (LMS), a server and viewer Virtual Worlds (VW), communication libraries from CMS and MV to the LMS, between LMS and mobile phones and uses best practices in usability for people with various disabilities. One goal of the study is to determine the requirements generated by the application of learning strategies Blended Learning (BL) and Peer Instruction (PI) studying how the immersivity a MV offers participants, it can be exploited in the environment activities (also designed on this work) to improve the teaching of topics related to computer engineering. For this purpose, it has given importance to meet the system requirements and functional users of the platform, educational institutions, teachers and students referred to the application of BL and PI in PEI.","","Electronic:978-9-8998-4346-2; POD:978-1-5090-1226-8","10.1109/CISTI.2016.7521473","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7521473","Blended Learning;CBSI;E-teaching;Peer Instruction;VW","Content management;Education;Medical services;Portals;Software engineering;Usability","computer science education;educational institutions;learning management systems;mobile learning;object-oriented programming;software engineering;teaching","BL;CBSE;CMS;E-V-M learning;EIP;ICT;LMS;MV;PI;VW;blended learning;communication libraries;component-based software engineering;content management software;e-teaching;educational immersive portal;educational institutions;information and communication technologies;learning management software;learning platform;learning strategies;mobile phones;peer instruction;software development;virtual classroom;virtual worlds","","","","","","","","15-18 June 2016","","IEEE","IEEE Conference Publications"
"A Requirement Management Education Support Tool for Requirement Elicitation Process of REBOK","T. Kakeshita; S. Yamashita","Grad. Sch. of Inf. Sci., Saga Univ., Saga, Japan","2015 3rd International Conference on Applied Computing and Information Technology/2nd International Conference on Computational Science and Intelligence","20151130","2015","","","40","45","We propose a software tool REMEST to assist education of the basics of requirement management based on requirements engineering body of knowledge (REBOK) developed by IT professionals in Japan. REMEST automatically examines diagrams containing mind map and activity diagram created using Astah* professional and assists the learning process by providing proper advises according to the progress of the student. REMEST also compares the mind map with the right answer provided by the teacher and shows the difference between them. We focus on the requirement elicitation process defined by REBOK in this paper. We perform an evaluation experiment on the usability and usefulness of REMEST. The examinees say that REMEST is simple and easy to use, and is useful for beginners of requirement management.","","Electronic:978-1-4673-9642-4; POD:978-1-4673-9643-1","10.1109/ACIT-CSI.2015.16","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7336031","Requirements Engineering Body of Knowledge (REBOK);astah* professional;education support tool;requirements engineering","Education;Knowledge engineering;Requirements engineering;Requirements management;Software;Stakeholders;Unified modeling language","formal specification;software tools","Astah* professional;Japanese IT professionals;REBOK;REMEST software tool;requirement elicitation process;requirement management education support tool;requirements engineering body of knowledge","","","","15","","","","12-16 July 2015","","IEEE","IEEE Conference Publications"
"An evaluation framework for mobile health education software","T. Aljaber; N. Gordon; C. Kambhampati; M. Brayshaw","Department of Computer Science, University of Hull, Hull, United Kingdom","2015 Science and Information Conference (SAI)","20150903","2015","","","786","790","Mobile applications in general, and mobile applications for health education in particular, are commonly used to support patients, health professionals and other stakeholders. A critical evaluation framework is needed to ensure the usability and reliability of mobile applications for health education in order to save time and effort for the various stakeholders. This paper proposes a framework for evaluating mobile applications for health education. The intended outcome is to meet the needs and demands of different stakeholders and provide improvement for software engineering by creating new and more effective ways to evaluate such software. We conclude with some specific evaluation metrics that we applied in our evaluation framework: a hybrid utilizing heuristic evaluation (HE) and usability evaluation (UE).","","Electronic:978-1-4799-8547-0; POD:978-1-4799-8548-7; USB:978-1-4799-8546-3","10.1109/SAI.2015.7237233","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7237233","Evaluation framework;heuristic evaluation;mobile applications for health education;usability evaluation metrics","Education;Measurement;Mobile communication;Usability","biomedical education;courseware;health care;mobile computing;software performance evaluation","critical evaluation framework;health professional;heuristic evaluation;mobile health education software;patients;software engineering;usability evaluation","","1","","16","","","","28-30 July 2015","","IEEE","IEEE Conference Publications"
"Evaluation of academic website using ISO/IEC 9126","D. D. J. Suwawi; E. Darwiyanto; M. Rochmani","School of Computing, Telkom University, Bandung, Indonesia","2015 3rd International Conference on Information and Communication Technology (ICoICT)","20150903","2015","","","222","227","The use of website to support academic activities in education realm has been developing so that the quality website is needed. However, the website quality evaluation standard is still limited. ISO 9126 is one of the evaluation standards that has been acknowledged internationally in evaluating software from the software engineering perspective. This model is considered to be a standard with valid, reliable and efficient in evaluating quality of software. Characteristics of ISO/IEC 9126 is able to provide a good benchmark to evaluate a Telkom University's academic website. Academic websites in its application uses a software in the form of a website that can be accessed online either by lecturers or students. In this research, academic website quality evaluation is conducted using ISO/IEC 9126 in Telkom University website. This evaluation is conducted to ascertain whether there is any characteristics of the website that need to be improved. Users in this case were students from different faculty and study. The evaluation is focused on characteristics of functionality, reliability, usability and efficiency. Based on the evaluation results we obtained three characteristics that need to be improved, they are reliability, usability and functionality. The reliability test found that efficiency was unreliable characteristic, so it was excluded in the analysis and recommendations for further improvement.","","DVD:978-1-4799-7751-2; Electronic:978-1-4799-7752-9; POD:978-1-4799-7753-6","10.1109/ICoICT.2015.7231426","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7231426","ISO/IEC 9126;Q-score;academic website;evaluation;kano model;quality model","IEC Standards;ISO Standards;Navigation;Reliability;Usability","IEC standards;ISO standards;Web sites;educational institutions;software performance evaluation;software quality;software reliability;software reusability","ISO/IEC 9126 characteristics;Telkom University academic Website;Website characteristics;Website efficiency;Website functionality;Website quality evaluation standard;Website reliability;Website usability;academic Website quality evaluation;academic activities;education realm;reliability test;software quality evaluation","","1","","18","","","","27-29 May 2015","","IEEE","IEEE Conference Publications"
"Enabling effective and inclusive learning opportunities with software-based remote access laboratories","A. A. Kist; B. Basnet","Faculty of Engineering and Surveying, University of Southern Queensland, Toowoomba, Australia","2013 10th International Conference on Remote Engineering and Virtual Instrumentation (REV)","20141110","2013","","","1","6","Practical or laboratory-based learning activities are an important part of engineering and surveying education. Offering such activities to distance education students is both difficult and expensive. Remote Access Laboratory (RAL) systems are gaining popularity to provide students with access to on-campus rigs or hardware. Such RAL systems are equally versatile in providing on-campus software access to distance students. In the discipline of Surveying and Spatial Science, the RAL system is being used as an avenue for providing Geographic Information System (GIS) software access to distance students. In this study, the effectiveness of RAL based software activities in supporting student learning is investigated as part of a larger study involving its general use. This project investigates the research question whether RAL-based software activities can address the same learning outcomes as face-to-face practical classes. Data collected from students' discussion forum and via interviews with teaching staff members were analysed. This project provides a clear case in which the use of RAL technology has provided inclusive educational opportunities more efficiently. The key outcomes that students can achieve similar learning outcomes undertaking the activities remotely, system access and usability are critical, the learning activity needs to be supported by comprehensive learning materials and the staff effort to develop such an activity is considerable. These general results are also applicable to experiments that involve physical hardware.","","Electronic:978-1-4673-6346-4; POD:978-1-4673-6345-7; USB:978-1-4673-6344-0","10.1109/REV.2013.6502897","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6502897","Conceptual experimentation;Geographic Information Systems;Remote Access Laboratories;software experiments","Computational modeling;Hardware;Laboratories","distance learning;geographic information systems","distance education student;gaining popularity;geographic information system software access;inclusive learning opportunity;laboratory based learning activity;remote access laboratory system;software based remote access laboratory;usability","","0","","13","","","","6-8 Feb. 2013","","IEEE","IEEE Conference Publications"
"A PBL approach to process management applied to Software Engineering education","S. C. dos Santos; A. C. Monte; A. Rodrigues","Centro de Inf., Univ. Fed. de Pernambuco, Recife, Brazil","2013 IEEE Frontiers in Education Conference (FIE)","20131219","2013","","","741","747","Given the demand in the area of Software Engineering for solutions that actually contribute to modern organizations, the search for qualified professionals who have considerable practical experience has been growing day-by-day. Set against this background is the learning process of traditional teaching, in which the Student is largely a mere recipient of information, including concepts and theoretical foundations, and is seldom given practice in problem solving. Therefore with a view to minimizing this problem, teaching and learning methods such as the Problem Based Learning (PBL) have emerged in higher education as an approach to foster changes in teaching and learning processes, which are aligned to the new requirements of the labor market and redefine the roles of those involved in educational processes. To evaluate these processes, a case study on skills training to teach Usability Testing is discussed, and important results presented that show the applicability of the proposed approach for teaching Software Engineering.","0190-5848;01905848","Electronic:978-1-4673-5261-1; POD:978-1-4673-5259-8; USB:978-1-4673-5260-4","10.1109/FIE.2013.6684925","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6684925","","Context;Planning;Software engineering;Training;Usability","computer science education;further education;software engineering;teaching","PBL approach;educational processes;higher education;labor market;learning process;problem based learning;problem solving;process management;qualified professionals;skills training;software engineering education;teaching methods;traditional teaching;usability testing","","0","","8","","","","23-26 Oct. 2013","","IEEE","IEEE Conference Publications"
