"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Industry/University Collaboration in Software Engineering Education: Refreshing and Retuning Our Strategies","N. R. Mead","Software Eng. Inst., Carnegie Mellon Univ., Pittsburgh, PA, USA","2015 IEEE/ACM 37th IEEE International Conference on Software Engineering","20150817","2015","2","","273","275","This panel session will explore strategies for industry/university collaboration in software engineering education. Specific discussion topics will include new strategies for successful industry/university collaboration, exploration of reasons why some of the old strategies no longer work, and regional/geographical differences noted by the international set of panelists. The panel hopes to identify new promising strategies for such collaborations. Specific industry representatives will be invited to attend and participate in the discussion.","0270-5257;02705257","Electronic:978-1-4799-1934-5; POD:978-1-4799-1935-2","10.1109/ICSE.2015.156","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7202972","","Collaboration;Conferences;Industries;Software;Software engineering;Training","computer based training;computer science education;educational institutions;organisational aspects","geographical differences;industry-university collaboration;regional differences;software engineering education","","2","","10","","","","16-24 May 2015","","IEEE","IEEE Conference Publications"
"xd Software Engineering Education Applying a Blended Learning Strategy for","C. Bunse; I. Grutzner; M. Ochs; C. Peper; S. Steinbach-Nordmann","Fraunhofer Institute for Experimental Software Engineering (IESE), Germany","18th Conference on Software Engineering Education & Training (CSEET'05)","20081208","2005","","","95","102","With the rapid rate of innovation in software engineering, teaching and learning of new technologies have become challenging issues. The provision of appropriate education is a key prerequisite for benefiting from new technologies. Experience shows that typical classroom education is not as effective and efficient as it could be, therefore, e-learning approaches are becoming more and more popular. However, typical e-learning suffers from a lack of social communication and control over the progress of learning. This paper describes a blended learning approach based on industrial and academic experience in the area of object-technology, which mixes traditional classroom education with e-learning. Although both approaches have their strengths and weaknesses, the synergy effects clearly outperform the isolated benefits of the single approaches on business, content, and quality level","1093-0175;10930175","POD:0-7695-2324-2","10.1109/CSEET.2005.44","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4698913","UML;blended learning;education;experience;object-orientation","Application software;Computer industry;Control engineering education;Costs;Educational technology;Electronic learning;Industrial training;Job shop scheduling;Software engineering;Unified modeling language","Unified Modeling Language;computer aided instruction;computer science education;object-oriented programming;software engineering;teaching","UML;classroom education;e-learning;learning progress;learning strategy;object technology;social communication;software engineering education;synergy effects;teaching","","2","","12","","","","18-20 April 2005","","IEEE","IEEE Conference Publications"
"Guest Editorial Open-Source Software for Engineering Education: Pedagogical Strategies That Leverage Open-Source Tools","M. D. Lytras; W. Scacchi","","IEEE Transactions on Education","20071112","2007","50","4","290","291","The nine papers in this special section are devoted to the implementation and use of open source software for education education.","0018-9359;00189359","","10.1109/TE.2007.910212","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4371518","","Application software;Collaborative software;Computer science education;Content management;Educational technology;Electronic learning;Engineering education;Engineering management;Open source software;Software tools","","","","0","","","","","","Nov. 2007","","IEEE","IEEE Journals & Magazines"
"Special issue on open-source software for engineering education: Pedagogical strategies beyond tools","","","IEEE Transactions on Education","20061113","2006","49","4","479","480","Provides notice of upcoming special issues of interest to practitioners and researchers.","0018-9359;00189359","","10.1109/TE.2006.886926","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4012669","","","","","","0","","","","","","Nov. 2006","","IEEE","IEEE Journals & Magazines"
"International workshop on distance learning support for postgraduate programs in software engineering (e-gradSE)","I. M. S. Gimenes; L. Barroca; E. F. Barbosa","Universidade Estadual de Maring&#x00E1;, Departamento de Inform&#x00E1;tica, Maring&#x00E1; (PR), Brasil, 87020-900","2011 24th IEEE-CS Conference on Software Engineering Education and Training (CSEE&T)","20110616","2011","","","517","519","This workshop aims at bringing together researchers and practitioners to present contributions and discuss strategies for distance learning software engineering postgraduate education.","1093-0175;10930175","Electronic:978-1-4577-0348-5; POD:978-1-4577-0349-2","10.1109/CSEET.2011.5876136","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5876136","","","computer aided instruction;computer science education;distance learning;further education;software engineering","distance learning software engineering postgraduate education strategy;e-gradSE;international workshop;software engineering postgraduate program","","0","","7","","","","22-24 May 2011","","IEEE","IEEE Conference Publications"
"Diverging currents: Continuous innovation in an engineering-based Technical Communication program","P. E. Brewer; H. Grady; R. Watson","Mercer University, United States of America","2017 IEEE International Professional Communication Conference (ProComm)","20170824","2017","","","1","10","Mercer University's Department of Technical Communication has continuously moved away from established currents to create new ones that aid in making learning most effective. This paper presents three approaches to continuous innovation: innovations in teaching freshman writing as a general education course located in engineering, improving teaming strategies through strategic metacommunication, and incorporating open-source software development methods and tools into the curriculum.","","Electronic:978-1-5090-3042-2; POD:978-1-5090-3043-9","10.1109/IPCC.2017.8013936","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=8013936","Amazon Web Services;GitHub;Jekyll;Writing in the disciplines;engineering communication;metacommunication;student teams;teaming;technical communication education","Companies;Education;Electronic mail;Employment;Social network services;Writing","computer aided instruction;educational courses;educational institutions;engineering education;innovation management;public domain software;software engineering","continuous innovation;education course;engineering-based technical communication program;freshman writing;open-source software development methods;strategic metacommunication;teaching;teaming strategies","","","","","","","","23-26 July 2017","","IEEE","IEEE Conference Publications"
"Socio-Cultural Challenges in Global Software Engineering Education","R. Hoda; M. A. Babar; Y. Shastri; H. Yaqoob","University of Auckland, New Zealand, Auckland, New Zealand","IEEE Transactions on Education","20170803","2017","60","3","173","182","Global software engineering education (GSEE) is aimed at providing software engineering (SE) students with knowledge, skills, and understanding of working in globally distributed arrangements so they can be prepared for the global SE (GSE) paradigm. It is important to understand the challenges involved in GSEE for improving the quality and experience of educators and students. This paper reports the findings of an empirical study on the socio-cultural aspects of GSEE. A case study was conducted involving 14 participants from ten different universities in eight countries. The data was analyzed using grounded theory's open coding procedure. The key contributions of this paper are the identification and description of seven dimensions of socio-cultural distance that caused several significant challenges in the courses: 1) language differences; 2) concept of time; 3) attitude toward grades; 4) assumptions about national culture; 5) differences in autonomy; 6) influence of the course lecturer; and 7) work habits. Recommendations from this paper that are expected to benefit GSEE educators and students include: cross-cultural orientation of students prior to the course; use of various strategies to support better comprehension of different English accents (e.g., speaking slowly, replaying recorded video messages, and text chatting); and educators familiarizing themselves and their students with the relevant GSE and GSEE literature.","0018-9359;00189359","","10.1109/TE.2016.2624742","Project ¿¿¿NeXGSD¿¿¿; 10.13039/501100001537 - University of Auckland; ","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7755765","Curriculum design;design projects;experiential learning;global software engineering (GSE);grounded theory;higher education;software engineering (SE) education;teamwork","Context;Cultural differences;Global communication;Software;Software engineering;Training","computer science education;software engineering","GSEE;cross-cultural orientation;global software engineering education;open coding procedure;socio-cultural challenges","","","","","","","20161123","Aug. 2017","","IEEE","IEEE Journals & Magazines"
"Use of game jam model in the develop of a educational board game","L. Barba-Guaman; P. A. Quezada-Sarmiento; C. Calderon-Cordova","Universidad Tecnica Particular de Loja; Department of Electronics and Computer Science; Grupo Innovaci&#x00F3;n Tecnologica Educativa, Loja-Ecuador","2017 12th Iberian Conference on Information Systems and Technologies (CISTI)","20170713","2017","","","1","5","This paper presents research on identifying and implementation of ""game jam "" model in an organization dedicated to developing software that has different teams of engineers in various disciplines, such as software engineers, electronic and specialists in art and design Game jam has a promising approach in the rapid development of projects or new products. Our goal is to implement the Game jam model in productivity and innovation of multidisciplinary teams to design a prototype of educational board game as a contribution of e-education. As a result of the executed application, significant factors (participatory design, lightweight construction, product-value focusing, aesthetics and technology) were found, for the implementation of innovative strategies that use of prototyping of games focused on e-education.","","Electronic:978-9-8998-4347-9; POD:978-1-5090-5047-5","10.23919/CISTI.2017.7975922","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7975922","Game jam;e-education;machine vision;software model","Collaboration;Companies;Education;Games;Prototypes;Software;Technological innovation","computer aided instruction;computer games","e-education;educational board game;game jam model","","","","","","","","21-24 June 2017","","IEEE","IEEE Conference Publications"
"Quality of Games for Teaching Software Engineering: An Analysis of Empirical Evidences of Digital and Non-Digital Games","G. Petri; C. G. von Wangenheim; A. F. Borgatto","Dept. of Inf. & Stat., Fed. Univ. of Santa Catarina, Florianopolis, Brazil","2017 IEEE/ACM 39th International Conference on Software Engineering: Software Engineering Education and Training Track (ICSE-SEET)","20170703","2017","","","150","159","Educational games have been used as an innovative instructional strategy in order to achieve learning more effectively in Software Engineering (SE) education. However, it is essential to systematically evaluate such games in order to obtain sound evidence on their benefits. And, although, several SE games have been evaluated adopting diverse research designs and measurements, so far no larger scale study across different games has been conducted. In this respect, this article presents a comprehensive analysis in order to summarize empirical evidence on the benefits of digital and non-digital games used for SE education. The analysis is based on data collected from 43 case studies that use MEEGA, the most commonly used model for educational game evaluation, evaluating 20 different SE games, involving a total population of 723 students. Our analysis indicate evidence that digital and non-digital games can yield a positive effect on the learning of SE, providing a pleasant and engaging experience to the students and motivate them. Our analysis also points out that non-digital games more easily seem to promote a more positive experience, principally in terms of fun and social interaction than the digital ones used for teaching SE. These results may guide SE instructors in the selection of educational games as instructional methods and guide game creators with respect to the development of new games.","","Electronic:978-1-5386-2671-9; POD:978-1-5386-2672-6","10.1109/ICSE-SEET.2017.18","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7964340","Empirical evidence;SE game;evaluation","Computational modeling;Context;Games;Q-factor;Software engineering;Training","computer aided instruction;computer games;computer science education;software engineering","MEEGA;SE games;digital games;educational game evaluation;games quality;nondigital games;social interaction;software engineering education;software engineering teaching","","","","","","","","20-28 May 2017","","IEEE","IEEE Conference Publications"
"Challenges and Opportunities in Game Artificial Intelligence Education Using Angry Birds","D. M. Yoon; K. J. Kim","Department of Computer Engineering, Sejong University, Seoul, Korea","IEEE Access","20170520","2015","3","","793","804","Games have been an important tool for motivating undergraduate students majoring in computer science and engineering. However, it is difficult to build an entire game for education from scratch, because the task requires high-level programming skills and expertise to understand the graphics and physics. Recently, there have been many different game artificial intelligence (AI) competitions, ranging from board games to the state-of-the-art video games (car racing, mobile games, first-person shooting games, real-time strategy games, and so on). The competitions have been designed such that participants develop their own AI module on top of public/commercial games. Because the materials are open to the public, it is quite useful to adopt them for an undergraduate course project. In this paper, we report our experiences using the Angry Birds AI Competition for such a project-based course. In the course, teams of students consider computer vision, strategic decision-making, resource management, and bug-free coding for their outcome. To promote understanding of game contents generation and extensive testing on the generalization abilities of the student's AI program, we developed software to help them create user-created levels. Students actively participated in the project and the final outcome was comparable with that of successful entries in the 2013 International Angry Birds AI Competition. Furthermore, it leads to the development of a new parallelized Angry Birds AI Competition platform with undergraduate students aiming to use advanced optimization algorithms for their controllers.","2169-3536;21693536","","10.1109/ACCESS.2015.2442680","National Research Foundation of Korea (NRF) grant funded by the Korea government (MSIP) (2013 R1A2A2A01016589); ","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7130561","Angry Birds;Artificial intelligence (AI);Computing education;Game;Game competition;Game-based learning;Program design;artificial intelligence (AI);edutainment;game;game competition;game-based learning;program design","Artificial intelligence;Computer science education;Education;Entertainment;Game theory;Learning systems","artificial intelligence;computer aided instruction;computer games;computer science education;computer vision;decision making;educational courses;further education","Angry Birds AI competition;advanced optimization algorithms;bug-free coding;computer vision;game AI competitions;game artificial intelligence education;project-based course;resource management;strategic decision-making;undergraduate students","","0","","35","","OAPA","20150622","2015","","IEEE","IEEE Journals & Magazines"
