"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Student Perceptions of Cloud Computing Effectiveness in Higher Education","S. Ashtari; A. Eydgahi","Coll. of Technol., Eastern Michigan Univ., Ypsilanti, MI, USA","2015 IEEE 18th International Conference on Computational Science and Engineering","20160107","2015","","","184","191","Cloud computing technology use in higher education institutions is rapidly expanding and becoming a more integral part of the collegiate experience. This expansion of the use of cloud applications comes with some significant learning and adoption challenges to the end users along with the technical advantages that allow greater accessibility and ease of use. The influence of individual user perceptions toward these technologies is an issue that merits further investigation. Several technology acceptance models have demonstrated some degree of success in predicting adoption behaviors utilizing individual user traits and beliefs. However, there have been limited investigations of variables after the technology has been implemented and used. This paper focuses on the associations between variables identified in the literature that are considered to be influencing use and perceptions of technology for undergraduate students of technology at a mid-sized university in Southeast Michigan. The results statistically present significant correlations between each measured variable and support the interaction between perceived ease of use, computer anxiety, computer self-efficacy, and internet self-efficacy with the perceived usefulness of cloud applications in a higher education setting.","","Electronic:978-1-4673-8297-7; POD:978-1-4673-8298-4","10.1109/CSE.2015.36","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7371372","cloud computing;computer anxiety;effectiveness;higher education;self-efficacy","Biological system modeling;Cloud computing;Computational modeling;Computers;Education;Information technology;Organizations","cloud computing;computer aided instruction;further education;statistical analysis","Internet self-efficacy;cloud computing effectiveness;computer anxiety;computer self-efficacy;higher education institution;perceived ease of use;statistical analysis;student perception","","1","","33","","","","21-23 Oct. 2015","","IEEE","IEEE Conference Publications"
"MUzECS: Embedded blocks for exploring computer science","M. Bajzek; H. Bort; O. Hunpatin; L. Mivshek; T. Much; C. O'Hare; D. Brylow","Marquette University","2015 IEEE Blocks and Beyond Workshop (Blocks and Beyond)","20160104","2015","","","127","132","We build on the success of the Exploring Computer Science (ECS) curriculum, which has improved the accessibility of a Computer Science education to students of all backgrounds. While ECS has been well-received by its students and successful in reaching many students of diverse backgrounds, it currently suffers from a final module which is expensive and offers no easy transition to text-based programming. This module, which teaches robotics as an application of computing, rests on the LEGO Mindstorms1 platform. The Mindstorms have a block-based programming language that abstracts too much code to be of any use for making a transition from block-based programming to text-based programming. They are also more expensive than most schools can afford. This paper reports on one aspect of our successful effort to create an alternative curriculum which meets the same curriculum objectives as the current sixth module, but for a reduced price.","","Electronic:978-1-4673-8367-7; POD:978-1-4673-8368-4","10.1109/BLOCKS.2015.7369021","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7369021","Arduino;Computer Science;ECS;block-based programming;paper","Computer languages;Hardware;Keyboards;Programming profession;Visualization","computer aided instruction;computer science education;educational institutions;embedded systems;object-oriented languages;object-oriented programming","ECS;LEGO Mindstorm;MUzECS;block-based programming language;embedded block;exploring computer science education;schools;text-based programming","","","","7","","","","22-22 Oct. 2015","","IEEE","IEEE Conference Publications"
"On the benefits of specialized settings for deaf and hard of hearing students in computing","J. G. Stout","Computing Research Association (CRA), Center for Evaluating the Research Pipeline (CERP), Washington D.C., U.S.A.","2015 Research in Equity and Sustained Participation in Engineering, Computing, and Technology (RESPECT)","20151012","2015","","","1","2","Deaf and hard of hearing (DHH) students face barriers to communication and comprehension in typical education settings. The current study found that DHH computing students enrolled at institutions that specialize in DHH accessibility have greater access to mentorship, stronger self-efficacy in their computing ability, and a greater sense of belonging in the computing community compared to DHH students enrolled at non-specialized institutions. These findings suggest that DHH students are likely to thrive in computing programs within institutions that identify as DHH accessible.","","Electronic:978-1-5090-0151-4; POD:978-1-5090-0152-1","10.1109/RESPECT.2015.7296524","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7296524","accessibility;diversity;institutional support;self-conceptions;special needs","","","","","","","","","","","13-14 Aug. 2015","","IEEE","IEEE Conference Publications"
"Cloud computing: A key enabler for higher education in Sultanate of Oman","I. N. S. Al-Ghatrifi","Nizwa College of Technology, Oman","2015 International Conference on Computer, Communications, and Control Technology (I4CT)","20150827","2015","","","70","72","In Sultanate of Oman, higher education institutions have devoted significant human and fiscal investments in IT to support the priorities tied to teaching and learning. However, there are still issues in current high education systems associated with high cost and inefficiency in-terms of scalability, flexibility, availability, data recovery, accessibility and security due to the growing need for IT infrastructure including servers, storage and software. Higher education institutes have to spend more on hardware and software purchasing, maintenance, upgrading and licensing. Cloud computing emerged as an Internet based solution, whereby computing resources are provided to consumers and organizations as services on demand on pay per use bases. Cloud computing provides higher education information delivery, communication and collaboration. It enables the education organizations to scale their IT infrastructure while reducing the administrative burden. Cloud computing facilitates greater levels of provisioning and automation in cost effective manner. However, still there are some issues regarding to security, privacy and trust that acts as a barrier against full adoption of cloud computing in higher education. Throughout this paper we identify the cloud offerings, issues and strategy of implementation.","","Electronic:978-1-4799-7952-3; POD:978-1-4799-7953-0; USB:978-1-4799-7951-6","10.1109/I4CT.2015.7219539","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7219539","Challenges;Cloud Computing;Higher Education;Strategy","Cloud computing;Computational modeling;Education;Licenses;NIST;Security","computer aided instruction;educational institutions;groupware;teaching;trusted computing","IT infrastructure;Internet based solution;Sultanate of Oman;cloud computing;collaboration;data recovery;hardware purchasing;higher education institutions;learning;privacy;security;software purchasing;teaching;trust","","0","","12","","","","21-23 April 2015","","IEEE","IEEE Conference Publications"
"Enhancing the implementation of cloud-based open learning with e-learning personalization","N. Selviandro; M. Suryani; Z. A. Hasibuan","Faculty of Informatics Telkom University, Indonesia","2015 17th International Conference on Advanced Communication Technology (ICACT)","20150827","2015","","","472","479","Indonesia is a developing country that began to utilize information technology in education. A form of its implementation is the use of e-learning. However, in practice there are still some obstacles, such as learning resources are not evenly distributed, limited access to services provided, qualified educators resources are concentrated in specific areas. This led to the emergence of disparities educational process, and technology gap due to differences in ICT infrastructure owned by any educational institution. Therefore this study proposes architecture of cloud-based open learning to solve these problems. The term open learning is used in order to encouraging the development of the concept of Indonesia Open Educational Resources (IOER) and as well as the adoption of concept of cloud computing. There are several phase that we conducted in this research such as analysis, design, implementation, testing, and evaluation phase. The design of the proposed architecture consists of six layers: (1) Infrastructure, (2) Platform, (3) Application, (4) Service, (5) Access, (6) User. As a result of the implementation from this architecture is a prototype of Indonesia - Virtual Open Learning System (iVOLS). In experiment, personalization e-learning runs as a service that need large storage and other shared facilities to conduct the program so the system can delivered different learning materials to different learners. The e-learning personalization in cloud environment classified successful if the learners got the best performance on learning and it shown by their evaluation score. Based on the test results and evaluation showed that the availability on Cloud-Based Open Learning further meet user needs. This is indicated by the presence of a simple infrastructure services, application services with just one stage and the availability of a wider range of data and the resource sharing. In accessibility, Cloud-Based Open Learning provides easy access to the user. By economically,- the result of evaluation showed that Cloud-Based Open Learning has an investment of 35.61% efficiency, increase Return On Investment (ROI) of 60.95% and Net Present Value (NPV) of 81.97% from the user's perspective. While from the provider's perspective, Cloud-Based Open Learning has an investment of 200% efficiency, increase Return On Investment (RoI) of 220.4% and Net Present Value (NPV) of 109.55%.","1738-9445;17389445","CD-ROM:978-8-9968-6504-9; Electronic:978-8-9968-6505-6; POD:978-1-4673-8116-1","10.1109/ICACT.2015.7224912","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7224912","Cloud Computing;E-Learning;Indonesia Open Educational Resources;Personalization","Cloud computing;Computational modeling;Computer architecture;Electronic learning;Portals","cloud computing;computer aided instruction","ICT infrastructure;IOER;Indonesia - Virtual Open Learning System;Indonesia Open Educational Resources;NPV;ROI;application service;cloud computing;cloud environment;cloud-based open learning;e-learning personalization;educational institution;educational process;iVOLS;information technology;infrastructure service;learning materials;learning resources;net present value;resource sharing;return on investment;technology gap","","0","","14","","","","1-3 July 2015","","IEEE","IEEE Conference Publications"
"Barriers thrusting e - learning to the backseat: Nigeria a case study","H. Aminu; S. Rahaman","School of Engineering and Information Technology, Manipal University, Dubai, UAE","2014 IEEE Canada International Humanitarian Technology Conference - (IHTC)","20150706","2014","","","1","4","Today, Internet Technology is no longer a barrier; on the contrary it has become a necessity of a society across the globe. The rise of Internet has facilitated the emergence of the `e' word referred to as electronic which today is applied to every walk of life such as commerce, communication, healthcare, learning to name a few. Modern achievements in the field of computing and communication technologies has offered tremendous opportunities for learning by electronic means popularly referred to as e-learning. The use of new multimedia technologies and the Internet in learning is seen as a means to improve accessibility, efficiency and quality of learning by facilitating access to resources and services as well as remote exchange and collaboration. These new technologies allow more flexibility in learning and a wider reach for education. e-learning continues to grow over the years, in 2012, over 1.4 billion students and 62.5 million educators got involved in e-learning. However, adoption of e-learning is faced with challenges especially in the developing countries. This paper focuses on the aspect of e-learning in an education environment in Nigeria, analyzes and identifies the factors forming a barrier in its successful taking off within the region. These barriers are identified under four heads namely: Non Influencing Environment, Lack of State-of-the-art Facility, Financial Resistance and Community Mindset. The paper analyzes the factors identified and proposes a framework that will give a breakthrough for e-learning from the vicious technology cycle.","","CD-ROM:978-1-4799-3995-4; Electronic:978-1-4799-3996-1; POD:978-1-4799-3997-8","10.1109/IHTC.2014.7147520","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7147520","Barrier;Framework;e-learning","Electronic learning;Industries;Medical services;Navigation;Resistance","Internet;computer aided instruction;multimedia computing","Internet technology;Nigeria;backseat;collaboration;communication technologies;community mindset;e word;e-learning;education environment;electronic;financial resistance;multimedia technologies;remote exchange","","0","","20","","","","1-4 June 2014","","IEEE","IEEE Conference Publications"
"Developing a Smart Grid cybersecurity education platform and a preliminary assessment of its first application","T. Yardley; S. Uludag; K. Nahrstedt; P. Sauer","U. of Illinois at Urbana-Champaign","2014 IEEE Frontiers in Education Conference (FIE) Proceedings","20150219","2014","","","1","9","The energy sector worldwide has embarked on a transformational process to modernize the over-a-century-old power grid under an umbrella term of the Smart Grid. This vast infrastructural upgrade and operational change involves integration of a variety of advanced digital computing, communications and industrial control technologies. This brings new capabilities, but also necessitates a re-education of the aging workforce and training of the emerging workforce. While training does exist, the training approach and the accessibility of that training is often at odds with the needs of the utilities. To support this education and training need, in this paper we introduce the beginning of a modular, hands-on and open Smart Grid cybersecurity educational training platform and supporting materials together with an assessment of a preliminary version leveraged at the Trustworthy Cyber Infrastructure for the Power Grid (TCIPG) Summer School held in 2013. We base pedagogical pillars onto: (1) Active Learning that promotes analysis, synthesis, and evaluation of the content from Bloom's taxonomy, (2) The theory of project-based learning, (3) Piaget's learn-by-doing posture, and (4) Constructivist perspective of education. The main goal of this effort is to develop a complete, phased, and modular learning platform to provide the essential base knowledge and hands-on training exercises for understanding and demonstrating competency in Smart Grid cybersecurity.","0190-5848;01905848","Electronic:978-1-4799-3922-0; POD:978-1-4799-3923-7; USB:978-1-4799-3921-3","10.1109/FIE.2014.7044273","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7044273","","Computer security;Educational institutions;Materials;Smart grids;Training","computer aided instruction;power engineering education;security of data;smart power grids;trusted computing","Bloom taxonomy;Piaget learn-by-doing posture;TCIPG Summer School;Trustworthy Cyber Infrastructure for the Power Grid;active learning;advanced digital computing;hands-on training exercises;industrial control technologies;infrastructural upgrade;modular learning platform;open smart grid cybersecurity educational training platform;operational change;over-a-century-old power grid;project-based learning;smart grid cybersecurity education platform;transformational process","","2","","40","","","","22-25 Oct. 2014","","IEEE","IEEE Conference Publications"
"A Cloud Based Architecture for Optimal Utilization of Resources in Educational Institutions","A. Samineni; M. Vankayalapati; S. M. Mohan; B. M. Murari","VIT Univ., Vellore, India","2013 International Conference on Machine Intelligence and Research Advancement","20141009","2013","","","569","573","Technology has been transforming the education in 21<sup>st</sup> century to a great extent. The increase in use of technology in educational institutions including schools, colleges, and universities is enabling students to become 21<sup>st</sup> century learners and fostering the process of research and innovation. A huge amount computing resources are required in educational institutions to meet these demands. However, in most of the cases, the computing resources in an organization are not being completely utilized due to various reasons. Adopting some of the latest technologies can improve resource utilization and simultaneously provide other benefits. In recent years, cloud computing has been an emerging technology playing a great role in technology deployment scenarios, making technology more efficient and convenient to use. In this paper, we propose a cloud based architecture that enables maximum utilization of resources and improves the accessibility of information to students, thereby enhancing the learning experience. An architecture based on hybrid cloud model can be a perfect fit, with lot of benefits. The proposed architecture is explained with its benefits, and the security issues, implementation scenarios are discussed.","","Electronic:978-0-7695-5013-8; POD:978-1-4799-7977-6","10.1109/ICMIRA.2013.119","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6918896","Cloud Architecture;Cloud Models;Educational Institutions;Hybrid Cloud","Cloud computing;Computational modeling;Computer architecture;Educational institutions;Organizations;Security;Servers","cloud computing;computer aided instruction;resource allocation;security of data","cloud based architecture;colleges;computing resources;educational institutions;hybrid cloud model;information accessibility;learning experience;resource utilization;schools;security issues;technology deployment scenario;technology use;universities","","2","","20","","","","21-23 Dec. 2013","","IEEE","IEEE Conference Publications"
"Cloud Computing Framework for Solving Egyptian Higher Education","M. M. Mosbah; H. Sol; Alnashar; M. A. El-Nasr","Dept. of Inf. Syst., Arab Acad. for Sci., Technol. & Maritime Transp., Cairo, Egypt","2014 Fourth International Conference on Advances in Computing and Communications","20140929","2014","","","208","213","Educational institutions across the World rely heavily on IT in teaching-learning that accept the services provision and business needs. Whereas buying and preserving a huge number of devices used in educational process whether it is licensed software and/or original hardware require great investment and special skills to support them in the current financial crisis which affect the growing needs while the Higher Education System is facing many obstacles in supplying vital technology support for educational process and its performance measurements. This paper highlights the advantages of Cloud Computing which is the better mechanism for using ICT to enhance Egyptian Higher Education, such technology provides easy accessibility and scalability, storage and cost minimization. Accordingly, implementing the proposed framework of the Hybrid Cloud Computing for the Egyptian Virtual University will have a significant contribution for enhancing the educational process in the country.","","Electronic:978-1-4799-4363-0; POD:978-1-4799-4362-3","10.1109/ICACC.2014.57","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6906026","Advantages;Cloud Computing;Framework Hybrid Cloud;Higher Education;Virtual University","Cloud computing;Computers;Educational institutions;Hardware;Information systems","cloud computing;computer aided instruction;educational institutions;further education","Egyptian higher education;Egyptian virtual university;ICT;cost minimization;educational institution;hybrid cloud computing","","1","","19","","","","27-29 Aug. 2014","","IEEE","IEEE Conference Publications"
"Accessible computing for sustainable and inclusive development","Ramesh Babu J; Chandra Sekharaiah K","CSE, BVR Inst. of Technol., Medak, India","2014 International Conference on Computing for Sustainable Global Development (INDIACom)","20140612","2014","","","156","160","Sustainability computing is crucial in the present day scenario for sustainable and inclusive development. Two significant areas of this field are UID and accessibility. In this paper, web accessibility is explored for CwSNs (Children with Special Needs) and with respect to technologies for students with mild learning disability. Web accessibility guidelines are presented. Three example accessible websites are compared with respect to their accessibility support. A couple of special education learning s/w tools Sebran and GCompris which are peculiar to CwSNs are compared too.","","CD-ROM:978-93-80544-11-3; Electronic:978-93-80544-12-0; POD:978-1-4799-2278-9","10.1109/IndiaCom.2014.6828120","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6828120","GCompris;Mild Learning;Sebran;Web accessibility","Computers;Education;Guidelines;Monitoring;Software;Speech;Visualization","Web sites;computer aided instruction;sustainable development","CwSN;GCompris tool;Sebran tool;UID;Web accessibility;accessibility guidelines;accessibility support;accessible Web sites;accessible computing;children with special needs;inclusive development;special education learning;students with mild learning disability;sustainability computing;sustainable development","","0","","12","","","","5-7 March 2014","","IEEE","IEEE Conference Publications"
