"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"The Arduino platform connected to education process","J. Hurtuk; M. Chovanec; N. Ádam","Department of Computers and Informatics, Technical university of Ko&#x0161;ice, Letn&#x00E1; 9, 042 00 Ko&#x0161;ice, Slovakia","2017 IEEE 21st International Conference on Intelligent Engineering Systems (INES)","20171123","2017","","","000071","000076","In order to keep up with the massive growing and expanding development of the electronics and informatics fields of study, the education system should be able to react on the currently used technologies available on the market and include them into the education process. Meeting the new trends becomes crucial when producing the people with broad view, experience and insight. Nowadays, Arduino based technologies are gaining huge popularity among the communities interested in fields of electronic and hardware solutions, because of its availability on the market, relatively easy use and last but not least, because of its cheap price and large accessibility of various information, components and already made tutorials. Therefore it becomes more and more crucial to include Arduino into education process within the subjects taught on schools, which would like to provide the complex view of electronics and informatics connected fields of study.","","Electronic:978-1-4799-7678-2; POD:978-1-4799-7679-9; USB:978-1-4799-7677-5","10.1109/INES.2017.8118531","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=8118531","Arduino;Education;Electronics;Hardware;Informatics;Platform","","","","","","","","","","","20-23 Oct. 2017","","IEEE","IEEE Conference Publications"
"Exploring the educational potential of QR codes","R. K. Sungkur; V. Neermul; V. Tauckoor","Computer Science and Engineering Dept, University of Mauritius","2016 International Conference on Advances in Computing and Communication Engineering (ICACCE)","20171019","2016","","","368","373","Education through the past years has changed the way teaching and learning is inculcated to the new generation. The rapid growth of technology has accelerated the change in teaching methods and has given birth to new methods like distance learning and online learning, where lectures notes and material are shared via educational platforms. This leaves traditional face to face lecture session to a discussion type session where tutor and student discuss about topics and do more class activity. Technology offers new ways in transferring data and information in large amounts very rapidly and also offers the accessibility not only to large information pools such as the internet but also offers access to online storage remotely accessible. One way education can benefit from this is to make use of Quick Response (QR) Code. With its potential, QR Codes can be exploited to change the ways both tutors and students interact in class. This can be achieved by combining Mobile technology, Quick Response Code technology and Cloud technology.","","CD:978-1-5090-2575-6; Electronic:978-1-5090-2576-3; POD:978-1-5090-2577-0","10.1109/ICACCE.2016.8073777","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=8073777","QR codes;cloud technology;education;educational platforms;mobile technology","Bar codes;Business;Cloud computing;Education;Mobile applications;Mobile communication;Uniform resource locators","Internet;QR codes;computer aided instruction;computer science education;distance learning;mobile computing;teaching","Cloud technology;Mobile technology;QR Codes;Quick Response Code technology;accessibility;class activity;discussion type session;distance learning;educational platforms;educational potential;information pools;lecture session;lectures notes;online learning;online storage;teaching","","","","","","","","28-29 Nov. 2016","","IEEE","IEEE Conference Publications"
"Information recall in a mobile VR disability simulation","T. I. Chowdhury; R. Costa; J. Quarles","University of Texas at San Antonio","2017 9th International Conference on Virtual Worlds and Games for Serious Applications (VS-Games)","20171005","2017","","","125","128","The purpose of this paper is to investigate the effect of the sense of presence on one aspect of learning, information recall, in a mobile immersive virtual reality (VR) disability simulation (DS). Previous research has found that the use of VR technology in education may facilitate improved learning outcomes. However, it is still an active research topic as the learning outcomes can vary widely and from a practical perspective, mobile VR displays may improve the accessibility of VR while keeping costs low. We hypothesized that a higher level of immersion and involvement in a mobile VR disability simulation that leads to a high sense of presence will help the user to improve information recall. We also looked into whether there is any adverse effect of cybersickness on the information recall task in our DS. The results from our study suggest that participants were able to recall the information effectively and that mobile immersive VR is a feasible modality to facilitate post experience information recall.","","Electronic:978-1-5090-5812-9; POD:978-1-5386-1203-3; USB:978-1-5090-5811-2","10.1109/VS-GAMES.2017.8056580","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=8056580","","Correlation;Education;Games;Mobile communication;Multiple sclerosis;Solid modeling","human computer interaction;human factors;mobile computing;virtual reality","cybersickness;information recall task;mobile VR disability simulation;mobile VR displays;mobile immersive VR;mobile immersive virtual reality disability simulation;sense-of-presence effect","","","","","","","","6-8 Sept. 2017","","IEEE","IEEE Conference Publications"
"A rating system that open-data repositories must satisfy to be considered OER: Reusing open data resources in teaching","N. Piedra; J. Chicaiza; J. López; E. T. Caro","Universidad T&#x00E9;cnica particular de Loja, Ecuador, Departamento de Ciencias de la Computaci&#x00F3;n, Loja, Ecuador","2017 IEEE Global Engineering Education Conference (EDUCON)","20170608","2017","","","1768","1777","The re-use of digital content is an essential part of the knowledge-based economy. The online accessibility of open materials will make possible for teachers, students and self-learners to use them for leisure, studies or work. Recent studies have focused on the use or reuse of digital resources with specific reference to the open data field. Moreover, open data can be reused - for both commercial and non-commercial purposes - for uses such as developing learning and educational content, with full respect for copyright and related rights. This work presents a rating system for open data as OER is proposed. This rating system present a framework to search, download and re-use digital resources by teachers and students. The rating system proposed is built from the ground upwards on Open data principles and Semantic Web technologies. By following open data best practices and Linked Data principles, open data initiative ensures that data hosted can be fully connected into a Web of Linked Data. This work aims at sharing good practices for administrative/academics/researchers on gathering and disseminating good quality data, using interoperable standards and overcoming legal obstacles. In this way, open data becomes a tool for teaching and educational environments to improve engagement and student learning. Designing an open data repository that manages and shares information of different catalogues and an evaluation tool to OER will allow teachers and students to increase educational contents and to improve relationship between open data initiatives and education context.","","Electronic:978-1-5090-5467-1; POD:978-1-5090-5468-8; USB:978-1-5090-5466-4","10.1109/EDUCON.2017.7943089","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7943089","component;formatting;insert (key words);style;styling","Context;Education;Government;Portals;Tools","Linked Data;computer aided instruction;open systems;semantic Web;teaching","OER;Web of Linked Data;digital resource downloading;digital resource re-use;digital resource search;digital resources;educational content;educational environments;interoperable standards;knowledge-based economy;learning content;online accessibility;open data resources;open materials;open-data repositories;rating system;semantic Web technologies;student engagement improvement;student learning improvement;teaching environments","","","","","","","","25-28 April 2017","","IEEE","IEEE Conference Publications"
"Elevating visually challenged children towards S&T education through scaling-up humanitarian technologies by networking with higher learning centres, NGOs, and parent-teacher partnerships","R. R. Nair; R. Manoj; P. Chanana; V. K. Damodaran; K. P. Mani","Inapp Inc","2016 IEEE Global Humanitarian Technology Conference (GHTC)","20170216","2016","","","327","331","Traditionally, the visually challenged are forced to study only humanities or arts at pre-university level and beyond, due to inadequate educational curriculum, accessibility denied campuses, lack of empowering assistive technologies and ignorance on the needs of vision deprived children. Unemployed among the blind is as high as 98%. IEEE Professionals of Kerala networked with Chakshumathi, the NGO working toward a holistic solution to engage the visually challenged with Science and Technology (S&T) education and careers, and conducting `Eyes Free Science' camps for them. Humanitarian Technology Innovations are attempted usually without understanding the real user needs. IIT Delhi's `Assistech Lab' as innovation hub for HTC, with real life inputs from the Network, could develop, test and market ultrasound sensed Smart Cane, Low cost Tactile prints, Software to read and type Mathematics and Science text, Low cost multi platform Braille display, Science text book conversion techniques etc. The Network trained blind youths could secure well paid jobs in areas like IT. 750 books and 4 periodicals published in digital accessible information systems (DAISY) format are being used by at least 800 visually challenged readers.","","Electronic:978-1-5090-2432-2; POD:978-1-5090-2433-9; USB:978-1-5090-2431-5","10.1109/GHTC.2016.7857301","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7857301","","Conferences;Decision support systems;Graphics","computer aided instruction;handicapped aids;natural sciences computing","Eyes Free Science camps;NGO;S&T education;higher learning centres;humanitarian technologies;parent-teacher partnerships;science and technology education;visually challenged children","","","","","","","","13-16 Oct. 2016","","IEEE","IEEE Conference Publications"
"Community-based neurorehabilitation in underserved populations","C. M. L. Hughes; A. Aguirre; A. Hussain; A. Budhota; D. Campolo","Health Equity Institute, San Francisco State University, San Francisco, USA","2016 IEEE Global Humanitarian Technology Conference (GHTC)","20170216","2016","","","576","588","Despite the fact that stroke is the leading cause of long-term adult disability and a primary cause of death, one of the major problems in national healthcare systems is the inability to provide quality post-stroke rehabilitation. Geographical barriers, socioeconomic position, race, education, and cost all contribute to health care disparities. These disparities may not only obstruct access to the most appropriate rehabilitative care, but may contribute to psychological problems, reduced quality of life, and unsuccessful return to meaningful community participation. Information and communications technology (ICT) when combined with robotic technology can enhance the accessibility of rehabilitation in low-resource, capacity-constrained settings. In this paper we introduce a low cost, limited supervision, portable robot (H-Man) designed for upper extremity rehabilitation. A usability and feasibility study indicates that out-patient robotic treatment with the H-Man leads to positive improvements in arm movement, and that the system is usable and well accepted by key stakeholders. This paper also introduces an implementation strategy to assess the effectiveness, benefits and barriers of using the H-Man robot for community-based neurorehabilitation in underserved populations, such as those that live in low income neighborhoods or in rural areas.","","Electronic:978-1-5090-2432-2; POD:978-1-5090-2433-9; USB:978-1-5090-2431-5","10.1109/GHTC.2016.7857338","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7857338","information and communications technology;low-income;rehabilitation;stroke","Blades;Conferences;Decision support systems;Fingers;Games;Shoulder;Training","health care;human-robot interaction;medical robotics;patient care;patient rehabilitation","H-Man robot;ICT;arm movement;community-based neurorehabilitation in;education;geographical barriers;information and communications technology;long-term adult disability;low cost limited supervision portable robot;low income neighborhood;low-resource capacity-constrained setting;national healthcare system;out-patient robotic treatment;post-stroke rehabilitation;psychological problem;quality of life;rehabilitation accessibility;rehabilitative care access;robotic technology;rural area;socioeconomic position;underserved population;upper extremity rehabilitation;usability","","","","","","","","13-16 Oct. 2016","","IEEE","IEEE Conference Publications"
"Role of ICT in Outcome Based Education","S. V. Raju; M. S. V. S. B. Raju; G. Abbaiah; M. Gudavalli","Dept. of CSE, JNTUH, Hyderabad, Hyderabad, India","2016 IEEE 6th International Conference on Advanced Computing (IACC)","20160818","2016","","","815","819","Outcome based education (OBE) focuses on abilities procured by the learners. It assists the progress of learners by creating abilities, impacting qualities, states of mind and determination and expanding expertise. Quality education which empowers the society can be achieved through information and communication Technologies (ICT) in teaching learning process to accomplish the concurred learners' level of ability. The rapid increase in student enrolment, knowledge explosion, advances in information and communication technologies (ICTs), globalisation, economic restructuring, and financial constraints have all contributed to reforms in higher education. ICT as an artifact facilitates information gathering, exchange and makes learning more easy and productive. It also offer students tools for knowledge construction, reflecting, sharing and collaboration in project work, while also connecting to communities, network and resources of their own interest. With globalization, there is a great need for higher education to provide a platform for gradual integration of its degrees with the best available in the world. The implementation of ICT in OBE can effectively accomplish the goals of quality education which is a process that reduces consumption of resources and increases learning outcomes. Quality can be ensured only if institutions can face competition to attract talented students, provide choices and innovate subject combinations. This paper demonstrates the role of ICT to restructure higher education to Outcome based model and its effective usage to improve quality and accessibility of education.","","Electronic:978-1-4673-8286-1; POD:978-1-4673-8287-8","10.1109/IACC.2016.155","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7544944","Curricula;ICT;Instructors;Learners;OBE;Outcome;Technology","Art;Education;Face;Globalization;Information and communication technology;Standards;Technological innovation","computer aided instruction;economics;financial management;further education;globalisation;information technology;knowledge management;quality management;student experiments","ICT;OBE;economic restructuring;financial constraints;globalisation;higher education;information and communication technologies;information exchange;information gathering;knowledge construction;knowledge explosion;outcome based education;quality education;student enrolment;students tools;teaching learning process","","","","","","","","27-28 Feb. 2016","","IEEE","IEEE Conference Publications"
"Critical design factors for information technology supporting type 1 diabetes management","J. Bedrossian; L. Kerr; L. Robertson; A. Stewart; J. Suits; S. Patek; R. Valdez","Department of Systems and Information Engineering, University of Virginia","2016 IEEE Systems and Information Engineering Design Symposium (SIEDS)","20160613","2016","","","261","266","During childhood, patients with Type 1 diabetes (T1D) are reliant on an informal caregiver (parent or guardian) for day-to-day disease management. Upon entering adolescence, patients are expected to adopt a greater role in self-management. However, adolescents often have difficulty adhering to management regimens, which can lead to poor health outcomes. There is a need for a technology that addresses the compound social and technical needs of these patients and their informal caregivers while filling the gaps of current information technology management tools. Through an IRB-approved process, group and individual interviews were conducted with ten adolescents with T1D ranging in age from 11-17 and informal caregivers. The purpose of these interviews was to learn about (1) adolescents' day-to-day management of T1D, (2) the role of the informal caregiver and (3) the role of technology in this management. Qualitative content analysis presented four key themes: the person (the adolescent and informal caregiver), the interactions between the adolescent and informal caregiver, interactions with technology, and physical environments where these interactions occur. These themes led to the development of user-centered design considerations. Final design recommendations included the importance of customization, integration with current T1D technologies, accessibility while maintaining security, and diabetes education. These findings provide insight into remote monitoring features that must be properly addressed in order to ease adolescents' transition to self-management and promote long-term adherence.","","Electronic:978-1-5090-0970-1; POD:978-1-5090-0971-8","10.1109/SIEDS.2016.7489311","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7489311","Adolescent Self-management;Human factors design;Informal caregiver;Information technology;Type 1 diabetes","Conferences;Diabetes;Information technology;Interviews;Monitoring;Pregnancy;Security","diseases;medical information systems","IRB-approved process;T1D patients;adolescent self-management;critical design factor;diabetes education;informal caregivers;information technology management tools;physical environments;qualitative content analysis;remote monitoring features;security maintenance;social needs;technical needs;type-1 diabetes management;user-centered design","","","","15","","","","29-29 April 2016","","IEEE","IEEE Conference Publications"
"From face-to-face to blended learning using ICT","I. Hakala; M. Myllymäki","Kokkola University Consortium Chydenius, University of Jyv&#228;skyl&#228;, Kokkola, Finland","2016 IEEE Global Engineering Education Conference (EDUCON)","20160523","2016","","","409","418","This study examines the development of the education model created in connection with the Master Studies in Mathematical Information Technology. The model has developed from the first stage, where there was only face-to-face teaching supported with Learning Management System, to a stage where studying is possible also fully in online and students may choose themselves how much to take advantage of technology in their studies. The examination of the development of the education model is made from the viewpoints of accessibility, increased role of technology and interaction. In earlier studies, the education model has been evaluated for example from the viewpoints of changes in the participation rate and learning results, and the results have been positive. These viewpoints, in addition to describing the development path, will be highlighted in this study.","","Electronic:978-1-4673-8633-3; POD:978-1-4673-8634-0","10.1109/EDUCON.2016.7474586","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7474586","accessibility;blended learning;distance education","Information technology;Learning management systems;Mathematical model;Real-time systems;Videos","further education;learning management systems;mathematics computing","ICT;Master Studies;Mathematical Information Technology;blended learning environments;education model development;face-to-face teaching;learning management system","","","","14","","","","10-13 April 2016","","IEEE","IEEE Conference Publications"
"The Research on the OSPF Security Optimizing of Campus Network","Y. Lan; Z. Chen","Guangzhou Vocational Coll. of Sci. & Technol., Guangzhou, China","2015 International Conference on Network and Information Systems for Computers","20160114","2015","","","592","594","With the rapid development and extensive application of network information technology in the 21st century, computer networks based on OSPF protocol gradually exposed OSPF security problems and the routing tables' rapid growth issue. At the same time, along with the deepening of China's education system and universities increasingly expanding, campus network rapidly increase users and have more and more business. Aimed at the OSPF security problems existing in the large campus network, the paper research the OSPF security optimizing design from the accessibility of the non-backbone area route, OSPF external routing propagation control and routing spread control in OSPF area.","","Electronic:978-1-4799-1843-0; POD:978-1-4799-1844-7","10.1109/ICNISC.2015.121","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7311959","Campus Network;OSPF;routing security optimizing","Business;Communication networks;Education;Routing;Routing protocols;Security","computer aided instruction;computer network security;educational institutions;routing protocols","China education system;OSPF external routing propagation control;OSPF protocol;OSPF security optimization;campus network;network information technology;routing spread control","","1","","5","","","","23-25 Jan. 2015","","IEEE","IEEE Conference Publications"
