"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Integration of information and communication technology (ICT) into technical and engineering education in Nigeria: Potentialities, problems and strategies","I. Y. Shehu; H. D. Baba; J. D. Enemali","Tech. & Eng. Educ. Dept., Univ. Teknol., Petronas, Malaysia","2012 4th International Congress on Engineering Education","20140327","2012","","","86","89","This paper discussed the role of ICT in the world of work and development in science and technology. It considers the potentialities of using ICT in the teaching and learning technical and engineering education in Nigeria. Among the ways through which ICT can be integrated into TEE include: the use CD-ROMS, videodisks, electronic encyclopedia, and video libraries, computer assisted instruction, animation, web-based and computer aided design (CAD). Similarly, the paper highlighted some of the problems facing the efforts of integrating ICT into technical and engineering education and training. It concluded with suggestions on how to integrate the technology in technical and engineering education delivery process.","","Electronic:978-1-4673-4868-3; POD:978-1-4673-4869-0","10.1109/ICEED.2012.6779275","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6779275","Communication;Education;Engineering;Information;Technical;Technology","Animation;Communications technology;Computers;Educational institutions;Engineering education;Training","CAD;computer aided instruction;engineering computing;engineering education;teaching","CAD;CD-ROMS;ICT;Nigeria;TEE;Web-based design;computer aided design;computer assisted instruction;electronic encyclopedia;information and communication technology;science and technology;teaching;technical and engineering education;technical and engineering education delivery process;technical and engineering training;video libraries;videodisks","","0","","19","","","","5-7 Dec. 2012","","IEEE","IEEE Conference Publications"
"Study on the Integration Strategies of Modern Information Technology and Physical Education in Colleges and Universities","Z. Shi","Sports Sci. Coll., Mudanjiang Normal Univ., Mudanjiang, China","2012 Second International Conference on Business Computing and Global Informatization","20121220","2012","","","947","949","The article explains the necessity of the integration of physical education with modern education technology in colleges and universities, and on the analysis of the obstacles in practice of the integration of modern education technology and physical education in colleges and universities, a strategy of integration of modern education technology in the teaching of physical education in colleges and universities is suggested to improve the traditional concept of physical education in colleges and universities and the feasibility of teaching.","2378-8941;23788941","Electronic:978-0-7695-4854-8; POD:978-1-4673-4469-2","10.1109/BCGIN.2012.251","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6382692","PE;consolidation;modern education technology;strategies","Educational institutions;Educational technology;Hardware;Information technology;Multimedia communication;Training","computer aided instruction;data integration;educational institutions;teaching","college;modern information technology;obstacle analysis;physical education integration;teaching;university","","0","","4","","","","12-14 Oct. 2012","","IEEE","IEEE Conference Publications"
"Notice of Retraction<BR>Development Strategy for Requirement of Information and Communication Technology in Life-Science Learning of Comprehensive Regional Higher Education Institutes","Y. Li","Sch. of Life Sci., Linyi Univ., Linyi, China","2011 Third Pacific-Asia Conference on Circuits, Communications and System (PACCS)","20110818","2011","","","1","3","Notice of Retraction<BR><BR>After careful and considered review of the content of this paper by a duly constituted expert committee, this paper has been found to be in violation of IEEE's Publication Principles.<BR><BR>We hereby retract the content of this paper. Reasonable effort should be made to remove all past references to this paper.<BR><BR>The presenting author of this paper has the option to appeal this decision by contacting TPII@ieee.org.<BR><BR>Information and communication technology (ICT) penetrates into all aspects of economy. ICT are crucial for organizational effectiveness. Now graduate of comprehensive regional higher education institutes (CRHEIs) are main source of office workers. Those CRHEIs should improve their quality of learning for their student being good office workers. In this paper, we analyses ICT-based learning issues in Linyi University and efforts to devise a strategy as solution to those issues as a result. The methodology for carrying out the tasks mainly contains questionnaires according to normative Delphi technique. The research provides information and communications strategy which CRHEIs authorities should take in order to properly integrate ICT in their CRHEIs.","","Electronic:978-1-4577-0856-5; POD:978-1-4577-0855-8","10.1109/PACCS.2011.5990337","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5990337","","Educational institutions;Internet;Materials;Software;Training","biology computing;biomedical education;computer aided instruction;educational institutions;further education","CRHEI;Delphi technique;ICT based learning issue;Linyi University;learning quality;life science learning;organizational effectiveness;regional higher education institute","","0","","5","","","","17-18 July 2011","","IEEE","IEEE Conference Publications"
"China Colleges Information Technology Education Development Strategy Thinking","C. Xin","Sch. of Int. Trade & Econ., Guangdong Univ. of Foreign Studies, Guangzhou","2009 First International Workshop on Education Technology and Computer Science","20090526","2009","2","","1096","1099","Information technology colleges are digital, networked oriented. The network is foundation, the building of resources is the core, the application is the goal, and the management system is guarantee. However, the current states of Chinese colleges IT application are: emphasizing the building of network environment but ignoring education application; information resources share limited; less quantity and low quality of education software. It is suggested to improve the mechanism and integrate all kinds of resources in order to speed up the development of digital university.","","POD:978-0-7695-3557-9","10.1109/ETCS.2009.511","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4959223","China college;IT strategy;development thinking;education development strategy;information technology education","Application software;Buildings;Computer networks;Computer science education;Educational institutions;Educational technology;Information resources;Information technology;Investments;Software quality","computer aided instruction;educational institutions;information resources","digital university;education application;education development;education software;information resources;information technology college;management system;network environment;strategy thinking","","2","","6","","","","7-8 March 2009","","IEEE","IEEE Conference Publications"
"A paradigm shift for higher education: Strategies for incorporating Information Technology into Nigerian higher institution","M. A. Kamba","Department of Library and Information Sciences, Bayero University, Kano, Malaysia","2008 International Symposium on Information Technology","20080926","2008","3","","1","4","Information Technology is not widely accepted in the higher institutions in Nigeria, due to the numerous reasons. This paper tries to provide the strategies for which Information Technology can be widely accepted in Nigerian higher institutions. It also focuses on the advantages that the Nigeria higher institutions can yield from incorporating the IT into higher institutions. The paper also used the adopted model of innovation as a strategy for which if followed will graduate Nigerian higher institutions to fully engage themselves in the incorporation and use of the new technology for teaching, learning and research.","2155-8973;21558973","CD-ROM:978-1-4244-2328-6; POD:978-1-4244-2327-9","10.1109/ITSIM.2008.4631973","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4631973","","Education;Educational institutions;Government;Information technology;Libraries;Paper technology;Psychology;Strategic planning;Technological innovation;Technology planning","educational institutions;further education;teaching","Nigerian higher institution;higher education;information technology;teaching","","0","","5","","","","26-28 Aug. 2008","","IEEE","IEEE Conference Publications"
"A Study on Education of Exploration and Exploitation Based on Analysis of Global Intellectual Property Strategy","Y. Huang; A. Minazuki; H. Hayashi","","2017 6th IIAI International Congress on Advanced Applied Informatics (IIAI-AAI)","20171116","2017","","","339","344","This study considers the required capacity and education for the students who majoring in management information through describing the patent analysis of the company and the idea creation and prototypic implementation at classroom practice. This patent analysis of the company is a single case study of Hon Hai Precision which has received much attention in recent years. During the classroom practices, we put the idea creation called Idea Sketching into practice. Moreover, we practice prototypic implementation at the seminar which focusing on the knowledge based in the industrial technologies. In the light of the intellectual property strategies and the trend of information technology, we consider above and refer to the education which applied the practice of Exploration and Exploitation of knowledge to classroom. We insist that bringing up the person with talent on innovation is important for our countrys education system and then suggest the required capacity and education for the students who majoring in management information. Moreover, we discovered the new direction to connect the knowledge in practice and college education, and found out the useful insights for both industrial and educational world through the light of the intellectual property strategies in companies.","","Electronic:978-1-5386-0621-6; POD:978-1-5386-0622-3","10.1109/IIAI-AAI.2017.163","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=8113267","EMS companies;Globalization;Innovation;Knowledge Flow;Paten","Companies;Connectors;Education;Intellectual property;Patents;Technological innovation;Trademarks","","","","","","","","","","9-13 July 2017","","IEEE","IEEE Conference Publications"
"Strategy Analysis of Psychological Quality Education in the Environment of Big Data","L. Ying","","2017 International Conference on Smart Grid and Electrical Automation (ICSGEA)","20171113","2017","","","636","640","College psychological health education is very important for college psychological discipline construction, lodging the important role of college psychology in the reform and the change, emphasizes two related themes of the psychological health education-the empirical application and the overall adjustment for prevention. With the development of modern network technology and the increasing information, society begins to gradually into the era of big data. Under the environment of Big data, the campuses how to implement the psychological quality education strategy with the help of big data, and how to strengthen the utilization of big data to make construction of informational psychological quality education strategy become the focus of current topic which people should think. In view of the foregoing, in this paper, starting from the definition of big data, the meaning of big data in psychological quality education strategy and the specific informational psychological quality education strategy application are analyzed, and psychological quality education weighting model based on AHP was built, so as to provide reference for the application of big data psychological quality education strategy in the future.","","CD:978-1-5386-2812-6; Electronic:978-1-5386-2813-3; POD:978-1-5386-2814-0","10.1109/ICSGEA.2017.127","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=8104467","Analytic Hierarchy Process;Big Data;Psychological Quality Education","Automation;Smart grids","","","","","","","","","","27-28 May 2017","","IEEE","IEEE Conference Publications"
"Research of Informational Ideological Education Grid Mechanism under the Environment of Big Data","H. Peng","","2017 International Conference on Smart Grid and Electrical Automation (ICSGEA)","20171113","2017","","","618","622","With the development of modern network technology and the increasing information, society begins to gradually into the era of big data. Under the environment of Big data, the campuses how to implement the informational ideological education level with the help of big data, and how to strengthen the utilization of big data to make construction of informational ideological education grid mechanism become the focus of current topic which people should think. In view of the foregoing, in this paper, starting from the definition of big data, the meaning of big data in informational ideological education and the specific informational ideological education grid mechanism and application are analyzed, so as to provide reference for the application of big data informational ideological education strategy in the future.","","CD:978-1-5386-2812-6; Electronic:978-1-5386-2813-3; POD:978-1-5386-2814-0","10.1109/ICSGEA.2017.109","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=8104463","Big Data;Grid Mechanism;Informational Level;Informational ideological Education","Automation;Smart grids","","","","","","","","","","27-28 May 2017","","IEEE","IEEE Conference Publications"
"Strategic planning for the information development of IPDC (Instituto Profissional De Canossa) library using TOGAF method","U. de Fatima Gusmao; D. B. Setyohadi","Magister Informatics Engineering, Universitas Atma Jaya Yogyakarta, Yogyakarta, Indonesia, 55281","2017 5th International Conference on Cyber and IT Service Management (CITSM)","20171030","2017","","","1","6","The enhancement of technology development is used by organizations to provide information to the public. In the academic field, technology strongly supports the development of the Library, which is used as an information center that plays an important role in the development of knowledge and culture through the social sciences as well as the quality of education. This research aims to create a model of enterprise architecture strategy planning of information system, which can be a guide for Instituto Profissional de Canossa (IPDC) in the development of information systems strategy aligned with business strategy. Information system development followed by the TOGAF framework, with the TOGAF ADM method for modeling business architecture, information systems, and technology. The design of the enterprise architecture models can be used as a guide to develop information systems and information technology services in the Instituto Profissional de Canossa. The results of this study are documents that explain the development of information systems.","","Electronic:978-1-5386-2739-6; POD:978-1-5386-2740-2; USB:978-1-5386-2738-9","10.1109/CITSM.2017.8089289","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=8089289","Architecture Model;Information Systems;Library;Strategic Planning;TOGAF","Computer architecture;Information systems;Libraries;Organizations;Strategic planning","","","","","","","","","","8-10 Aug. 2017","","IEEE","IEEE Conference Publications"
"Strategic information system plan for the implementation of information technology at Polytechnic “API” Yogyakarta","D. Budiyanto; D. B. Setyohadi","Magister Informatics Engineering, Universitas Atma Jaya Yogyakarta, Yogyakarta, Indonesia, 55281","2017 5th International Conference on Cyber and IT Service Management (CITSM)","20171030","2017","","","1","6","Strategic Planning of information system is now of the key in achieving the institution goals, as must be aligned with the business strategy being executed. Information Systems/Information Technology (IS/IT) is becomes as one of the strategy in the higher education institution to improve the quality of education and services to all stakeholders to be an excellent and competitive Polytechnic. Development of Strategic planning model of information systems to be discussed in this study is using Ward & Peppard method. Ward & Peppard method is a model used to develop an information system strategic planning in an institution. Strategic direction that they want to be achieved is a development of data/information, application, and technology in information utilization to support all business processes have already there to be an integrated information system. This result of the study showed a model of Strategic Information System Planning in higher education institutions that are aligned with its business strategy. The results of this mapping need further elaboration IS/IT in line with business strategy institution using Analisis SWOT, and McFarlan Strategic Grid. The needs for IS/IT that emerge later is to be inventoried to be carried out in accordance with the strategic management IS/IT.","","Electronic:978-1-5386-2739-6; POD:978-1-5386-2740-2; USB:978-1-5386-2738-9","10.1109/CITSM.2017.8089267","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=8089267","Information System;Polytechnic API Yogyakarta;Strategic Plan;Ward and Peppard","Education;Information systems;Information technology;Organizations;Strategic planning","","","","","","","","","","8-10 Aug. 2017","","IEEE","IEEE Conference Publications"
