"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Consideration of Improvement in the Educational Activities Using Web-Based Computational Science Platform","G. M. Ryu; J. H. Shin; J. C. Lee; S. Lee; K. W. Cho","","2017 IEEE 13th International Conference on e-Science (e-Science)","20171116","2017","","","467","468","Numerous computational science platforms, including EDISON, have broken the previous education focused on theory and providing practical and experiential educational services with various simulation tools and educational contents. This paper analyzed the effectiveness and usability through a survey of university e-lectures and educational competitions using EDISON for better service improvement. In this survey six disciplines were chosen: computational fluid dynamics, nano-electronic device and general physics, computational chemistry, structural analysis, computer aided optimal design, computational bio-medicine. Interestingly, according to the results of the survey, users of each computational science field were already familiar with the user interfaces of the simulation tools they had used before EDISON, and hoped that EDISON would have similar one. In addition, although the effectiveness of learning has been improved through practice, it is difficult for first learners because of quantitative and qualitative shortage of user and theory manuals. Lastly, the most important factor was the lecturer's explanation to use the computational science platform and find the meaning of the simulation results. To sum up, back-ups which are documentation and lecturer's assistances should be accompanied outside simulation workflows. In the last stage, this study searched for ways to improve the quality through summarizing the requirements, and proposed the direction of EDISON in the future.","","Electronic:978-1-5386-2686-3; POD:978-1-5386-2687-0","10.1109/eScience.2017.74","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=8109179","EDISON;e-lectures;educational competitions;educational disciplines;web-based computational science platform","Computational modeling;Education;Manuals;Portals;Scientific computing;Tools;User interfaces","","","","","","","","","","24-27 Oct. 2017","","IEEE","IEEE Conference Publications"
"Experimental Functionality Development for Scratch Mathematical and Statistics Extensions","C. Chang; Y. L. Chin; C. K. Chang","Dept. of Inf. & Learning Technol., Nat. Univ. of Tainan, Tainan, Taiwan","2016 International Computer Symposium (ICS)","20170220","2016","","","640","644","Computer science education is to teach students to solve problems, design systems, provoke creativity, and explore their own interest by using basic concepts of computer science. From science to the humanities, mathematics and logical thinking ability also affect every aspect of computer science education. To foster mathematics logical thinking and problem-solving ability in primary and secondary schools, students not only require to learn to read, writing, and arithmetic, but also need to understand the abstraction of mathematics operations and logical thinking processes. Therefore, this study uses visual programming language as a basis, i.e. Scratch 2.0 offline edition, to introduce abstraction of mathematics operations. Scratch 2.0 can empower learners using graphical elements to solve mathematics problems with a smooth learning curve through user-friendly programming interface. However, the latest version of Scratch 2.0 does not include enough functions for abstracting mathematical blocks. Consequently, this study integrates Scratch programming environment with math library of Python language to expand functionality and improve usability of Scratch. Moreover, learners are expected to learn and practice more about mathematical thinking through those additional Scratch building blocks.","","Electronic:978-1-5090-3438-3; POD:978-1-5090-3439-0","10.1109/ICS.2016.0131","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7858553","Python;Scratch extension;computer science education;mathematics and logical thinking;visual programming language","Computer languages;Computer science education;Mathematics;Programming profession;Visualization","computer aided instruction;computer science education;educational institutions;mathematics computing;statistical analysis;teaching;visual programming","Python language;Scratch 2.0 offline edition;Scratch mathematical extensions;Scratch programming environment;computer science education;experimental functionality development;graphical elements;humanities;logical thinking processes;math library;mathematics operation abstraction;primary schools;problem-solving ability;secondary schools;smooth learning curve;statistics extensions;user-friendly programming interface;visual programming language","","","","","","","","15-17 Dec. 2016","","IEEE","IEEE Conference Publications"
"Can embodied interaction and virtual peer customization in a virtual programming environment enhance computational thinking?","D. Parmar; S. V. Babu; L. Lin; S. Jörg; N. D'Souza; A. E. Leonard; S. B. Daily","School of Computing, Clemson University, 100 McAdams Hall, S.C. 29634, United States of America","2016 Research on Equity and Sustained Participation in Engineering, Computing, and Technology (RESPECT)","20170202","2016","","","1","2","To address the problem of underexposure, underrepresentation, and underproduction of diverse professionals in the field of computing, we target middle school education using an idea that combines computational thinking with dance and movement choreography. This lightning talk delves into a virtual reality education and entertainment application named Virtual Environment Interactions (VEnvI). Our in vivo study examines how VEnvI can be used to teach fundamental computer science concepts such as sequences, loops, variables, conditionals, functions, and parallel programming. We aim to reach younger students through a fun and intuitive interface for choreographing dance movements with a virtual character. Our study contrasts the highly immersive and embodied virtual reality metaphor of using VEnvI with a non-immersive desktop metaphor. Additionally, we examine the effects of user attachment by comparing the learning results gained with customizable virtual characters in contrast with character presets. By analyzing qualitative and quantitative user responses measuring cognition, presence, usability, and satisfaction, we hope to find how virtual reality can enhance interest in the field of computer science among middle school students.","","Electronic:978-1-5090-3419-2; POD:978-1-5090-3420-8","10.1109/RESPECT.2016.7836179","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7836179","","Computers;Education;Programming environments;Programming profession;Three-dimensional displays;Virtual reality","computer aided instruction;computer science education;entertainment;human computer interaction;humanities;parallel programming;teaching;virtual reality","VEnvI;cognition;computational thinking;computer science;dance choreography;embodied interaction;embodied virtual reality metaphor;entertainment application;immersive virtual reality metaphor;intuitive interface;middle school education;middle school students;movement choreography;nonimmersive desktop metaphor;parallel programming;teaching;usability;virtual character;virtual environment interactions;virtual peer customization;virtual programming environment;virtual reality education","","","","","","","","11-13 Aug. 2016","","IEEE","IEEE Conference Publications"
"PBLMaestro: A virtual learning environment for the implementation of problem-based learning approach in Computer education","F. S. de Oliveira; S. Santos","N.E.X.T Research Group, UFPE - Center of Informatics, Recife, Brazil","2016 IEEE Frontiers in Education Conference (FIE)","20161201","2016","","","1","9","Teaching Computer has led to the design of an educational model that is increasingly making use of market practices linked to business corporations. Within this scenario, a practical and dynamic learning system is being fostered that allows simulations to be carried out in real contexts through problem resolution. Based on constructivist theories, PBL (Problem-Based Learning) is a teaching method that is focused on the students and its main characteristic is that it uses real-world problems to create the learning content and teach the skills required for their solution. However, the adoption of this approach is not an easy task, since it is accompanied by abrupt changes in the traditional paradigm of education, which require changes in the attitudes of the actors involved. In addition, the planning and monitoring of the PBL, involve complex activities that are difficult to manage, especially with regard to determining the quality and compliance of the processes used for problem resolution. Additionally, the Computer Science courses require working on projects provided by real clients, within a dynamic and iterative development process. This strengthens the need to introduce strategies and technologies to support the implementation and management of the method and, enable its effectiveness to be monitored In addition, it provides continuous feedback, and assesses the results generated from the evaluation of the solutions produced during the teaching-learning process. Thus, it is essential to adopt strategies that allow a better management of teaching practice, improved learning by the students and a means of validating the clients involved. From this perspective, this paper presents a virtual teaching and learning environment, called PBLMaestro, which has been designed to support the workflow of a methodology for the implementation of PBL in teaching Computer Science, called xPBL. With the aid of xPBL, it is possible to perform the management of courses using the dy- amics of a cycle and series of stages to allow a better control of management processes, by linking real problems to well-defined educational goals. In the case of teacher planning, we were used elements described in xPBL methodology, aligned with educational goals defined from the Bloom Revised Taxonomy. With regard to student tracking, we used the authentic assessment model and mechanisms of Learning Analytics. Gamification strategies were included to increase engagement, retention and motivation, and push notification messages were displayed in a mobile application the PBLMaestro was validated by means of application the environment in the context of the discipline “Network Design” of Computer Science Course, and the results are analyzed in this study. In addition, semi-structured interviews were conducted with the teachers and there was a high degree of satisfaction among the tutors, students and customers who used the service, with regard to the usability and consistency of the proposed environment as well as with its improvements and changes. Although the environment was improved in the area of computer science, it is possible that it can provide support to the STEM context with some customizations.","","Electronic:978-1-5090-1790-4; POD:978-1-5090-1791-1","10.1109/FIE.2016.7757388","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7757388","Computer Science;Gamification;PBLMaestro;Problem-Based Learning;Virtual Learning Environment","Collaboration;Computational modeling;Computer science;Context;Education;Monitoring;Planning","STEM;computer aided instruction;computer science education;data analysis;educational courses;serious games (computing)","Bloom revised taxonomy;PBLMaestro;STEM context;business corporations;computer education;computer science course;computer science courses;continuous feedback;dynamic learning system;educational goals;educational model;gamification strategies;iterative development process;learning analytics;learning content;market practices;network design;problem resolution;problem-based learning approach;teaching method;teaching-learning process;virtual learning environment;virtual teaching;xPBL","","","","","","","","12-15 Oct. 2016","","IEEE","IEEE Conference Publications"
"Gradual structuring: Evolving the spreadsheet paradigm for expressiveness and learnability","G. Miller; F. Hermans; R. Braun","School of Computing and Communications, University of Technology Sydney","2016 15th International Conference on Information Technology Based Higher Education and Training (ITHET)","20161201","2016","","","1","8","Spreadsheets are arguably the most used form of programming and are frequently used in higher education to teach fundamental concepts about computation. Their success has shown that they are simple enough for a huge number of end users to learn and use. This is in contrast to traditional programming languages and the high dropout rate from introductory programming and computer science. However in comparison to traditional programming languages and structured modelling, spreadsheets are not expressive, placing a limit on the levels of computational thinking that can be taught using the spreadsheet paradigm. This limitation is imposed by the lack of programming language features and abstractions in the paradigm. Furthermore, more advanced spreadsheet features (e.g. array formulae, lookup formulae, R1C1 syntax) can be difficult to learn and use. This paper discusses the idea of adding language features to spreadsheets, enabling the gradual structuring of free-form spreadsheets to more structured models. We propose that this concept is termed Gradual Structuring, and is analogous to the programming language concept of gradual typing. In this analogy, spreadsheets take the place of dynamic programming and structured modelling of static programming. In programming languages, gradual typing allows dynamic programming to be mixed with static programming. It is our contention that dynamic programming is more learnable while static programming is more expressive and abstract. Gradual typing could be used to mitigate the issues in the teaching of traditional programming. Likewise Gradual Structuring can mitigate the conceptual limits that can be taught using current spreadsheets. The key language feature required to enable Gradual Structuring is the ability to logically group cells together so that a single formula can be applied to the grouped cells. This concept, termed cell grouping diminishes and can even eliminate the need for the ubiquitous and error-prone use of copy-p- sted in spreadsheets. Moreover, it makes the structure present in spreadsheet models explicit. Cell grouping requires a cascade of other new languages features. Namely a more expressive referencing style, which in turned requires enabling labels to be moved to the row and column headers, and the hierarchical structuring of these headers. Respectively these language features are termed enhanced referencing and semantic axes. The ongoing research focusses on the usability and learnability of these language features. Spreadsheet applications exist that contain aspects of the features mentioned. However these applications do not enable Gradual Structuring and have taken a mainly technical, not human behavioural, approach to evolving the spreadsheet.","","Electronic:978-1-5090-0778-3; POD:978-1-5090-0779-0; USB:978-1-5090-0777-6","10.1109/ITHET.2016.7760759","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7760759","","Computer languages;Dynamic programming;Education;Electronic mail;Programming profession;Semantics","computer aided instruction;computer science education;further education;programming languages;spreadsheet programs;teaching","R1C1 syntax;array formulae;cell grouping;computation;computer science;dynamic programming;free-form spreadsheets;gradual structuring;gradual typing;higher education;introductory programming;language features;learnability;lookup formulae;programming languages;semantic axes;static programming;structured modelling;teaching;usability","","","","","","","","8-10 Sept. 2016","","IEEE","IEEE Conference Publications"
"The evaluation of the results of an eye tracking based usability tests of the so called Instructor's Portal framework (http://tanitlap.ektf.hu/csernaiz)","C. K. Prantner","Department of Human Informatics, Eszterh&#225;zy K&#225;roly College, Eger, Hungary","2015 6th IEEE International Conference on Cognitive Infocommunications (CogInfoCom)","20160128","2015","","","459","465","The research discussed in this paper can be positioned at the cross-section of Applied Computer Science, Didactics and Human-Computer Interaction. Accordingly, an Instructor's Portal (IPo) framework system was developed at the Department of Human Informatics of the Eszterházy Károly College (EKC) in 2015. The aim of the framework system is to enable instructors working in higher education institutions to establish, customize, and update their own webpages independently without any help from informatics professionals. Said system not only fulfills a gap filling function in the higher education sphere, but performs complex tasks while serving a wide range of users. In order to establish a logically arranged content structure and user interface the respective development process observed several developmental principles, methods, and web-ergonomic rules. This paper introduces the results of usability tests and examinations pertaining to the system. The examination utilized, an eye-tracking hardware device and a mouse movement recording software along with a special software facilitating the evaluation and presentation of the respective results. This essay introduces and highlight how the respective apparatus complements the traditional human observation-based usability tests while identifying the cognitive skills to be ascertained with such devices, one of the main priorities of Cognitive Infocommunications (CogInfoCom).","","Electronic:978-1-4673-8129-1; POD:978-1-4673-8130-7; USB:978-1-4673-8128-4","10.1109/CogInfoCom.2015.7390637","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7390637","ergonomics;eye tracking;higher education;instruction portal;usability test","Gaze tracking;Hardware;Informatics;Portals;Testing;Usability","computer aided instruction;educational institutions;further education;interactive devices;portals;user interfaces","CogInfoCom;IPo framework system;Web page;applied computer science;cognitive infocommunications;didactics;eye tracking based usability tests;eye-tracking hardware device;gap filling function;higher education institutions;human computer interaction;instructors portal framework;logically arranged content structure;mouse movement recording software;user interface","","","","20","","","","19-21 Oct. 2015","","IEEE","IEEE Conference Publications"
"Serious games for motivating into programming","R. Hijon-Neira; Á. Velázquez-Iturbide; C. Pizarro-Romero; L. Carriço","LITE Laboratory of Information Technologies in Education, Universidad Rey Juan Carlos, M&#x00F3;stoles, Madrid, Spain","2014 IEEE Frontiers in Education Conference (FIE) Proceedings","20150219","2014","","","1","8","In Computer Science Education there is a tendency to implement active learning paradigms where students are the focus of the educational process. An instantiation of these learning methods are gaming environments. We present ProGames, a system for learning programming skills through a leveled set of visually-attractive and interactive programming games in Greenfoot, categorized by student's likes, offering them solutions to sets of problems that they really enjoy or like most. We present a combined evaluation of usability (first) done during the academic course 2012-13 in three Computer Science Degrees and an evaluation of appealing for the students (second) based on the organization in games categories done during the academic course 2013-14. The combination of both evaluations suggests that offering students a set of serious games that meets their likes really increases their appeal for the games and therefore for learning with them. We present this experience to encourage academia to propose their students learning materials which really are appealing to them and why not? Fun.","0190-5848;01905848","Electronic:978-1-4799-3922-0; POD:978-1-4799-3923-7; USB:978-1-4799-3921-3","10.1109/FIE.2014.7044111","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7044111","Game Programming;Greenfoot;Introductory Computing Courses;Software Appealing;Visual Programming Language","Arrays;Games;Green products;Java;Programming profession","computer aided instruction;computer science education;interactive programming;serious games (computing)","Greenfoot;active learning paradigms;computer science education;educational process;interactive programming games;programming skills;serious games","","1","","17","","","","22-25 Oct. 2014","","IEEE","IEEE Conference Publications"
"A Usable Android Application Implementing Distributed Cryptography for Election Authorities","S. Neumann; O. Kulyk; M. Volkamer","CASED, Tech. Univ. Darmstadt, Darmstadt, Germany","2014 Ninth International Conference on Availability, Reliability and Security","20141211","2014","","","207","216","Although many electronic voting protocols have been proposed, their practical application faces various challenges. One of these challenges is, that these protocols require election authorities to perform complex tasks like generating keys in a distributed manner and decrypting votes in a distributed and verifiable manner. Although corresponding key generation and decryption protocols exist, they are not used in real-world elections for several reasons: The few existing implementations of these protocols and their corresponding interfaces are not designed for people with non technical background and thus not suitable for use by most election authorities. In addition, it is difficult to explain the security model of the protocols, but legal provisions generally require transparency. We implemented a smartphone application for election authorities featuring distributed key generation and verifiable distributed decryption of votes. In addition, we prepared education material throughout based on formulated metaphors for election authorities in order to explain the security of the application. We evaluated the usability of the application and understanding of the underlying security model, concluding that the application is usable for non-experts in computer science. While the participants were able to carry out the tasks, it became clear, that they did not have a clear understanding of the underlying security model, despite having viewed our educational material. We suggest improvements to this material as future work.","","Electronic:978-1-4799-4223-7; POD:978-1-4799-7876-2","10.1109/ARES.2014.35","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6980284","Applied Cryptography;Distributed Key Generation;Electronic Voting;Understandability;Usability","Education;Materials;Nominations and elections;Protocols;Public key","Android (operating system);cryptographic protocols;government data processing","Android application;computer science;decrypting votes;decryption protocols;distributed cryptography;education material;educational material;election authorities;electronic voting protocols;security model;smart phone application;verifiable distributed decryption","","0","","47","","","","8-12 Sept. 2014","","IEEE","IEEE Conference Publications"
"A tool for competence testing in Moodle","S. Cardona; J. Vélez; S. Tobón","Corporacion Univ. CIFE, Univ. del Quindio, Armenia, Colombia","2014 9th Computing Colombian Conference (9CCC)","20141113","2014","","","35","41","During the last decades it is evidenced in the context of education, actions aimed at improving assessment processes in virtual learning environments. In this paper, a tool that integrates the Moodle learning management system is proposed; using it, teachers can design and implement competence tests based on proficiency levels during different times of a training process. This tool is implemented under the pedagogical and methodological guidelines of the socio formative competencies approach. In this paper, the results of an experience with a course of Formal Logic Programming of the Systems Engineering and Computer Science Program of the University of Quindío are presented. A tool was used to do a competence test with the goal of getting to know the students' appreciations regarding the tool's friendly usability. The results showed that students rated the course favorably in terms of the usability of the tool.","","Electronic:978-1-4799-6717-9; POD:978-1-4799-6718-6","10.1109/ColumbianCC.2014.6955368","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6955368","assessment;competences;educational technology;mathematical logic;socioformative approach","Abstracts;Context;Education;Instruments;Least squares approximations;Testing;Usability","computer based training;computer science education;educational courses;formal logic;learning management systems;logic programming;systems engineering","Moodle learning management system;University of Quindío;competence tests;computer science program;formal logic programming;friendly usability;methodological guidelines;pedagogical guidelines;proficiency levels;socioformative competencies;systems engineering;training process;virtual learning environments","","0","","20","","","","3-5 Sept. 2014","","IEEE","IEEE Conference Publications"
"Usability considerations for educational tablet applications using an Arabic interface","A. Al-Sa'di; D. Parry; P. Carter","Sch. of Comput. & Math. Sci., Auckland Univ. of Technol., Auckland, New Zealand","2014 5th International Conference on Information and Communication Systems (ICICS)","20140626","2014","","","1","6","This paper aims to analyze the potential contribution and issues involved in using tablet computers for the education of Jordanian young learners. For this purpose, it introduces the principles of usability, user experience and discusses various expectations and benefits. The principles are based on the results of studies in psychology, computer science, instructional design, user experience and the author's personal experience as a designer and educator. These principles should assist designers to develop applications that meet the needs of students and teachers in Jordan.","","Electronic:978-1-4799-3023-4; POD:978-1-4799-3024-1","10.1109/IACS.2014.6841969","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6841969","Applications;Arabic User Interface;Educational Apps;Educational Technology;Tablet PCs;Usability;User Experience;e-learning","Educational institutions;Electronic publishing;Mobile communication;Standards;Tablet computers;Usability","computer aided instruction;natural language interfaces;notebook computers;social aspects of automation","Arabic interface;Jordanian young learners;computer science;educational tablet applications;instructional design;psychology;tablet computers;usability considerations;user experience","","0","","24","","","","1-3 April 2014","","IEEE","IEEE Conference Publications"
