"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","3022466","Jianting  Chen and Medha  Gopalaswamy and Prabir  Pradhan and Sooji  Son and Peter-Michael  Osera","","","","ORC2A: A Proof Assistant for Undergraduate Education","757--758","","2","computer science pedagogy, program verification, proof assistant","10.1145/3017680.3022466","","","","","","","2017","","Proceedings of the 2017 ACM SIGCSE Technical Symposium on Computer Science Education","SIGCSE '17","","978-1-4503-4698-6","Seattle, Washington, USA","ACM","New York, NY, USA"
"article","1566499","Jennifer  Parham and Donald  Chinn and D. E. Stevenson","","","","Using Bloom's Taxonomy to Code Verbal Protocols of Students Solving a Data Structure Problem","39:1--39:6","39","6","Bloom's taxonomy, computer science education, problem solving","10.1145/1566445.1566499","","","","","","","2009","","Proceedings of the 47th Annual Southeast Regional Conference","ACM-SE 47","","978-1-60558-421-8","Clemson, South Carolina","ACM","New York, NY, USA"
"article","1734333","Carl E. Wieman","","","","Science Education for the 21st Century: Using the Insights of Science to Teach/Learn Science","198--198","","1","science education","10.1145/1734263.1734333","","","","","","","2010","","Proceedings of the 41st ACM Technical Symposium on Computer Science Education","SIGCSE '10","","978-1-4503-0006-3","Milwaukee, Wisconsin, USA","ACM","New York, NY, USA"
"article","2043595","Linda  Marshall","","","","Developing a Computer Science Curriculum in the South African Context","9--19","","11","education","","","","","","","","2011","","Computer Science Education Research Conference","CSERC '11","","978 90 358 1987 0","Heerlen, Netherlands","Open Universiteit, Heerlen","Open Univ., Heerlen, The Netherlands, The Netherlands"
"article","979970","Wayne  Brookes","","","","Computing Theory with Relevance","9--13","","5","XML, computer science education, computing theory","","","","","","","","2004","","Proceedings of the Sixth Australasian Conference on Computing Education - Volume 30","ACE '04","","","Dunedin, New Zealand","Australian Computer Society, Inc.","Darlinghurst, Australia, Australia"
"article","2850524","Mark  McCartin-Lim","","","","Complexity Tutor: Developing an Interactive Tutoring System for Computational Complexity (Abstract Only)","494--494","","1","computational complexity, intelligent tutoring systems, proofs, reductions, teaching theoretical computer science","10.1145/2839509.2850524","","","","","","","2016","","Proceedings of the 47th ACM Technical Symposium on Computing Science Education","SIGCSE '16","","978-1-4503-3685-7","Memphis, Tennessee, USA","ACM","New York, NY, USA"
"article","1047892","Carol L. Blinkerd and Chandrika  Rao","","","","Making DBMS Relevant to Non-majors","302--307","","6","GIS, non-computer science majors, relational database","","J. Comput. Sci. Coll.","April 2005","20","4","","April","2005","1937-4771","","","","","","Consortium for Computing Sciences in Colleges","USA"
"article","2538910","Claudia  Szabo and Katrina  Falkner","","","","Neo-piagetian Theory As a Guide to Curriculum Analysis","115--120","","6","computer science education, curriculum mapping","10.1145/2538862.2538910","","","","","","","2014","","Proceedings of the 45th ACM Technical Symposium on Computer Science Education","SIGCSE '14","","978-1-4503-2605-6","Atlanta, Georgia, USA","ACM","New York, NY, USA"
"article","1227439","Darren  Lim","","","","Taking Students out for a Ride: Using a Board Game to Teach Graph Theory","367--371","","5","computer science education, games, graph theory","10.1145/1227504.1227439","SIGCSE Bull.","March 2007","39","1","","March","2007","0097-8418","","","","","","ACM","New York, NY, USA"
"article","1227439","Darren  Lim","","","","Taking Students out for a Ride: Using a Board Game to Teach Graph Theory","367--371","","5","computer science education, games, graph theory","10.1145/1227310.1227439","","","","","","","2007","","Proceedings of the 38th SIGCSE Technical Symposium on Computer Science Education","SIGCSE '07","","1-59593-361-1","Covington, Kentucky, USA","ACM","New York, NY, USA"
"article","804233","Paul N. Hilfinger and Mary  Shaw and Wm. A. Wulf","","","","Introducing Theory in the Second Programming Course","55--58","","4","","10.1145/953028.804233","SIGCSE Bull.","August 1978","10","3","","August","1978","0097-8418","","","","","","ACM","New York, NY, USA"
"article","804233","Paul N. Hilfinger and Mary  Shaw and Wm. A. Wulf","","","","Introducing Theory in the Second Programming Course","55--58","","4","","10.1145/800130.804233","","","","","","","1978","","Proceedings of the Ninth SIGCSE Technical Symposium on Computer Science Education","SIGCSE '78","","","Pittsburgh, Pennslyvannia, USA","ACM","New York, NY, USA"
"article","2538971","Claudia  Szabo","","","","Evaluating GameDevTycoon for Teaching Software Engineering","403--408","","6","computer science education, software engineering","10.1145/2538862.2538971","","","","","","","2014","","Proceedings of the 45th ACM Technical Symposium on Computer Science Education","SIGCSE '14","","978-1-4503-2605-6","Atlanta, Georgia, USA","ACM","New York, NY, USA"
"article","544461","Orit  Hazzan","","","","Reducing Abstraction Level when Learning Computability Theory Concepts","156--160","","5","abstraction, computability, computer science education, mental processes","10.1145/637610.544461","SIGCSE Bull.","September 2002","34","3","","June","2002","0097-8418","","","","","","ACM","New York, NY, USA"
"article","544461","Orit  Hazzan","","","","Reducing Abstraction Level when Learning Computability Theory Concepts","156--160","","5","abstraction, computability, computer science education, mental processes","10.1145/544414.544461","","","","","","","2002","","Proceedings of the 7th Annual Conference on Innovation and Technology in Computer Science Education","ITiCSE '02","","1-58113-499-1","Aarhus, Denmark","ACM","New York, NY, USA"
"article","2999545","Outi  Laiti","","","","The Ethnoprogramming Model","150--154","","5","computer science education, ethnocomputing, ethnoprogramming","10.1145/2999541.2999545","","","","","","","2016","","Proceedings of the 16th Koli Calling International Conference on Computing Education Research","Koli Calling '16","","978-1-4503-4770-9","Koli, Finland","ACM","New York, NY, USA"
"article","2899455","Ilias O. Pappas and Michail N. Giannakos and Letizia  Jaccheri","","","","Investigating Factors Influencing Students' Intention to Dropout Computer Science Studies","198--203","","6","computer science education, dropout, higher education., retention","10.1145/2899415.2899455","","","","","","","2016","","Proceedings of the 2016 ACM Conference on Innovation and Technology in Computer Science Education","ITiCSE '16","","978-1-4503-4231-5","Arequipa, Peru","ACM","New York, NY, USA"
"article","2616569","Ivan  Babic and Aaron  Weeden and Mobeen  Ludin and Skylar  Thompson and Charles  Peck and Kristin  Muterspaw and Andrew Fitz Gibbon and Jennifer  Houchins and Tom  Murphy","","","","LittleFe and BCCD As a Successful On-ramp to HPC","73:1--73:7","73","7","CS, DES, Education, HPC, cluster computing, curriculum, data-enabled science, graduate students, high-performance computing, outreach, parallel programming, scientific computing, undergraduate faculty, undergraduate students","10.1145/2616498.2616569","","","","","","","2014","","Proceedings of the 2014 Annual Conference on Extreme Science and Engineering Discovery Environment","XSEDE '14","","978-1-4503-2893-7","Atlanta, GA, USA","ACM","New York, NY, USA"
"article","2532751","Ben  Gibson and Tim  Bell","","","","Evaluation of Games for Teaching Computer Science","51--60","","10","computer science education, educational games, play","10.1145/2532748.2532751","","","","","","","2013","","Proceedings of the 8th Workshop in Primary and Secondary Computing Education","WiPSE '13","","978-1-4503-2455-7","Aarhus, Denmark","ACM","New York, NY, USA"
"article","62419","CORPORATE  Computer System Architects","","","","Transputer-based Parallel Processing Products","860--863","","4","","10.1145/62297.62419","","","","","","","1988","","Proceedings of the Third Conference on Hypercube Concurrent Computers and Applications: Architecture, Software, Computer Systems, and General Issues - Volume 1","C<sup>3</sup>P","","0-89791-278-0","Pasadena, California, USA","ACM","New York, NY, USA"
"article","3084324","Chris  Proctor and Paulo  Blikstein","","","","Interactive Fiction: Weaving Together Literacies of Text and Code","555--560","","6","computational literacy, computer science education, sociocultural learning theory, sociolinguistics","10.1145/3078072.3084324","","","","","","","2017","","Proceedings of the 2017 Conference on Interaction Design and Children","IDC '17","","978-1-4503-4921-5","Stanford, California, USA","ACM","New York, NY, USA"
"article","62160","CORPORATE  Division of Computer Research and Technology Computer Center","","","","NIH System Descriptions","14--17","","4","","10.1145/62158.62160","SIGBIO Newsl.","Dec. 1987","9","4","","December","1987","0163-5697","","","","","","ACM","New York, NY, USA"
"article","1509024","Geoffrey M. Draper and Robert R. Kessler and Richard F. Riesenfeld","","","","A History of Computing Course with a Technical Focus","458--462","","5","computer science education, history of computing","10.1145/1539024.1509024","SIGCSE Bull.","March 2009","41","1","","March","2009","0097-8418","","","","","","ACM","New York, NY, USA"
"article","1509024","Geoffrey M. Draper and Robert R. Kessler and Richard F. Riesenfeld","","","","A History of Computing Course with a Technical Focus","458--462","","5","computer science education, history of computing","10.1145/1508865.1509024","","","","","","","2009","","Proceedings of the 40th ACM Technical Symposium on Computer Science Education","SIGCSE '09","","978-1-60558-183-5","Chattanooga, TN, USA","ACM","New York, NY, USA"
"article","3017763","Shelly  Engelman and Brian  Magerko and Tom  McKlin and Morgan  Miller and Doug  Edwards and Jason  Freeman","","","","Creativity in Authentic STEAM Education with EarSketch","183--188","","6","computer science education, creativity, earsketch, steam education","10.1145/3017680.3017763","","","","","","","2017","","Proceedings of the 2017 ACM SIGCSE Technical Symposium on Computer Science Education","SIGCSE '17","","978-1-4503-4698-6","Seattle, Washington, USA","ACM","New York, NY, USA"
"article","70607","Michael  Bozonie","","","","An Alternative to Regular Lecture Classes: A Theory Seminar in Computer Algorithms","58--59","","2","","10.1145/70593.70607","SIGCSE Bull.","Sep. 1989","21","3","","September","1989","0097-8418","","","","","","ACM","New York, NY, USA"
"article","2538925","Fredrik  Heintz and Inger  Erlander Klein","","","","The Design of Sweden's First 5-year Computer Science and Software Engineering Program","199--204","","6","computational thinking, computer science education, software engineering","10.1145/2538862.2538925","","","","","","","2014","","Proceedings of the 45th ACM Technical Symposium on Computer Science Education","SIGCSE '14","","978-1-4503-2605-6","Atlanta, Georgia, USA","ACM","New York, NY, USA"
"article","2674691","Claudia  Szabo and Katrina  Falkner and Nickolas  Falkner","","","","Experiences in Course Design Using Neo-piagetian Theory","81--90","","10","computer science education, course design, neo-piaget","10.1145/2674683.2674691","","","","","","","2014","","Proceedings of the 14th Koli Calling International Conference on Computing Education Research","Koli Calling '14","","978-1-4503-3065-7","Koli, Finland","ACM","New York, NY, USA"
"article","323314","John S. Mallozzi","","","","Teaching Computability Theory with a &Ldquo;Real&Rdquo; Language","181--183","","3","","10.1145/323275.323314","SIGCSE Bull.","Mar. 1985","17","1","","March","1985","0097-8418","","","","","","ACM","New York, NY, USA"
"article","323314","John S. Mallozzi","","","","Teaching Computability Theory with a &Ldquo;Real&Rdquo; Language","181--183","","3","","10.1145/323287.323314","","","","","","","1985","","Proceedings of the Sixteenth SIGCSE Technical Symposium on Computer Science Education","SIGCSE '85","","0-89791-152-0","New Orleans, Louisiana, USA","ACM","New York, NY, USA"
"article","2853199","Neena  Thota and Anders  Berglund","","","","Learning Computer Science: Dimensions of Variation Within What Chinese Students Learn","10:1--10:27","10","27","Computer science education, context, phenomenography, qualitative research, variation theory","10.1145/2853199","Trans. Comput. Educ.","June 2016","16","3","","May","2016","1946-6226","","","","","","ACM","New York, NY, USA"
"article","971360","Lester I. McCann","","","","Contemplate Sorting with Columnsort","166--169","","4","algorithms, columnsort, secondsort, sorting","10.1145/1028174.971360","SIGCSE Bull.","March 2004","36","1","","March","2004","0097-8418","","","","","","ACM","New York, NY, USA"
"article","971360","Lester I. McCann","","","","Contemplate Sorting with Columnsort","166--169","","4","algorithms, columnsort, secondsort, sorting","10.1145/971300.971360","","","","","","","2004","","Proceedings of the 35th SIGCSE Technical Symposium on Computer Science Education","SIGCSE '04","","1-58113-798-2","Norfolk, Virginia, USA","ACM","New York, NY, USA"
"article","2538965","Claudia  Szabo","","","","Student Projects Are Not Throwaways: Teaching Practical Software Maintenance in a Software Engineering Course","55--60","","6","computer science education, software engineering, software maintenance","10.1145/2538862.2538965","","","","","","","2014","","Proceedings of the 45th ACM Technical Symposium on Computer Science Education","SIGCSE '14","","978-1-4503-2605-6","Atlanta, Georgia, USA","ACM","New York, NY, USA"
"article","1734421","Clifford A. Shaffer and Thomas L. Naps and Susan H. Rodger and Stephen H. Edwards","","","","Building an Online Educational Community for Algorithm Visualization","475--476","","2","algorithm visualization, online educational community","10.1145/1734263.1734421","","","","","","","2010","","Proceedings of the 41st ACM Technical Symposium on Computer Science Education","SIGCSE '10","","978-1-4503-0006-3","Milwaukee, Wisconsin, USA","ACM","New York, NY, USA"
"article","235680","Leonid A. Levin","","","","Fundamentals of Computing (a Cheatlist)","89--","","","","10.1145/235666.235680","SIGACT News","Sept. 1996","27","3","","September","1996","0163-5700","","","","","","ACM","New York, NY, USA"
"article","1047882","John E. Howland","","","","Array Algorithms","229--235","","7","array algorithms, computer science curriculum, computer science education","","J. Comput. Sci. Coll.","April 2005","20","4","","April","2005","1937-4771","","","","","","Consortium for Computing Sciences in Colleges","USA"
"article","3017801","David  Ginat and Yoav  Blau","","","","Multiple Levels of Abstraction in Algorithmic Problem Solving","237--242","","6","abstraction, algorithm design","10.1145/3017680.3017801","","","","","","","2017","","Proceedings of the 2017 ACM SIGCSE Technical Symposium on Computer Science Education","SIGCSE '17","","978-1-4503-4698-6","Seattle, Washington, USA","ACM","New York, NY, USA"
"article","2983524","Antti  Knutas and Antti  Herala and Erno  Vanhala and Jouni  Ikonen","","","","The Flipped Classroom Method: Lessons Learned from Flipping Two Programming Courses","423--430","","8","Flipped classroom, computer science education, computer-supported education, programming","10.1145/2983468.2983524","","","","","","","2016","","Proceedings of the 17th International Conference on Computer Systems and Technologies 2016","CompSysTech '16","","978-1-4503-4182-0","Palermo, Italy","ACM","New York, NY, USA"
"article","299707","Jose L. Cordova","","","","Mathematical Proofs As Graph Search Problems in Theory Courses","110--113","","4","","10.1145/384266.299707","SIGCSE Bull.","March 1999","31","1","","March","1999","0097-8418","","","","","","ACM","New York, NY, USA"
"article","299707","Jose L. Cordova","","","","Mathematical Proofs As Graph Search Problems in Theory Courses","110--113","","4","","10.1145/299649.299707","","","","","","","1999","","The Proceedings of the Thirtieth SIGCSE Technical Symposium on Computer Science Education","SIGCSE '99","","1-58113-085-6","New Orleans, Louisiana, USA","ACM","New York, NY, USA"
"article","3022354","Rebecca  Bates and Valerie  Summet and Nanette  Veilleux","","","","SIGCSE Reads: Time for Book Discussion (Abstract Only)","721--721","","1","computer science, computer science education, science fiction","10.1145/3017680.3022354","","","","","","","2017","","Proceedings of the 2017 ACM SIGCSE Technical Symposium on Computer Science Education","SIGCSE '17","","978-1-4503-4698-6","Seattle, Washington, USA","ACM","New York, NY, USA"
"article","2850484","Rebecca  Bates and Valerie  Summet","","","","SIGCSE Reads: Time for Book Discussion (Abstract Only)","703--703","","1","computer science, computer science education., science fiction","10.1145/2839509.2850484","","","","","","","2016","","Proceedings of the 47th ACM Technical Symposium on Computing Science Education","SIGCSE '16","","978-1-4503-3685-7","Memphis, Tennessee, USA","ACM","New York, NY, USA"
"article","3018109","Emma  Enstr&#246;m and Viggo  Kann","","","","Iteratively Intervening with the &Ldquo;Most Difficult&Rdquo; Topics of an Algorithms and Complexity Course","4:1--4:38","4","38","Algorithm visualization, NP-completeness, assessment, dynamic programming, pattern-oriented instruction, proofs, self-efficacy","10.1145/3018109","Trans. Comput. Educ.","January 2017","17","1","","January","2017","1946-6226","","","","","","ACM","New York, NY, USA"
"article","3106171","Holger  Danielsiek and Laura  Toma and Jan  Vahrenhold","","","","An Instrument to Assess Self-Efficacy in Introductory Algorithms Courses","217--225","","9","algorithms, computer science education, self-efficacy","10.1145/3105726.3106171","","","","","","","2017","","Proceedings of the 2017 ACM Conference on International Computing Education Research","ICER '17","","978-1-4503-4968-0","Tacoma, Washington, USA","ACM","New York, NY, USA"
"article","1047397","Orit  Hazzan and John  Impagliazzo and Raymond  Lister and Shimon  Schocken","","","","Using History of Computing to Address Problems and Opportunities","126--127","","2","CS education research, computer science, computer science education, history of computing, software engineering","10.1145/1047124.1047397","SIGCSE Bull.","2005","37","1","","February","2005","0097-8418","","","","","","ACM","New York, NY, USA"
"article","1047397","Orit  Hazzan and John  Impagliazzo and Raymond  Lister and Shimon  Schocken","","","","Using History of Computing to Address Problems and Opportunities","126--127","","2","CS education research, computer science, computer science education, history of computing, software engineering","10.1145/1047344.1047397","","","","","","","2005","","Proceedings of the 36th SIGCSE Technical Symposium on Computer Science Education","SIGCSE '05","","1-58113-997-7","St. Louis, Missouri, USA","ACM","New York, NY, USA"
"article","2325373","Barry  Fagin and Dino  Schweitzer","","","","MyTuringTable: A Teaching Tool to Accompany Turing's Original Paper on Computability","333--338","","6","computer science education, educational software, history of computing, turing machines","10.1145/2325296.2325373","","","","","","","2012","","Proceedings of the 17th ACM Annual Conference on Innovation and Technology in Computer Science Education","ITiCSE '12","","978-1-4503-1246-2","Haifa, Israel","ACM","New York, NY, USA"
"article","1121366","Thomas J. Cortina and Richard  McKenna","","","","The Design of a History of Computing Course with a Unique Perspective","67--71","","5","computer science education, history of computing","10.1145/1121341.1121366","","","","","","","2006","","Proceedings of the 37th SIGCSE Technical Symposium on Computer Science Education","SIGCSE '06","","1-59593-259-3","Houston, Texas, USA","ACM","New York, NY, USA"
"article","1121366","Thomas J. Cortina and Richard  McKenna","","","","The Design of a History of Computing Course with a Unique Perspective","67--71","","5","computer science education, history of computing","10.1145/1124706.1121366","SIGCSE Bull.","March 2006","38","1","","March","2006","0097-8418","","","","","","ACM","New York, NY, USA"
"article","305855","Isaac  Balbin","","","","Is Your Degree Quality Endorsed?","60--63","","4","Computer Science Education, quality","10.1145/384267.305855","SIGCSE Bull.","Sept. 1999","31","3","","June","1999","0097-8418","","","","","","ACM","New York, NY, USA"
"article","305855","Isaac  Balbin","","","","Is Your Degree Quality Endorsed?","60--63","","4","Computer Science Education, quality","10.1145/305786.305855","","","","","","","1999","","Proceedings of the 4th Annual SIGCSE/SIGCUE ITiCSE Conference on Innovation and Technology in Computer Science Education","ITiCSE '99","","1-58113-087-2","Cracow, Poland","ACM","New York, NY, USA"
"article","2481452","Jan  Vahrenhold","","","","On the Importance of Being Earnest: Challenges in Computer Science Education","3--4","","2","secondary computer science education","10.1145/2481449.2481452","","","","","","","2012","","Proceedings of the 7th Workshop in Primary and Secondary Computing Education","WiPSCE '12","","978-1-4503-1787-0","Hamburg, Germany","ACM","New York, NY, USA"
"article","1067467","Jacob  Perrenet and Jan Friso Groote and Eric  Kaasenbrood","","","","Exploring Students' Understanding of the Concept of Algorithm: Levels of Abstraction","64--68","","5","abstraction, computer science education","10.1145/1151954.1067467","SIGCSE Bull.","September 2005","37","3","","June","2005","0097-8418","","","","","","ACM","New York, NY, USA"
"article","1067467","Jacob  Perrenet and Jan Friso Groote and Eric  Kaasenbrood","","","","Exploring Students' Understanding of the Concept of Algorithm: Levels of Abstraction","64--68","","5","abstraction, computer science education","10.1145/1067445.1067467","","","","","","","2005","","Proceedings of the 10th Annual SIGCSE Conference on Innovation and Technology in Computer Science Education","ITiCSE '05","","1-59593-024-8","Caparica, Portugal","ACM","New York, NY, USA"
"article","2676660","Timothy T. Yuen and Kay A. Robbins","","","","A Qualitative Study of Students' Computational Thinking Skills in a Data-Driven Computing Class","27:1--27:19","27","19","Computational science and science education","10.1145/2676660","Trans. Comput. Educ.","February 2015","14","4","","December","2014","1946-6226","","","","","","ACM","New York, NY, USA"
"article","2742613","Hamid  Tarmazdi and Rebecca  Vivian and Claudia  Szabo and Katrina  Falkner and Nickolas  Falkner","","","","Using Learning Analytics to Visualise Computer Science Teamwork","165--170","","6","collaboration, computer science education, learning analytics","10.1145/2729094.2742613","","","","","","","2015","","Proceedings of the 2015 ACM Conference on Innovation and Technology in Computer Science Education","ITiCSE '15","","978-1-4503-3440-2","Vilnius, Lithuania","ACM","New York, NY, USA"
"article","1140172","Petri  Gerdt and Jorma  Sajaniemi","","","","A Web-based Service for the Automatic Detection of Roles of Variables","178--182","","5","automatic detection of roles, role knowledge consolidation, roles of variables","10.1145/1140123.1140172","SIGCSE Bull.","September 2006","38","3","","June","2006","0097-8418","","","","","","ACM","New York, NY, USA"
"article","1140172","Petri  Gerdt and Jorma  Sajaniemi","","","","A Web-based Service for the Automatic Detection of Roles of Variables","178--182","","5","automatic detection of roles, role knowledge consolidation, roles of variables","10.1145/1140124.1140172","","","","","","","2006","","Proceedings of the 11th Annual SIGCSE Conference on Innovation and Technology in Computer Science Education","ITICSE '06","","1-59593-055-8","Bologna, Italy","ACM","New York, NY, USA"
"article","1869764","Ghassan  Alkadi and Theresa  Beaubouef and Robert  Schroeder","","","","The Sometimes Harsh Reality of Real World Computer Science Projects","59--62","","4","computer science education, software engineering, student projects","10.1145/1869746.1869764","ACM Inroads","December 2010","1","4","","December","2010","2153-2184","","","","","","ACM","New York, NY, USA"
"article","2691861","Rebecca  Bates and Judy  Goldsmith and Valerie  Summet","","","","SIGCSE Reads: Time for Book Discussion (Abstract Only)","702--702","","1","computer science, computer science education, science fiction","10.1145/2676723.2691861","","","","","","","2015","","Proceedings of the 46th ACM Technical Symposium on Computer Science Education","SIGCSE '15","","978-1-4503-2966-8","Kansas City, Missouri, USA","ACM","New York, NY, USA"
"book","2534860","  Joint Task Force on Computing Curricula, Association for Computing Machinery (ACM) and IEEE Computer Society","","","","","","","","","","","","","","","","2013","","Computer Science Curricula 2013: Curriculum Guidelines for Undergraduate Degree Programs in Computer Science","","","978-1-4503-2309-3","","ACM","New York, NY, USA"
"article","1595485","Sujata  Garera and Jorge  Vasconcelos","","","","Challenges in Teaching a Graduate Course in Applied Cryptography","103--107","","5","computer science education, cryptography, security protocols","10.1145/1595453.1595485","SIGCSE Bull.","June 2009","41","2","","June","2009","0097-8418","","","","","","ACM","New York, NY, USA"
"article","1509005","Owen  Astrachan and Henry  Walker and Chris  Stephenson and Lien  Diaz and Jan  Cuny","","","","Advanced Placement Computer Science: The Future of Tracking the First Year of Instruction","397--398","","2","computer science education","10.1145/1539024.1509005","SIGCSE Bull.","March 2009","41","1","","March","2009","0097-8418","","","","","","ACM","New York, NY, USA"
"article","1509005","Owen  Astrachan and Henry  Walker and Chris  Stephenson and Lien  Diaz and Jan  Cuny","","","","Advanced Placement Computer Science: The Future of Tracking the First Year of Instruction","397--398","","2","computer science education","10.1145/1508865.1509005","","","","","","","2009","","Proceedings of the 40th ACM Technical Symposium on Computer Science Education","SIGCSE '09","","978-1-60558-183-5","Chattanooga, TN, USA","ACM","New York, NY, USA"
"article","1565822","Briana Lowe Wellman and James  Davis and Monica  Anderson","","","","Alice and Robotics in Introductory CS Courses","98--102","","5","computer science, diversity, education","10.1145/1565799.1565822","","","","","","","2009","","The Fifth Richard Tapia Celebration of Diversity in Computing Conference: Intellect, Initiatives, Insight, and Innovations","TAPIA '09","","978-1-60558-217-7","Portland, Oregon","ACM","New York, NY, USA"
"article","1289311","Charles D. Allison","","","","Practical Computation Theory","141--146","","6","","","J. Comput. Sci. Coll.","October 2007","23","1","","October","2007","1937-4771","","","","","","Consortium for Computing Sciences in Colleges","USA"
"article","2844608","Cindy  Norris","","","","An Examination of Layers of Quizzing in Two Computer Systems Courses","48--53","","6","computer science education, quizzing","10.1145/2839509.2844608","","","","","","","2016","","Proceedings of the 47th ACM Technical Symposium on Computing Science Education","SIGCSE '16","","978-1-4503-3685-7","Memphis, Tennessee, USA","ACM","New York, NY, USA"
"article","2047608","Giuseppe  Maggiore and Andrea  Torsello and Flavio  Sartoretto and Agostino  Cortesi","","","","Engaging High School Students in Computer Science via Challenging Applications","43--48","","6","computer science, education, games","10.1145/2047594.2047608","","","","","","","2011","","Proceedings of the 2011 Conference on Information Technology Education","SIGITE '11","","978-1-4503-1017-8","West Point, New York, USA","ACM","New York, NY, USA"
"article","1836047","Amir  Zeid","","","","Using Creative Methods for Teaching Professional Ethics for Computer Science Students","18:1--18:5","18","5","computer science education","10.1145/1836029.1836047","","","","","","","2009","","Proceedings of the First Kuwait Conference on e-Services and e-Systems","eConf '09","","978-1-60558-797-4","Kuwait","ACM","New York, NY, USA"
"article","1141851","Joseph  DeLuca and David A. Joiner","","","","Incorporating Computational Science Activities in High School Algebra","356--356","","1","algebra, computational science education","10.1145/1141753.1141851","","","","","","","2006","","Proceedings of the 6th ACM/IEEE-CS Joint Conference on Digital Libraries","JCDL '06","","1-59593-354-9","Chapel Hill, NC, USA","ACM","New York, NY, USA"
"article","1734377","Owen  Astrachan and Kathleen  Haynie and Chris  Stephenson and Lien  Diaz and Amy  Briggs","","","","Re-imagining the First Year of Computing","329--330","","2","computer science education","10.1145/1734263.1734377","","","","","","","2010","","Proceedings of the 41st ACM Technical Symposium on Computer Science Education","SIGCSE '10","","978-1-4503-0006-3","Milwaukee, Wisconsin, USA","ACM","New York, NY, USA"
